municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
01303,石狩振興局当別町,64415394,43.16667,43.15833,141.425,141.4375,
01303,石狩振興局当別町,64415395,43.16667,43.15833,141.4375,141.45,
01303,石狩振興局当別町,64415396,43.16667,43.15833,141.45,141.4625,
01303,石狩振興局当別町,64415397,43.16667,43.15833,141.4625,141.475,
01303,石狩振興局当別町,64415398,43.16667,43.15833,141.475,141.4875,
01303,石狩振興局当別町,64415399,43.16667,43.15833,141.4875,141.5,
01303,石狩振興局当別町,64416301,43.175,43.16667,141.3875,141.4,
01303,石狩振興局当別町,64416302,43.175,43.16667,141.4,141.4125,
01303,石狩振興局当別町,64416303,43.175,43.16667,141.4125,141.425,
01303,石狩振興局当別町,64416304,43.175,43.16667,141.425,141.4375,
01303,石狩振興局当別町,64416305,43.175,43.16667,141.4375,141.45,
01303,石狩振興局当別町,64416306,43.175,43.16667,141.45,141.4625,
01303,石狩振興局当別町,64416307,43.175,43.16667,141.4625,141.475,
01303,石狩振興局当別町,64416308,43.175,43.16667,141.475,141.4875,
01303,石狩振興局当別町,64416309,43.175,43.16667,141.4875,141.5,
01303,石狩振興局当別町,64416311,43.18333,43.175,141.3875,141.4,
01303,石狩振興局当別町,64416312,43.18333,43.175,141.4,141.4125,
01303,石狩振興局当別町,64416313,43.18333,43.175,141.4125,141.425,
01303,石狩振興局当別町,64416314,43.18333,43.175,141.425,141.4375,
01303,石狩振興局当別町,64416315,43.18333,43.175,141.4375,141.45,
01303,石狩振興局当別町,64416316,43.18333,43.175,141.45,141.4625,
01303,石狩振興局当別町,64416317,43.18333,43.175,141.4625,141.475,
01303,石狩振興局当別町,64416318,43.18333,43.175,141.475,141.4875,
01303,石狩振興局当別町,64416319,43.18333,43.175,141.4875,141.5,
01303,石狩振興局当別町,64416322,43.19167,43.18333,141.4,141.4125,
01303,石狩振興局当別町,64416323,43.19167,43.18333,141.4125,141.425,
01303,石狩振興局当別町,64416324,43.19167,43.18333,141.425,141.4375,
01303,石狩振興局当別町,64416325,43.19167,43.18333,141.4375,141.45,
01303,石狩振興局当別町,64416326,43.19167,43.18333,141.45,141.4625,
01303,石狩振興局当別町,64416327,43.19167,43.18333,141.4625,141.475,
01303,石狩振興局当別町,64416328,43.19167,43.18333,141.475,141.4875,
01303,石狩振興局当別町,64416329,43.19167,43.18333,141.4875,141.5,
01303,石狩振興局当別町,64416332,43.2,43.19167,141.4,141.4125,
01303,石狩振興局当別町,64416333,43.2,43.19167,141.4125,141.425,
01303,石狩振興局当別町,64416334,43.2,43.19167,141.425,141.4375,
01303,石狩振興局当別町,64416335,43.2,43.19167,141.4375,141.45,
01303,石狩振興局当別町,64416336,43.2,43.19167,141.45,141.4625,
01303,石狩振興局当別町,64416337,43.2,43.19167,141.4625,141.475,
01303,石狩振興局当別町,64416338,43.2,43.19167,141.475,141.4875,
01303,石狩振興局当別町,64416339,43.2,43.19167,141.4875,141.5,
01303,石狩振興局当別町,64416343,43.20833,43.2,141.4125,141.425,
01303,石狩振興局当別町,64416344,43.20833,43.2,141.425,141.4375,
01303,石狩振興局当別町,64416345,43.20833,43.2,141.4375,141.45,
01303,石狩振興局当別町,64416346,43.20833,43.2,141.45,141.4625,
01303,石狩振興局当別町,64416347,43.20833,43.2,141.4625,141.475,
01303,石狩振興局当別町,64416348,43.20833,43.2,141.475,141.4875,
01303,石狩振興局当別町,64416349,43.20833,43.2,141.4875,141.5,
01303,石狩振興局当別町,64416353,43.21667,43.20833,141.4125,141.425,
01303,石狩振興局当別町,64416354,43.21667,43.20833,141.425,141.4375,
01303,石狩振興局当別町,64416355,43.21667,43.20833,141.4375,141.45,
01303,石狩振興局当別町,64416356,43.21667,43.20833,141.45,141.4625,
01303,石狩振興局当別町,64416357,43.21667,43.20833,141.4625,141.475,
01303,石狩振興局当別町,64416358,43.21667,43.20833,141.475,141.4875,
01303,石狩振興局当別町,64416359,43.21667,43.20833,141.4875,141.5,
01303,石狩振興局当別町,64416363,43.225,43.21667,141.4125,141.425,
01303,石狩振興局当別町,64416364,43.225,43.21667,141.425,141.4375,
01303,石狩振興局当別町,64416365,43.225,43.21667,141.4375,141.45,
01303,石狩振興局当別町,64416366,43.225,43.21667,141.45,141.4625,
