municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
03201,盛岡市,59403799,39.66667,39.65833,140.9875,141.0,
03201,盛岡市,59404709,39.675,39.66667,140.9875,141.0,
03201,盛岡市,59412284,39.575,39.56667,141.3,141.3125,
03201,盛岡市,59412285,39.575,39.56667,141.3125,141.325,
03201,盛岡市,59412286,39.575,39.56667,141.325,141.3375,
03201,盛岡市,59412287,39.575,39.56667,141.3375,141.35,
03201,盛岡市,59412288,39.575,39.56667,141.35,141.3625,
03201,盛岡市,59412289,39.575,39.56667,141.3625,141.375,
03201,盛岡市,59412291,39.58333,39.575,141.2625,141.275,
03201,盛岡市,59412294,39.58333,39.575,141.3,141.3125,
03201,盛岡市,59412295,39.58333,39.575,141.3125,141.325,
03201,盛岡市,59412296,39.58333,39.575,141.325,141.3375,
03201,盛岡市,59412297,39.58333,39.575,141.3375,141.35,
03201,盛岡市,59412298,39.58333,39.575,141.35,141.3625,
03201,盛岡市,59412299,39.58333,39.575,141.3625,141.375,
03201,盛岡市,59412373,39.56667,39.55833,141.4125,141.425,
03201,盛岡市,59412374,39.56667,39.55833,141.425,141.4375,
03201,盛岡市,59412380,39.575,39.56667,141.375,141.3875,
03201,盛岡市,59412382,39.575,39.56667,141.4,141.4125,
03201,盛岡市,59412383,39.575,39.56667,141.4125,141.425,
03201,盛岡市,59412384,39.575,39.56667,141.425,141.4375,
03201,盛岡市,59412390,39.58333,39.575,141.375,141.3875,
03201,盛岡市,59412391,39.58333,39.575,141.3875,141.4,
03201,盛岡市,59412392,39.58333,39.575,141.4,141.4125,
03201,盛岡市,59412393,39.58333,39.575,141.4125,141.425,
03201,盛岡市,59412394,39.58333,39.575,141.425,141.4375,
03201,盛岡市,59413064,39.64167,39.63333,141.05,141.0625,
03201,盛岡市,59413065,39.64167,39.63333,141.0625,141.075,
03201,盛岡市,59413066,39.64167,39.63333,141.075,141.0875,
03201,盛岡市,59413067,39.64167,39.63333,141.0875,141.1,
03201,盛岡市,59413068,39.64167,39.63333,141.1,141.1125,
03201,盛岡市,59413069,39.64167,39.63333,141.1125,141.125,
03201,盛岡市,59413071,39.65,39.64167,141.0125,141.025,
03201,盛岡市,59413072,39.65,39.64167,141.025,141.0375,
03201,盛岡市,59413073,39.65,39.64167,141.0375,141.05,
03201,盛岡市,59413074,39.65,39.64167,141.05,141.0625,
03201,盛岡市,59413075,39.65,39.64167,141.0625,141.075,
03201,盛岡市,59413076,39.65,39.64167,141.075,141.0875,
03201,盛岡市,59413077,39.65,39.64167,141.0875,141.1,
03201,盛岡市,59413078,39.65,39.64167,141.1,141.1125,
03201,盛岡市,59413079,39.65,39.64167,141.1125,141.125,
03201,盛岡市,59413080,39.65833,39.65,141.0,141.0125,
03201,盛岡市,59413081,39.65833,39.65,141.0125,141.025,
