都道府県市区町村コード,市区町村名,基準メッシュコード
03201,盛岡市,59403799
03201,盛岡市,59404709
03201,盛岡市,59412284
03201,盛岡市,59412285
03201,盛岡市,59412286
03201,盛岡市,59412287
03201,盛岡市,59412288
03201,盛岡市,59412289
03201,盛岡市,59412291
03201,盛岡市,59412294
03201,盛岡市,59412295
03201,盛岡市,59412296
03201,盛岡市,59412297
03201,盛岡市,59412298
03201,盛岡市,59412299
03201,盛岡市,59412373
03201,盛岡市,59412374
03201,盛岡市,59412380
03201,盛岡市,59412382
03201,盛岡市,59412383
03201,盛岡市,59412384
03201,盛岡市,59412390
03201,盛岡市,59412391
03201,盛岡市,59412392
03201,盛岡市,59412393
03201,盛岡市,59412394
03201,盛岡市,59413064
03201,盛岡市,59413065
03201,盛岡市,59413066
03201,盛岡市,59413067
03201,盛岡市,59413068
03201,盛岡市,59413069
03201,盛岡市,59413071
03201,盛岡市,59413072
03201,盛岡市,59413073
03201,盛岡市,59413074
03201,盛岡市,59413075
03201,盛岡市,59413076
03201,盛岡市,59413077
03201,盛岡市,59413078
03201,盛岡市,59413079
03201,盛岡市,59413080
03201,盛岡市,59413081
03201,盛岡市,59413082
03201,盛岡市,59413083
03201,盛岡市,59413084
03201,盛岡市,59413085
03201,盛岡市,59413086
03201,盛岡市,59413087
03201,盛岡市,59413088
03201,盛岡市,59413089
03201,盛岡市,59413090
03201,盛岡市,59413091
03201,盛岡市,59413092
03201,盛岡市,59413093
03201,盛岡市,59413094
03201,盛岡市,59413095
03201,盛岡市,59413096
03201,盛岡市,59413097
03201,盛岡市,59413098
03201,盛岡市,59413099
03201,盛岡市,59413115
03201,盛岡市,59413119
03201,盛岡市,59413125
03201,盛岡市,59413126
03201,盛岡市,59413127
03201,盛岡市,59413128
03201,盛岡市,59413129
03201,盛岡市,59413134
03201,盛岡市,59413135
03201,盛岡市,59413136
03201,盛岡市,59413137
03201,盛岡市,59413138
03201,盛岡市,59413139
03201,盛岡市,59413144
03201,盛岡市,59413145
03201,盛岡市,59413146
03201,盛岡市,59413147
03201,盛岡市,59413148
