municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
04101,仙台市青葉区,57402597,38.25,38.24167,140.7125,140.725,
04101,仙台市青葉区,57402598,38.25,38.24167,140.725,140.7375,
04101,仙台市青葉区,57402599,38.25,38.24167,140.7375,140.75,
04101,仙台市青葉区,57402680,38.24167,38.23333,140.75,140.7625,
04101,仙台市青葉区,57402683,38.24167,38.23333,140.7875,140.8,
04101,仙台市青葉区,57402684,38.24167,38.23333,140.8,140.8125,
04101,仙台市青葉区,57402690,38.25,38.24167,140.75,140.7625,
04101,仙台市青葉区,57402691,38.25,38.24167,140.7625,140.775,
04101,仙台市青葉区,57402692,38.25,38.24167,140.775,140.7875,
04101,仙台市青葉区,57402693,38.25,38.24167,140.7875,140.8,
04101,仙台市青葉区,57402694,38.25,38.24167,140.8,140.8125,
04101,仙台市青葉区,57402695,38.25,38.24167,140.8125,140.825,
04101,仙台市青葉区,57402696,38.25,38.24167,140.825,140.8375,
04101,仙台市青葉区,57402697,38.25,38.24167,140.8375,140.85,
04101,仙台市青葉区,57402698,38.25,38.24167,140.85,140.8625,
04101,仙台市青葉区,57402699,38.25,38.24167,140.8625,140.875,
04101,仙台市青葉区,57402790,38.25,38.24167,140.875,140.8875,
04101,仙台市青葉区,57403448,38.29167,38.28333,140.6,140.6125,
04101,仙台市青葉区,57403449,38.29167,38.28333,140.6125,140.625,
04101,仙台市青葉区,57403456,38.3,38.29167,140.575,140.5875,
04101,仙台市青葉区,57403457,38.3,38.29167,140.5875,140.6,
04101,仙台市青葉区,57403458,38.3,38.29167,140.6,140.6125,
04101,仙台市青葉区,57403459,38.3,38.29167,140.6125,140.625,
04101,仙台市青葉区,57403466,38.30833,38.3,140.575,140.5875,
04101,仙台市青葉区,57403467,38.30833,38.3,140.5875,140.6,
04101,仙台市青葉区,57403468,38.30833,38.3,140.6,140.6125,
04101,仙台市青葉区,57403469,38.30833,38.3,140.6125,140.625,
04101,仙台市青葉区,57403477,38.31667,38.30833,140.5875,140.6,
04101,仙台市青葉区,57403478,38.31667,38.30833,140.6,140.6125,
04101,仙台市青葉区,57403479,38.31667,38.30833,140.6125,140.625,
04101,仙台市青葉区,57403486,38.325,38.31667,140.575,140.5875,
04101,仙台市青葉区,57403487,38.325,38.31667,140.5875,140.6,
04101,仙台市青葉区,57403488,38.325,38.31667,140.6,140.6125,
04101,仙台市青葉区,57403489,38.325,38.31667,140.6125,140.625,
04101,仙台市青葉区,57403496,38.33333,38.325,140.575,140.5875,
04101,仙台市青葉区,57403497,38.33333,38.325,140.5875,140.6,
04101,仙台市青葉区,57403498,38.33333,38.325,140.6,140.6125,
04101,仙台市青葉区,57403499,38.33333,38.325,140.6125,140.625,
04101,仙台市青葉区,57403507,38.25833,38.25,140.7125,140.725,
04101,仙台市青葉区,57403508,38.25833,38.25,140.725,140.7375,
04101,仙台市青葉区,57403509,38.25833,38.25,140.7375,140.75,
04101,仙台市青葉区,57403515,38.26667,38.25833,140.6875,140.7,
04101,仙台市青葉区,57403516,38.26667,38.25833,140.7,140.7125,
04101,仙台市青葉区,57403517,38.26667,38.25833,140.7125,140.725,
04101,仙台市青葉区,57403518,38.26667,38.25833,140.725,140.7375,
04101,仙台市青葉区,57403519,38.26667,38.25833,140.7375,140.75,
04101,仙台市青葉区,57403524,38.275,38.26667,140.675,140.6875,
04101,仙台市青葉区,57403525,38.275,38.26667,140.6875,140.7,
04101,仙台市青葉区,57403526,38.275,38.26667,140.7,140.7125,
04101,仙台市青葉区,57403527,38.275,38.26667,140.7125,140.725,
04101,仙台市青葉区,57403528,38.275,38.26667,140.725,140.7375,
04101,仙台市青葉区,57403529,38.275,38.26667,140.7375,140.75,
04101,仙台市青葉区,57403534,38.28333,38.275,140.675,140.6875,
04101,仙台市青葉区,57403535,38.28333,38.275,140.6875,140.7,
04101,仙台市青葉区,57403536,38.28333,38.275,140.7,140.7125,
04101,仙台市青葉区,57403537,38.28333,38.275,140.7125,140.725,
04101,仙台市青葉区,57403538,38.28333,38.275,140.725,140.7375,
04101,仙台市青葉区,57403539,38.28333,38.275,140.7375,140.75,
04101,仙台市青葉区,57403540,38.29167,38.28333,140.625,140.6375,
04101,仙台市青葉区,57403541,38.29167,38.28333,140.6375,140.65,
04101,仙台市青葉区,57403542,38.29167,38.28333,140.65,140.6625,
04101,仙台市青葉区,57403544,38.29167,38.28333,140.675,140.6875,
04101,仙台市青葉区,57403545,38.29167,38.28333,140.6875,140.7,
04101,仙台市青葉区,57403546,38.29167,38.28333,140.7,140.7125,
04101,仙台市青葉区,57403547,38.29167,38.28333,140.7125,140.725,
04101,仙台市青葉区,57403548,38.29167,38.28333,140.725,140.7375,
04101,仙台市青葉区,57403549,38.29167,38.28333,140.7375,140.75,
04101,仙台市青葉区,57403550,38.3,38.29167,140.625,140.6375,
04101,仙台市青葉区,57403551,38.3,38.29167,140.6375,140.65,
04101,仙台市青葉区,57403552,38.3,38.29167,140.65,140.6625,
04101,仙台市青葉区,57403553,38.3,38.29167,140.6625,140.675,
04101,仙台市青葉区,57403554,38.3,38.29167,140.675,140.6875,
04101,仙台市青葉区,57403555,38.3,38.29167,140.6875,140.7,
