都道府県市区町村コード,市区町村名,基準メッシュコード
04101,仙台市青葉区,57402597
04101,仙台市青葉区,57402598
04101,仙台市青葉区,57402599
04101,仙台市青葉区,57402680
04101,仙台市青葉区,57402683
04101,仙台市青葉区,57402684
04101,仙台市青葉区,57402690
04101,仙台市青葉区,57402691
04101,仙台市青葉区,57402692
04101,仙台市青葉区,57402693
04101,仙台市青葉区,57402694
04101,仙台市青葉区,57402695
04101,仙台市青葉区,57402696
04101,仙台市青葉区,57402697
04101,仙台市青葉区,57402698
04101,仙台市青葉区,57402699
04101,仙台市青葉区,57402790
04101,仙台市青葉区,57403448
04101,仙台市青葉区,57403449
04101,仙台市青葉区,57403456
04101,仙台市青葉区,57403457
04101,仙台市青葉区,57403458
04101,仙台市青葉区,57403459
04101,仙台市青葉区,57403466
04101,仙台市青葉区,57403467
04101,仙台市青葉区,57403468
04101,仙台市青葉区,57403469
04101,仙台市青葉区,57403477
04101,仙台市青葉区,57403478
04101,仙台市青葉区,57403479
04101,仙台市青葉区,57403486
04101,仙台市青葉区,57403487
04101,仙台市青葉区,57403488
04101,仙台市青葉区,57403489
04101,仙台市青葉区,57403496
04101,仙台市青葉区,57403497
04101,仙台市青葉区,57403498
04101,仙台市青葉区,57403499
04101,仙台市青葉区,57403507
04101,仙台市青葉区,57403508
04101,仙台市青葉区,57403509
04101,仙台市青葉区,57403515
04101,仙台市青葉区,57403516
04101,仙台市青葉区,57403517
04101,仙台市青葉区,57403518
04101,仙台市青葉区,57403519
04101,仙台市青葉区,57403524
04101,仙台市青葉区,57403525
04101,仙台市青葉区,57403526
04101,仙台市青葉区,57403527
04101,仙台市青葉区,57403528
04101,仙台市青葉区,57403529
04101,仙台市青葉区,57403534
04101,仙台市青葉区,57403535
04101,仙台市青葉区,57403536
04101,仙台市青葉区,57403537
04101,仙台市青葉区,57403538
04101,仙台市青葉区,57403539
04101,仙台市青葉区,57403540
04101,仙台市青葉区,57403541
04101,仙台市青葉区,57403542
04101,仙台市青葉区,57403544
04101,仙台市青葉区,57403545
04101,仙台市青葉区,57403546
04101,仙台市青葉区,57403547
04101,仙台市青葉区,57403548
04101,仙台市青葉区,57403549
04101,仙台市青葉区,57403550
04101,仙台市青葉区,57403551
04101,仙台市青葉区,57403552
04101,仙台市青葉区,57403553
04101,仙台市青葉区,57403554
04101,仙台市青葉区,57403555
04101,仙台市青葉区,57403556
04101,仙台市青葉区,57403557
04101,仙台市青葉区,57403558
04101,仙台市青葉区,57403559
04101,仙台市青葉区,57403560
04101,仙台市青葉区,57403561
04101,仙台市青葉区,57403562
04101,仙台市青葉区,57403563
