municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
05201,秋田市,59401148,39.45833,39.45,140.225,140.2375,
05201,秋田市,59401149,39.45833,39.45,140.2375,140.25,
05201,秋田市,59401158,39.46667,39.45833,140.225,140.2375,
05201,秋田市,59401159,39.46667,39.45833,140.2375,140.25,
05201,秋田市,59401167,39.475,39.46667,140.2125,140.225,
05201,秋田市,59401168,39.475,39.46667,140.225,140.2375,
05201,秋田市,59401169,39.475,39.46667,140.2375,140.25,
05201,秋田市,59401177,39.48333,39.475,140.2125,140.225,
05201,秋田市,59401178,39.48333,39.475,140.225,140.2375,
05201,秋田市,59401179,39.48333,39.475,140.2375,140.25,
05201,秋田市,59401187,39.49167,39.48333,140.2125,140.225,
05201,秋田市,59401188,39.49167,39.48333,140.225,140.2375,
05201,秋田市,59401189,39.49167,39.48333,140.2375,140.25,
05201,秋田市,59401195,39.5,39.49167,140.1875,140.2,
05201,秋田市,59401196,39.5,39.49167,140.2,140.2125,
05201,秋田市,59401197,39.5,39.49167,140.2125,140.225,
05201,秋田市,59401198,39.5,39.49167,140.225,140.2375,
05201,秋田市,59401199,39.5,39.49167,140.2375,140.25,
05201,秋田市,59401230,39.45,39.44167,140.25,140.2625,
05201,秋田市,59401231,39.45,39.44167,140.2625,140.275,
05201,秋田市,59401240,39.45833,39.45,140.25,140.2625,
05201,秋田市,59401241,39.45833,39.45,140.2625,140.275,
05201,秋田市,59401242,39.45833,39.45,140.275,140.2875,
05201,秋田市,59401250,39.46667,39.45833,140.25,140.2625,
05201,秋田市,59401251,39.46667,39.45833,140.2625,140.275,
05201,秋田市,59401252,39.46667,39.45833,140.275,140.2875,
05201,秋田市,59401260,39.475,39.46667,140.25,140.2625,
05201,秋田市,59401261,39.475,39.46667,140.2625,140.275,
05201,秋田市,59401262,39.475,39.46667,140.275,140.2875,
05201,秋田市,59401270,39.48333,39.475,140.25,140.2625,
05201,秋田市,59401271,39.48333,39.475,140.2625,140.275,
05201,秋田市,59401272,39.48333,39.475,140.275,140.2875,
05201,秋田市,59401280,39.49167,39.48333,140.25,140.2625,
05201,秋田市,59401281,39.49167,39.48333,140.2625,140.275,
05201,秋田市,59401282,39.49167,39.48333,140.275,140.2875,
05201,秋田市,59401290,39.5,39.49167,140.25,140.2625,
05201,秋田市,59401291,39.5,39.49167,140.2625,140.275,
05201,秋田市,59401292,39.5,39.49167,140.275,140.2875,
05201,秋田市,59402088,39.575,39.56667,140.1,140.1125,
05201,秋田市,59402089,39.575,39.56667,140.1125,140.125,
05201,秋田市,59402095,39.58333,39.575,140.0625,140.075,
05201,秋田市,59402096,39.58333,39.575,140.075,140.0875,
05201,秋田市,59402097,39.58333,39.575,140.0875,140.1,
05201,秋田市,59402098,39.58333,39.575,140.1,140.1125,
05201,秋田市,59402099,39.58333,39.575,140.1125,140.125,
05201,秋田市,59402104,39.50833,39.5,140.175,140.1875,
05201,秋田市,59402105,39.50833,39.5,140.1875,140.2,
05201,秋田市,59402106,39.50833,39.5,140.2,140.2125,
05201,秋田市,59402107,39.50833,39.5,140.2125,140.225,
05201,秋田市,59402108,39.50833,39.5,140.225,140.2375,
05201,秋田市,59402109,39.50833,39.5,140.2375,140.25,
05201,秋田市,59402114,39.51667,39.50833,140.175,140.1875,
05201,秋田市,59402115,39.51667,39.50833,140.1875,140.2,
05201,秋田市,59402116,39.51667,39.50833,140.2,140.2125,
05201,秋田市,59402117,39.51667,39.50833,140.2125,140.225,
05201,秋田市,59402118,39.51667,39.50833,140.225,140.2375,
05201,秋田市,59402119,39.51667,39.50833,140.2375,140.25,
05201,秋田市,59402124,39.525,39.51667,140.175,140.1875,
05201,秋田市,59402125,39.525,39.51667,140.1875,140.2,
05201,秋田市,59402126,39.525,39.51667,140.2,140.2125,
05201,秋田市,59402127,39.525,39.51667,140.2125,140.225,
05201,秋田市,59402128,39.525,39.51667,140.225,140.2375,
05201,秋田市,59402129,39.525,39.51667,140.2375,140.25,
05201,秋田市,59402133,39.53333,39.525,140.1625,140.175,
05201,秋田市,59402134,39.53333,39.525,140.175,140.1875,
05201,秋田市,59402135,39.53333,39.525,140.1875,140.2,
05201,秋田市,59402136,39.53333,39.525,140.2,140.2125,
05201,秋田市,59402137,39.53333,39.525,140.2125,140.225,
05201,秋田市,59402138,39.53333,39.525,140.225,140.2375,
05201,秋田市,59402139,39.53333,39.525,140.2375,140.25,
05201,秋田市,59402142,39.54167,39.53333,140.15,140.1625,
05201,秋田市,59402143,39.54167,39.53333,140.1625,140.175,
05201,秋田市,59402144,39.54167,39.53333,140.175,140.1875,
05201,秋田市,59402145,39.54167,39.53333,140.1875,140.2,
05201,秋田市,59402146,39.54167,39.53333,140.2,140.2125,
05201,秋田市,59402147,39.54167,39.53333,140.2125,140.225,
05201,秋田市,59402148,39.54167,39.53333,140.225,140.2375,
05201,秋田市,59402149,39.54167,39.53333,140.2375,140.25,
05201,秋田市,59402153,39.55,39.54167,140.1625,140.175,
05201,秋田市,59402154,39.55,39.54167,140.175,140.1875,
05201,秋田市,59402155,39.55,39.54167,140.1875,140.2,
05201,秋田市,59402156,39.55,39.54167,140.2,140.2125,
05201,秋田市,59402157,39.55,39.54167,140.2125,140.225,
05201,秋田市,59402158,39.55,39.54167,140.225,140.2375,
05201,秋田市,59402159,39.55,39.54167,140.2375,140.25,
05201,秋田市,59402162,39.55833,39.55,140.15,140.1625,
05201,秋田市,59402163,39.55833,39.55,140.1625,140.175,
05201,秋田市,59402164,39.55833,39.55,140.175,140.1875,
05201,秋田市,59402165,39.55833,39.55,140.1875,140.2,
05201,秋田市,59402166,39.55833,39.55,140.2,140.2125,
05201,秋田市,59402167,39.55833,39.55,140.2125,140.225,
05201,秋田市,59402168,39.55833,39.55,140.225,140.2375,
05201,秋田市,59402172,39.56667,39.55833,140.15,140.1625,
05201,秋田市,59402173,39.56667,39.55833,140.1625,140.175,
05201,秋田市,59402174,39.56667,39.55833,140.175,140.1875,
05201,秋田市,59402175,39.56667,39.55833,140.1875,140.2,
05201,秋田市,59402176,39.56667,39.55833,140.2,140.2125,
05201,秋田市,59402177,39.56667,39.55833,140.2125,140.225,
05201,秋田市,59402178,39.56667,39.55833,140.225,140.2375,
05201,秋田市,59402179,39.56667,39.55833,140.2375,140.25,
05201,秋田市,59402180,39.575,39.56667,140.125,140.1375,
05201,秋田市,59402181,39.575,39.56667,140.1375,140.15,
05201,秋田市,59402182,39.575,39.56667,140.15,140.1625,
05201,秋田市,59402183,39.575,39.56667,140.1625,140.175,
05201,秋田市,59402184,39.575,39.56667,140.175,140.1875,
05201,秋田市,59402185,39.575,39.56667,140.1875,140.2,
05201,秋田市,59402186,39.575,39.56667,140.2,140.2125,
05201,秋田市,59402187,39.575,39.56667,140.2125,140.225,
05201,秋田市,59402188,39.575,39.56667,140.225,140.2375,
05201,秋田市,59402189,39.575,39.56667,140.2375,140.25,
05201,秋田市,59402190,39.58333,39.575,140.125,140.1375,
05201,秋田市,59402191,39.58333,39.575,140.1375,140.15,
05201,秋田市,59402192,39.58333,39.575,140.15,140.1625,
05201,秋田市,59402193,39.58333,39.575,140.1625,140.175,
05201,秋田市,59402194,39.58333,39.575,140.175,140.1875,
05201,秋田市,59402195,39.58333,39.575,140.1875,140.2,
05201,秋田市,59402196,39.58333,39.575,140.2,140.2125,
05201,秋田市,59402197,39.58333,39.575,140.2125,140.225,
05201,秋田市,59402198,39.58333,39.575,140.225,140.2375,
05201,秋田市,59402199,39.58333,39.575,140.2375,140.25,
05201,秋田市,59402200,39.50833,39.5,140.25,140.2625,
05201,秋田市,59402201,39.50833,39.5,140.2625,140.275,
05201,秋田市,59402210,39.51667,39.50833,140.25,140.2625,
05201,秋田市,59402211,39.51667,39.50833,140.2625,140.275,
05201,秋田市,59402220,39.525,39.51667,140.25,140.2625,
05201,秋田市,59402290,39.58333,39.575,140.25,140.2625,
05201,秋田市,59403005,39.59167,39.58333,140.0625,140.075,
05201,秋田市,59403006,39.59167,39.58333,140.075,140.0875,
05201,秋田市,59403007,39.59167,39.58333,140.0875,140.1,
05201,秋田市,59403008,39.59167,39.58333,140.1,140.1125,
05201,秋田市,59403009,39.59167,39.58333,140.1125,140.125,
05201,秋田市,59403014,39.6,39.59167,140.05,140.0625,
05201,秋田市,59403015,39.6,39.59167,140.0625,140.075,
05201,秋田市,59403016,39.6,39.59167,140.075,140.0875,
05201,秋田市,59403017,39.6,39.59167,140.0875,140.1,
05201,秋田市,59403018,39.6,39.59167,140.1,140.1125,
05201,秋田市,59403019,39.6,39.59167,140.1125,140.125,
05201,秋田市,59403024,39.60833,39.6,140.05,140.0625,
05201,秋田市,59403025,39.60833,39.6,140.0625,140.075,
05201,秋田市,59403026,39.60833,39.6,140.075,140.0875,
05201,秋田市,59403027,39.60833,39.6,140.0875,140.1,
05201,秋田市,59403028,39.60833,39.6,140.1,140.1125,
05201,秋田市,59403029,39.60833,39.6,140.1125,140.125,
05201,秋田市,59403034,39.61667,39.60833,140.05,140.0625,
05201,秋田市,59403035,39.61667,39.60833,140.0625,140.075,
05201,秋田市,59403036,39.61667,39.60833,140.075,140.0875,
05201,秋田市,59403037,39.61667,39.60833,140.0875,140.1,
05201,秋田市,59403038,39.61667,39.60833,140.1,140.1125,
05201,秋田市,59403039,39.61667,39.60833,140.1125,140.125,
05201,秋田市,59403044,39.625,39.61667,140.05,140.0625,
05201,秋田市,59403045,39.625,39.61667,140.0625,140.075,
05201,秋田市,59403046,39.625,39.61667,140.075,140.0875,
05201,秋田市,59403047,39.625,39.61667,140.0875,140.1,
05201,秋田市,59403048,39.625,39.61667,140.1,140.1125,
05201,秋田市,59403049,39.625,39.61667,140.1125,140.125,
05201,秋田市,59403054,39.63333,39.625,140.05,140.0625,
05201,秋田市,59403055,39.63333,39.625,140.0625,140.075,
05201,秋田市,59403056,39.63333,39.625,140.075,140.0875,
05201,秋田市,59403057,39.63333,39.625,140.0875,140.1,
05201,秋田市,59403058,39.63333,39.625,140.1,140.1125,
05201,秋田市,59403059,39.63333,39.625,140.1125,140.125,
