都道府県市区町村コード,市区町村名,基準メッシュコード
05201,秋田市,59401148
05201,秋田市,59401149
05201,秋田市,59401158
05201,秋田市,59401159
05201,秋田市,59401167
05201,秋田市,59401168
05201,秋田市,59401169
05201,秋田市,59401177
05201,秋田市,59401178
05201,秋田市,59401179
05201,秋田市,59401187
05201,秋田市,59401188
05201,秋田市,59401189
05201,秋田市,59401195
05201,秋田市,59401196
05201,秋田市,59401197
05201,秋田市,59401198
05201,秋田市,59401199
05201,秋田市,59401230
05201,秋田市,59401231
05201,秋田市,59401240
05201,秋田市,59401241
05201,秋田市,59401242
05201,秋田市,59401250
05201,秋田市,59401251
05201,秋田市,59401252
05201,秋田市,59401260
05201,秋田市,59401261
05201,秋田市,59401262
05201,秋田市,59401270
05201,秋田市,59401271
05201,秋田市,59401272
05201,秋田市,59401280
05201,秋田市,59401281
05201,秋田市,59401282
05201,秋田市,59401290
05201,秋田市,59401291
05201,秋田市,59401292
05201,秋田市,59402088
05201,秋田市,59402089
05201,秋田市,59402095
05201,秋田市,59402096
05201,秋田市,59402097
05201,秋田市,59402098
05201,秋田市,59402099
05201,秋田市,59402104
05201,秋田市,59402105
05201,秋田市,59402106
05201,秋田市,59402107
05201,秋田市,59402108
05201,秋田市,59402109
05201,秋田市,59402114
05201,秋田市,59402115
05201,秋田市,59402116
05201,秋田市,59402117
05201,秋田市,59402118
05201,秋田市,59402119
05201,秋田市,59402124
05201,秋田市,59402125
05201,秋田市,59402126
05201,秋田市,59402127
05201,秋田市,59402128
05201,秋田市,59402129
05201,秋田市,59402133
05201,秋田市,59402134
05201,秋田市,59402135
05201,秋田市,59402136
05201,秋田市,59402137
05201,秋田市,59402138
05201,秋田市,59402139
05201,秋田市,59402142
05201,秋田市,59402143
05201,秋田市,59402144
05201,秋田市,59402145
05201,秋田市,59402146
05201,秋田市,59402147
05201,秋田市,59402148
05201,秋田市,59402149
05201,秋田市,59402153
05201,秋田市,59402154
05201,秋田市,59402155
05201,秋田市,59402156
05201,秋田市,59402157
05201,秋田市,59402158
05201,秋田市,59402159
05201,秋田市,59402162
05201,秋田市,59402163
05201,秋田市,59402164
05201,秋田市,59402165
05201,秋田市,59402166
05201,秋田市,59402167
05201,秋田市,59402168
05201,秋田市,59402172
05201,秋田市,59402173
05201,秋田市,59402174
05201,秋田市,59402175
05201,秋田市,59402176
05201,秋田市,59402177
05201,秋田市,59402178
05201,秋田市,59402179
05201,秋田市,59402180
05201,秋田市,59402181
05201,秋田市,59402182
05201,秋田市,59402183
05201,秋田市,59402184
05201,秋田市,59402185
05201,秋田市,59402186
05201,秋田市,59402187
05201,秋田市,59402188
05201,秋田市,59402189
05201,秋田市,59402190
05201,秋田市,59402191
