都道府県市区町村コード,市区町村名,基準メッシュコード
08201,水戸市,54403278
08201,水戸市,54403279
08201,水戸市,54403287
08201,水戸市,54403288
08201,水戸市,54403289
08201,水戸市,54403297
08201,水戸市,54403298
08201,水戸市,54403299
08201,水戸市,54403369
08201,水戸市,54403370
08201,水戸市,54403371
08201,水戸市,54403373
08201,水戸市,54403374
08201,水戸市,54403375
08201,水戸市,54403377
08201,水戸市,54403378
08201,水戸市,54403379
08201,水戸市,54403380
08201,水戸市,54403381
08201,水戸市,54403383
08201,水戸市,54403384
08201,水戸市,54403385
08201,水戸市,54403386
08201,水戸市,54403387
08201,水戸市,54403388
08201,水戸市,54403389
08201,水戸市,54403390
08201,水戸市,54403391
08201,水戸市,54403392
08201,水戸市,54403393
08201,水戸市,54403394
08201,水戸市,54403395
08201,水戸市,54403396
08201,水戸市,54403397
08201,水戸市,54403398
08201,水戸市,54403399
08201,水戸市,54403460
08201,水戸市,54403461
08201,水戸市,54403462
08201,水戸市,54403470
08201,水戸市,54403471
08201,水戸市,54403472
08201,水戸市,54403473
08201,水戸市,54403474
08201,水戸市,54403480
08201,水戸市,54403481
08201,水戸市,54403482
08201,水戸市,54403483
08201,水戸市,54403484
08201,水戸市,54403485
08201,水戸市,54403490
08201,水戸市,54403491
08201,水戸市,54403492
08201,水戸市,54403493
08201,水戸市,54403494
08201,水戸市,54403495
08201,水戸市,54403496
08201,水戸市,54404206
08201,水戸市,54404207
08201,水戸市,54404208
08201,水戸市,54404209
08201,水戸市,54404216
08201,水戸市,54404217
08201,水戸市,54404218
08201,水戸市,54404219
08201,水戸市,54404226
08201,水戸市,54404227
08201,水戸市,54404228
08201,水戸市,54404229
08201,水戸市,54404237
08201,水戸市,54404238
08201,水戸市,54404239
08201,水戸市,54404246
08201,水戸市,54404247
08201,水戸市,54404248
08201,水戸市,54404249
08201,水戸市,54404255
08201,水戸市,54404256
08201,水戸市,54404257
08201,水戸市,54404258
08201,水戸市,54404259
08201,水戸市,54404265
08201,水戸市,54404266
08201,水戸市,54404267
08201,水戸市,54404268
08201,水戸市,54404269
08201,水戸市,54404275
08201,水戸市,54404276
08201,水戸市,54404277
08201,水戸市,54404278
08201,水戸市,54404279
08201,水戸市,54404288
08201,水戸市,54404289
08201,水戸市,54404297
08201,水戸市,54404298
08201,水戸市,54404299
08201,水戸市,54404300
08201,水戸市,54404301
08201,水戸市,54404302
08201,水戸市,54404303
08201,水戸市,54404304
08201,水戸市,54404305
08201,水戸市,54404306
08201,水戸市,54404307
08201,水戸市,54404308
08201,水戸市,54404309
08201,水戸市,54404310
08201,水戸市,54404311
08201,水戸市,54404312
08201,水戸市,54404313
08201,水戸市,54404314
08201,水戸市,54404315
08201,水戸市,54404316
08201,水戸市,54404317
08201,水戸市,54404318
08201,水戸市,54404319
08201,水戸市,54404320
08201,水戸市,54404321
08201,水戸市,54404322
08201,水戸市,54404323
08201,水戸市,54404324
08201,水戸市,54404325
08201,水戸市,54404326
08201,水戸市,54404327
08201,水戸市,54404328
08201,水戸市,54404329
08201,水戸市,54404330
08201,水戸市,54404331
08201,水戸市,54404332
08201,水戸市,54404333
08201,水戸市,54404334
08201,水戸市,54404335
08201,水戸市,54404336
08201,水戸市,54404337
08201,水戸市,54404338
08201,水戸市,54404339
08201,水戸市,54404340
08201,水戸市,54404341
08201,水戸市,54404342
08201,水戸市,54404343
08201,水戸市,54404344
08201,水戸市,54404345
08201,水戸市,54404346
08201,水戸市,54404347
08201,水戸市,54404348
08201,水戸市,54404349
08201,水戸市,54404350
08201,水戸市,54404351
08201,水戸市,54404352
08201,水戸市,54404353
08201,水戸市,54404354
08201,水戸市,54404355
08201,水戸市,54404356
08201,水戸市,54404357
08201,水戸市,54404358
08201,水戸市,54404359
08201,水戸市,54404360
08201,水戸市,54404361
08201,水戸市,54404362
08201,水戸市,54404363
08201,水戸市,54404364
08201,水戸市,54404365
08201,水戸市,54404366
08201,水戸市,54404367
08201,水戸市,54404368
08201,水戸市,54404370
08201,水戸市,54404371
08201,水戸市,54404372
08201,水戸市,54404373
08201,水戸市,54404374
08201,水戸市,54404375
08201,水戸市,54404376
08201,水戸市,54404377
08201,水戸市,54404378
08201,水戸市,54404379
08201,水戸市,54404380
08201,水戸市,54404381
08201,水戸市,54404382
08201,水戸市,54404383
08201,水戸市,54404384
08201,水戸市,54404385
08201,水戸市,54404386
08201,水戸市,54404387
08201,水戸市,54404388
08201,水戸市,54404390
08201,水戸市,54404391
08201,水戸市,54404392
08201,水戸市,54404393
08201,水戸市,54404394
08201,水戸市,54404395
08201,水戸市,54404396
08201,水戸市,54404397
08201,水戸市,54404400
08201,水戸市,54404401
08201,水戸市,54404402
08201,水戸市,54404403
08201,水戸市,54404404
08201,水戸市,54404405
08201,水戸市,54404406
08201,水戸市,54404410
08201,水戸市,54404411
08201,水戸市,54404412
08201,水戸市,54404413
08201,水戸市,54404414
08201,水戸市,54404415
08201,水戸市,54404416
08201,水戸市,54404420
08201,水戸市,54404421
08201,水戸市,54404422
08201,水戸市,54404423
08201,水戸市,54404424
08201,水戸市,54404425
08201,水戸市,54404430
08201,水戸市,54404431
08201,水戸市,54404432
08201,水戸市,54404433
08201,水戸市,54404434
08201,水戸市,54404440
08201,水戸市,54404441
08201,水戸市,54404450
08201,水戸市,54405207
08201,水戸市,54405208
08201,水戸市,54405209
08201,水戸市,54405216
08201,水戸市,54405217
08201,水戸市,54405218
08201,水戸市,54405219
08201,水戸市,54405229
08201,水戸市,54405300
08201,水戸市,54405301
08201,水戸市,54405302
08201,水戸市,54405303
08201,水戸市,54405304
08201,水戸市,54405305
08201,水戸市,54405306
08201,水戸市,54405310
08201,水戸市,54405311
08201,水戸市,54405312
08201,水戸市,54405313
08201,水戸市,54405314
08201,水戸市,54405315
08201,水戸市,54405316
08201,水戸市,54405320
08201,水戸市,54405321
08201,水戸市,54405322
08201,水戸市,54405323
08201,水戸市,54405324
08201,水戸市,54405325
08201,水戸市,54405326
08201,水戸市,54405331
08201,水戸市,54405332
08201,水戸市,54405333
08201,水戸市,54405334
08201,水戸市,54405335
08201,水戸市,54405336
08201,水戸市,54405340
08201,水戸市,54405341
08201,水戸市,54405342
08201,水戸市,54405343
08201,水戸市,54405344
08201,水戸市,54405345
08201,水戸市,54405350
08201,水戸市,54405351
08201,水戸市,54405352
08201,水戸市,54405353
08202,日立市,54405478
08202,日立市,54405479
08202,日立市,54405487
08202,日立市,54405488
08202,日立市,54405489
08202,日立市,54405494
08202,日立市,54405495
08202,日立市,54405496
08202,日立市,54405497
08202,日立市,54405498
08202,日立市,54405499
08202,日立市,54405590
08202,日立市,54406404
08202,日立市,54406405
08202,日立市,54406406
08202,日立市,54406407
08202,日立市,54406408
08202,日立市,54406409
08202,日立市,54406415
08202,日立市,54406416
08202,日立市,54406417
08202,日立市,54406418
08202,日立市,54406419
08202,日立市,54406426
08202,日立市,54406427
08202,日立市,54406428
08202,日立市,54406429
08202,日立市,54406437
08202,日立市,54406438
08202,日立市,54406439
08202,日立市,54406447
08202,日立市,54406448
08202,日立市,54406449
08202,日立市,54406457
08202,日立市,54406458
08202,日立市,54406459
08202,日立市,54406466
08202,日立市,54406467
08202,日立市,54406468
08202,日立市,54406469
08202,日立市,54406476
08202,日立市,54406477
08202,日立市,54406478
08202,日立市,54406479
08202,日立市,54406486
08202,日立市,54406487
08202,日立市,54406488
08202,日立市,54406489
08202,日立市,54406496
08202,日立市,54406497
08202,日立市,54406498
08202,日立市,54406499
08202,日立市,54406500
08202,日立市,54406510
08202,日立市,54406520
08202,日立市,54406530
08202,日立市,54406531
08202,日立市,54406540
08202,日立市,54406541
08202,日立市,54406550
08202,日立市,54406551
08202,日立市,54406560
08202,日立市,54406561
08202,日立市,54406570
08202,日立市,54406571
08202,日立市,54406572
08202,日立市,54406580
08202,日立市,54406581
08202,日立市,54406582
08202,日立市,54406590
08202,日立市,54406591
08202,日立市,54406592
08202,日立市,54406593
08202,日立市,54407406
08202,日立市,54407407
08202,日立市,54407408
08202,日立市,54407409
08202,日立市,54407416
08202,日立市,54407417
08202,日立市,54407418
08202,日立市,54407419
08202,日立市,54407426
08202,日立市,54407427
08202,日立市,54407428
08202,日立市,54407429
08202,日立市,54407433
08202,日立市,54407436
08202,日立市,54407437
08202,日立市,54407438
08202,日立市,54407439
08202,日立市,54407442
08202,日立市,54407443
08202,日立市,54407444
08202,日立市,54407445
08202,日立市,54407446
08202,日立市,54407447
08202,日立市,54407448
08202,日立市,54407449
08202,日立市,54407452
08202,日立市,54407453
08202,日立市,54407454
08202,日立市,54407455
08202,日立市,54407456
08202,日立市,54407457
08202,日立市,54407458
08202,日立市,54407459
08202,日立市,54407461
08202,日立市,54407462
08202,日立市,54407463
08202,日立市,54407464
08202,日立市,54407465
08202,日立市,54407466
08202,日立市,54407467
08202,日立市,54407468
08202,日立市,54407469
08202,日立市,54407471
08202,日立市,54407472
08202,日立市,54407473
08202,日立市,54407474
08202,日立市,54407475
08202,日立市,54407476
08202,日立市,54407477
08202,日立市,54407478
08202,日立市,54407479
08202,日立市,54407481
08202,日立市,54407482
08202,日立市,54407483
08202,日立市,54407484
08202,日立市,54407485
08202,日立市,54407486
08202,日立市,54407487
08202,日立市,54407488
08202,日立市,54407489
08202,日立市,54407493
08202,日立市,54407494
08202,日立市,54407495
08202,日立市,54407496
08202,日立市,54407497
08202,日立市,54407498
08202,日立市,54407499
08202,日立市,54407500
08202,日立市,54407501
08202,日立市,54407502
08202,日立市,54407503
08202,日立市,54407510
08202,日立市,54407511
08202,日立市,54407512
08202,日立市,54407513
08202,日立市,54407520
08202,日立市,54407521
08202,日立市,54407522
08202,日立市,54407523
08202,日立市,54407524
08202,日立市,54407530
08202,日立市,54407531
08202,日立市,54407532
08202,日立市,54407533
08202,日立市,54407534
08202,日立市,54407540
08202,日立市,54407541
08202,日立市,54407542
08202,日立市,54407543
08202,日立市,54407544
08202,日立市,54407545
08202,日立市,54407550
08202,日立市,54407551
08202,日立市,54407552
08202,日立市,54407553
08202,日立市,54407554
08202,日立市,54407555
08202,日立市,54407560
08202,日立市,54407561
08202,日立市,54407562
08202,日立市,54407563
08202,日立市,54407564
08202,日立市,54407565
08202,日立市,54407570
08202,日立市,54407571
08202,日立市,54407572
08202,日立市,54407573
08202,日立市,54407574
08202,日立市,54407575
08202,日立市,54407576
08202,日立市,54407580
08202,日立市,54407581
08202,日立市,54407582
08202,日立市,54407583
08202,日立市,54407584
08202,日立市,54407585
08202,日立市,54407586
08202,日立市,54407590
08202,日立市,54407591
08202,日立市,54407592
08202,日立市,54407593
08202,日立市,54407594
08202,日立市,54407595
08202,日立市,54407596
08202,日立市,54407597
08202,日立市,55400403
08202,日立市,55400404
08202,日立市,55400405
08202,日立市,55400406
08202,日立市,55400407
08202,日立市,55400408
08202,日立市,55400409
08202,日立市,55400413
08202,日立市,55400414
08202,日立市,55400415
08202,日立市,55400416
08202,日立市,55400417
08202,日立市,55400418
08202,日立市,55400419
08202,日立市,55400423
08202,日立市,55400424
08202,日立市,55400425
08202,日立市,55400426
08202,日立市,55400427
08202,日立市,55400428
08202,日立市,55400429
08202,日立市,55400433
08202,日立市,55400434
08202,日立市,55400435
08202,日立市,55400436
08202,日立市,55400437
08202,日立市,55400438
08202,日立市,55400439
08202,日立市,55400443
08202,日立市,55400444
08202,日立市,55400445
08202,日立市,55400446
08202,日立市,55400447
08202,日立市,55400448
08202,日立市,55400449
08202,日立市,55400453
08202,日立市,55400454
08202,日立市,55400455
08202,日立市,55400459
08202,日立市,55400500
08202,日立市,55400501
08202,日立市,55400502
08202,日立市,55400503
08202,日立市,55400504
08202,日立市,55400505
08202,日立市,55400506
08202,日立市,55400507
08202,日立市,55400510
08202,日立市,55400511
08202,日立市,55400512
08202,日立市,55400513
08202,日立市,55400514
08202,日立市,55400515
08202,日立市,55400516
08202,日立市,55400517
08202,日立市,55400520
08202,日立市,55400521
08202,日立市,55400522
08202,日立市,55400523
08202,日立市,55400524
08202,日立市,55400525
08202,日立市,55400526
08202,日立市,55400527
08202,日立市,55400530
08202,日立市,55400531
08202,日立市,55400532
08202,日立市,55400533
08202,日立市,55400534
08202,日立市,55400535
08202,日立市,55400536
08202,日立市,55400537
08202,日立市,55400540
08202,日立市,55400541
08202,日立市,55400542
08202,日立市,55400543
08203,土浦市,54400112
08203,土浦市,54400113
08203,土浦市,54400121
08203,土浦市,54400122
08203,土浦市,54400123
08203,土浦市,54400131
08203,土浦市,54400132
08203,土浦市,54400133
08203,土浦市,54400134
08203,土浦市,54400135
08203,土浦市,54400141
08203,土浦市,54400142
08203,土浦市,54400143
08203,土浦市,54400144
08203,土浦市,54400145
08203,土浦市,54400146
08203,土浦市,54400151
08203,土浦市,54400152
08203,土浦市,54400153
08203,土浦市,54400154
08203,土浦市,54400155
08203,土浦市,54400156
08203,土浦市,54400161
08203,土浦市,54400162
08203,土浦市,54400163
08203,土浦市,54400164
08203,土浦市,54400165
08203,土浦市,54400166
08203,土浦市,54400167
08203,土浦市,54400168
08203,土浦市,54400169
08203,土浦市,54400172
08203,土浦市,54400173
08203,土浦市,54400174
08203,土浦市,54400175
08203,土浦市,54400176
08203,土浦市,54400177
08203,土浦市,54400178
08203,土浦市,54400179
08203,土浦市,54400182
08203,土浦市,54400183
08203,土浦市,54400184
08203,土浦市,54400185
08203,土浦市,54400186
08203,土浦市,54400187
08203,土浦市,54400188
08203,土浦市,54400189
08203,土浦市,54400192
08203,土浦市,54400193
08203,土浦市,54400194
08203,土浦市,54400195
08203,土浦市,54400196
08203,土浦市,54400197
08203,土浦市,54400198
08203,土浦市,54400199
08203,土浦市,54400260
08203,土浦市,54400261
08203,土浦市,54400270
08203,土浦市,54400271
08203,土浦市,54400280
08203,土浦市,54400281
08203,土浦市,54400290
08203,土浦市,54400291
08203,土浦市,54401059
08203,土浦市,54401069
08203,土浦市,54401102
08203,土浦市,54401103
08203,土浦市,54401104
08203,土浦市,54401105
08203,土浦市,54401106
08203,土浦市,54401107
08203,土浦市,54401108
08203,土浦市,54401109
08203,土浦市,54401112
08203,土浦市,54401113
08203,土浦市,54401114
08203,土浦市,54401115
08203,土浦市,54401116
08203,土浦市,54401117
08203,土浦市,54401118
08203,土浦市,54401119
08203,土浦市,54401122
08203,土浦市,54401123
08203,土浦市,54401124
08203,土浦市,54401125
08203,土浦市,54401126
08203,土浦市,54401127
08203,土浦市,54401128
08203,土浦市,54401129
08203,土浦市,54401130
08203,土浦市,54401131
08203,土浦市,54401132
08203,土浦市,54401133
08203,土浦市,54401134
08203,土浦市,54401135
08203,土浦市,54401136
08203,土浦市,54401137
08203,土浦市,54401138
08203,土浦市,54401139
08203,土浦市,54401140
08203,土浦市,54401141
08203,土浦市,54401142
08203,土浦市,54401143
08203,土浦市,54401144
08203,土浦市,54401145
08203,土浦市,54401146
08203,土浦市,54401147
08203,土浦市,54401148
08203,土浦市,54401149
08203,土浦市,54401150
08203,土浦市,54401151
