municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
11101,さいたま市西区,53396444,35.875,35.86667,139.55,139.5625,
11101,さいたま市西区,53396445,35.875,35.86667,139.5625,139.575,
11101,さいたま市西区,53396446,35.875,35.86667,139.575,139.5875,
11101,さいたま市西区,53396454,35.88333,35.875,139.55,139.5625,
11101,さいたま市西区,53396455,35.88333,35.875,139.5625,139.575,
11101,さいたま市西区,53396456,35.88333,35.875,139.575,139.5875,
11101,さいたま市西区,53396457,35.88333,35.875,139.5875,139.6,
11101,さいたま市西区,53396458,35.88333,35.875,139.6,139.6125,
11101,さいたま市西区,53396463,35.89167,35.88333,139.5375,139.55,
11101,さいたま市西区,53396464,35.89167,35.88333,139.55,139.5625,
11101,さいたま市西区,53396465,35.89167,35.88333,139.5625,139.575,
11101,さいたま市西区,53396466,35.89167,35.88333,139.575,139.5875,
11101,さいたま市西区,53396467,35.89167,35.88333,139.5875,139.6,
11101,さいたま市西区,53396468,35.89167,35.88333,139.6,139.6125,
11101,さいたま市西区,53396474,35.9,35.89167,139.55,139.5625,
11101,さいたま市西区,53396475,35.9,35.89167,139.5625,139.575,
11101,さいたま市西区,53396476,35.9,35.89167,139.575,139.5875,
11101,さいたま市西区,53396477,35.9,35.89167,139.5875,139.6,
11101,さいたま市西区,53396484,35.90833,35.9,139.55,139.5625,
11101,さいたま市西区,53396485,35.90833,35.9,139.5625,139.575,
11101,さいたま市西区,53396486,35.90833,35.9,139.575,139.5875,
11101,さいたま市西区,53396487,35.90833,35.9,139.5875,139.6,
11101,さいたま市西区,53396493,35.91667,35.90833,139.5375,139.55,
11101,さいたま市西区,53396494,35.91667,35.90833,139.55,139.5625,
11101,さいたま市西区,53396495,35.91667,35.90833,139.5625,139.575,
11101,さいたま市西区,53396496,35.91667,35.90833,139.575,139.5875,
11101,さいたま市西区,53396497,35.91667,35.90833,139.5875,139.6,
11101,さいたま市西区,53397403,35.925,35.91667,139.5375,139.55,
11101,さいたま市西区,53397404,35.925,35.91667,139.55,139.5625,
11101,さいたま市西区,53397405,35.925,35.91667,139.5625,139.575,
11101,さいたま市西区,53397406,35.925,35.91667,139.575,139.5875,
11101,さいたま市西区,53397407,35.925,35.91667,139.5875,139.6,
11101,さいたま市西区,53397413,35.93333,35.925,139.5375,139.55,
11101,さいたま市西区,53397414,35.93333,35.925,139.55,139.5625,
11101,さいたま市西区,53397415,35.93333,35.925,139.5625,139.575,
11101,さいたま市西区,53397416,35.93333,35.925,139.575,139.5875,
11101,さいたま市西区,53397417,35.93333,35.925,139.5875,139.6,
11101,さいたま市西区,53397423,35.94167,35.93333,139.5375,139.55,
11101,さいたま市西区,53397424,35.94167,35.93333,139.55,139.5625,
11101,さいたま市西区,53397425,35.94167,35.93333,139.5625,139.575,
11101,さいたま市西区,53397426,35.94167,35.93333,139.575,139.5875,
11101,さいたま市西区,53397427,35.94167,35.93333,139.5875,139.6,
11101,さいたま市西区,53397435,35.95,35.94167,139.5625,139.575,
11101,さいたま市西区,53397436,35.95,35.94167,139.575,139.5875,
11101,さいたま市西区,53397437,35.95,35.94167,139.5875,139.6,
11102,さいたま市北区,53396497,35.91667,35.90833,139.5875,139.6,
11102,さいたま市北区,53396498,35.91667,35.90833,139.6,139.6125,
11102,さいたま市北区,53397407,35.925,35.91667,139.5875,139.6,
11102,さいたま市北区,53397408,35.925,35.91667,139.6,139.6125,
11102,さいたま市北区,53397409,35.925,35.91667,139.6125,139.625,
11102,さいたま市北区,53397417,35.93333,35.925,139.5875,139.6,
11102,さいたま市北区,53397418,35.93333,35.925,139.6,139.6125,
11102,さいたま市北区,53397419,35.93333,35.925,139.6125,139.625,
11102,さいたま市北区,53397427,35.94167,35.93333,139.5875,139.6,
11102,さいたま市北区,53397428,35.94167,35.93333,139.6,139.6125,
11102,さいたま市北区,53397429,35.94167,35.93333,139.6125,139.625,
11102,さいたま市北区,53397437,35.95,35.94167,139.5875,139.6,
11102,さいたま市北区,53397438,35.95,35.94167,139.6,139.6125,
11102,さいたま市北区,53397439,35.95,35.94167,139.6125,139.625,
11102,さいたま市北区,53397447,35.95833,35.95,139.5875,139.6,
11102,さいたま市北区,53397448,35.95833,35.95,139.6,139.6125,
11102,さいたま市北区,53397449,35.95833,35.95,139.6125,139.625,
11102,さいたま市北区,53397457,35.96667,35.95833,139.5875,139.6,
11102,さいたま市北区,53397458,35.96667,35.95833,139.6,139.6125,
11102,さいたま市北区,53397459,35.96667,35.95833,139.6125,139.625,
11102,さいたま市北区,53397500,35.925,35.91667,139.625,139.6375,
11102,さいたま市北区,53397501,35.925,35.91667,139.6375,139.65,
11102,さいたま市北区,53397510,35.93333,35.925,139.625,139.6375,
11102,さいたま市北区,53397511,35.93333,35.925,139.6375,139.65,
11102,さいたま市北区,53397520,35.94167,35.93333,139.625,139.6375,
11102,さいたま市北区,53397521,35.94167,35.93333,139.6375,139.65,
11102,さいたま市北区,53397530,35.95,35.94167,139.625,139.6375,
11102,さいたま市北区,53397531,35.95,35.94167,139.6375,139.65,
11102,さいたま市北区,53397540,35.95833,35.95,139.625,139.6375,
11103,さいたま市大宮区,53396467,35.89167,35.88333,139.5875,139.6,
11103,さいたま市大宮区,53396468,35.89167,35.88333,139.6,139.6125,
11103,さいたま市大宮区,53396477,35.9,35.89167,139.5875,139.6,
11103,さいたま市大宮区,53396478,35.9,35.89167,139.6,139.6125,
11103,さいたま市大宮区,53396479,35.9,35.89167,139.6125,139.625,
11103,さいたま市大宮区,53396487,35.90833,35.9,139.5875,139.6,
11103,さいたま市大宮区,53396488,35.90833,35.9,139.6,139.6125,
11103,さいたま市大宮区,53396489,35.90833,35.9,139.6125,139.625,
11103,さいたま市大宮区,53396497,35.91667,35.90833,139.5875,139.6,
11103,さいたま市大宮区,53396498,35.91667,35.90833,139.6,139.6125,
11103,さいたま市大宮区,53396499,35.91667,35.90833,139.6125,139.625,
11103,さいたま市大宮区,53396560,35.89167,35.88333,139.625,139.6375,
11103,さいたま市大宮区,53396561,35.89167,35.88333,139.6375,139.65,
11103,さいたま市大宮区,53396570,35.9,35.89167,139.625,139.6375,
11103,さいたま市大宮区,53396571,35.9,35.89167,139.6375,139.65,
11103,さいたま市大宮区,53396580,35.90833,35.9,139.625,139.6375,
11103,さいたま市大宮区,53396581,35.90833,35.9,139.6375,139.65,
11103,さいたま市大宮区,53396590,35.91667,35.90833,139.625,139.6375,
11103,さいたま市大宮区,53396591,35.91667,35.90833,139.6375,139.65,
11103,さいたま市大宮区,53397408,35.925,35.91667,139.6,139.6125,
11103,さいたま市大宮区,53397409,35.925,35.91667,139.6125,139.625,
11103,さいたま市大宮区,53397500,35.925,35.91667,139.625,139.6375,
11103,さいたま市大宮区,53397501,35.925,35.91667,139.6375,139.65,
11103,さいたま市大宮区,53397510,35.93333,35.925,139.625,139.6375,
11103,さいたま市大宮区,53397511,35.93333,35.925,139.6375,139.65,
11104,さいたま市見沼区,53396571,35.9,35.89167,139.6375,139.65,
11104,さいたま市見沼区,53396572,35.9,35.89167,139.65,139.6625,
11104,さいたま市見沼区,53396573,35.9,35.89167,139.6625,139.675,
11104,さいたま市見沼区,53396574,35.9,35.89167,139.675,139.6875,
11104,さいたま市見沼区,53396575,35.9,35.89167,139.6875,139.7,
11104,さいたま市見沼区,53396576,35.9,35.89167,139.7,139.7125,
11104,さいたま市見沼区,53396581,35.90833,35.9,139.6375,139.65,
11104,さいたま市見沼区,53396582,35.90833,35.9,139.65,139.6625,
11104,さいたま市見沼区,53396583,35.90833,35.9,139.6625,139.675,
