都道府県市区町村コード,市区町村名,基準メッシュコード
11101,さいたま市西区,53396444
11101,さいたま市西区,53396445
11101,さいたま市西区,53396446
11101,さいたま市西区,53396454
11101,さいたま市西区,53396455
11101,さいたま市西区,53396456
11101,さいたま市西区,53396457
11101,さいたま市西区,53396458
11101,さいたま市西区,53396463
11101,さいたま市西区,53396464
11101,さいたま市西区,53396465
11101,さいたま市西区,53396466
11101,さいたま市西区,53396467
11101,さいたま市西区,53396468
11101,さいたま市西区,53396474
11101,さいたま市西区,53396475
11101,さいたま市西区,53396476
11101,さいたま市西区,53396477
11101,さいたま市西区,53396484
11101,さいたま市西区,53396485
11101,さいたま市西区,53396486
11101,さいたま市西区,53396487
11101,さいたま市西区,53396493
11101,さいたま市西区,53396494
11101,さいたま市西区,53396495
11101,さいたま市西区,53396496
11101,さいたま市西区,53396497
11101,さいたま市西区,53397403
11101,さいたま市西区,53397404
11101,さいたま市西区,53397405
11101,さいたま市西区,53397406
11101,さいたま市西区,53397407
11101,さいたま市西区,53397413
11101,さいたま市西区,53397414
11101,さいたま市西区,53397415
11101,さいたま市西区,53397416
11101,さいたま市西区,53397417
11101,さいたま市西区,53397423
11101,さいたま市西区,53397424
11101,さいたま市西区,53397425
11101,さいたま市西区,53397426
11101,さいたま市西区,53397427
11101,さいたま市西区,53397435
11101,さいたま市西区,53397436
11101,さいたま市西区,53397437
11102,さいたま市北区,53396497
11102,さいたま市北区,53396498
11102,さいたま市北区,53397407
11102,さいたま市北区,53397408
11102,さいたま市北区,53397409
11102,さいたま市北区,53397417
11102,さいたま市北区,53397418
11102,さいたま市北区,53397419
11102,さいたま市北区,53397427
11102,さいたま市北区,53397428
11102,さいたま市北区,53397429
11102,さいたま市北区,53397437
11102,さいたま市北区,53397438
11102,さいたま市北区,53397439
11102,さいたま市北区,53397447
11102,さいたま市北区,53397448
11102,さいたま市北区,53397449
11102,さいたま市北区,53397457
11102,さいたま市北区,53397458
11102,さいたま市北区,53397459
11102,さいたま市北区,53397500
11102,さいたま市北区,53397501
11102,さいたま市北区,53397510
11102,さいたま市北区,53397511
11102,さいたま市北区,53397520
11102,さいたま市北区,53397521
11102,さいたま市北区,53397530
11102,さいたま市北区,53397531
11102,さいたま市北区,53397540
11103,さいたま市大宮区,53396467
11103,さいたま市大宮区,53396468
11103,さいたま市大宮区,53396477
11103,さいたま市大宮区,53396478
11103,さいたま市大宮区,53396479
11103,さいたま市大宮区,53396487
11103,さいたま市大宮区,53396488
11103,さいたま市大宮区,53396489
11103,さいたま市大宮区,53396497
11103,さいたま市大宮区,53396498
11103,さいたま市大宮区,53396499
11103,さいたま市大宮区,53396560
11103,さいたま市大宮区,53396561
11103,さいたま市大宮区,53396570
11103,さいたま市大宮区,53396571
11103,さいたま市大宮区,53396580
11103,さいたま市大宮区,53396581
11103,さいたま市大宮区,53396590
11103,さいたま市大宮区,53396591
11103,さいたま市大宮区,53397408
11103,さいたま市大宮区,53397409
11103,さいたま市大宮区,53397500
11103,さいたま市大宮区,53397501
11103,さいたま市大宮区,53397510
11103,さいたま市大宮区,53397511
11104,さいたま市見沼区,53396571
11104,さいたま市見沼区,53396572
11104,さいたま市見沼区,53396573
11104,さいたま市見沼区,53396574
11104,さいたま市見沼区,53396575
11104,さいたま市見沼区,53396576
11104,さいたま市見沼区,53396581
11104,さいたま市見沼区,53396582
11104,さいたま市見沼区,53396583
11104,さいたま市見沼区,53396584
11104,さいたま市見沼区,53396585
11104,さいたま市見沼区,53396586
11104,さいたま市見沼区,53396591
11104,さいたま市見沼区,53396592
11104,さいたま市見沼区,53396593
11104,さいたま市見沼区,53396594
11104,さいたま市見沼区,53396595
11104,さいたま市見沼区,53396596
11104,さいたま市見沼区,53397501
11104,さいたま市見沼区,53397502
11104,さいたま市見沼区,53397503
11104,さいたま市見沼区,53397504
11104,さいたま市見沼区,53397505
11104,さいたま市見沼区,53397511
11104,さいたま市見沼区,53397512
11104,さいたま市見沼区,53397513
11104,さいたま市見沼区,53397514
11104,さいたま市見沼区,53397515
11104,さいたま市見沼区,53397520
11104,さいたま市見沼区,53397521
11104,さいたま市見沼区,53397522
11104,さいたま市見沼区,53397523
11104,さいたま市見沼区,53397524
11104,さいたま市見沼区,53397530
11104,さいたま市見沼区,53397531
11104,さいたま市見沼区,53397532
11104,さいたま市見沼区,53397533
11104,さいたま市見沼区,53397534
11104,さいたま市見沼区,53397540
11104,さいたま市見沼区,53397541
11104,さいたま市見沼区,53397542
11104,さいたま市見沼区,53397543
11104,さいたま市見沼区,53397544
11104,さいたま市見沼区,53397551
11104,さいたま市見沼区,53397552
11104,さいたま市見沼区,53397553
11105,さいたま市中央区,53396449
11105,さいたま市中央区,53396458
11105,さいたま市中央区,53396459
11105,さいたま市中央区,53396468
11105,さいたま市中央区,53396469
11105,さいたま市中央区,53396478
11105,さいたま市中央区,53396479
11105,さいたま市中央区,53396489
11105,さいたま市中央区,53396521
11105,さいたま市中央区,53396530
11105,さいたま市中央区,53396531
11105,さいたま市中央区,53396540
11105,さいたま市中央区,53396541
11105,さいたま市中央区,53396550
11105,さいたま市中央区,53396551
11105,さいたま市中央区,53396560
11105,さいたま市中央区,53396561
11105,さいたま市中央区,53396570
11105,さいたま市中央区,53396580
11106,さいたま市桜区,53395498
11106,さいたま市桜区,53396408
11106,さいたま市桜区,53396409
11106,さいたま市桜区,53396417
11106,さいたま市桜区,53396418
11106,さいたま市桜区,53396419
11106,さいたま市桜区,53396427
11106,さいたま市桜区,53396428
11106,さいたま市桜区,53396429
11106,さいたま市桜区,53396436
11106,さいたま市桜区,53396437
11106,さいたま市桜区,53396438
11106,さいたま市桜区,53396439
11106,さいたま市桜区,53396445
11106,さいたま市桜区,53396446
11106,さいたま市桜区,53396447
11106,さいたま市桜区,53396448
11106,さいたま市桜区,53396449
11106,さいたま市桜区,53396455
11106,さいたま市桜区,53396456
11106,さいたま市桜区,53396457
11106,さいたま市桜区,53396458
11106,さいたま市桜区,53396459
11106,さいたま市桜区,53396468
11106,さいたま市桜区,53396500
11106,さいたま市桜区,53396510
11106,さいたま市桜区,53396520
11106,さいたま市桜区,53396521
11106,さいたま市桜区,53396530
11106,さいたま市桜区,53396540
11107,さいたま市浦和区,53396512
11107,さいたま市浦和区,53396513
11107,さいたま市浦和区,53396521
11107,さいたま市浦和区,53396522
11107,さいたま市浦和区,53396523
11107,さいたま市浦和区,53396531
11107,さいたま市浦和区,53396532
11107,さいたま市浦和区,53396533
11107,さいたま市浦和区,53396541
11107,さいたま市浦和区,53396542
11107,さいたま市浦和区,53396543
11107,さいたま市浦和区,53396550
11107,さいたま市浦和区,53396551
11107,さいたま市浦和区,53396552
11107,さいたま市浦和区,53396553
11107,さいたま市浦和区,53396560
11107,さいたま市浦和区,53396561
11107,さいたま市浦和区,53396562
11107,さいたま市浦和区,53396563
