municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
12101,千葉市中央区,53402059,35.55,35.54167,140.1125,140.125,
12101,千葉市中央区,53402067,35.55833,35.55,140.0875,140.1,
12101,千葉市中央区,53402068,35.55833,35.55,140.1,140.1125,
12101,千葉市中央区,53402069,35.55833,35.55,140.1125,140.125,
12101,千葉市中央区,53402077,35.56667,35.55833,140.0875,140.1,
12101,千葉市中央区,53402078,35.56667,35.55833,140.1,140.1125,
12101,千葉市中央区,53402079,35.56667,35.55833,140.1125,140.125,
12101,千葉市中央区,53402086,35.575,35.56667,140.075,140.0875,
12101,千葉市中央区,53402087,35.575,35.56667,140.0875,140.1,
12101,千葉市中央区,53402088,35.575,35.56667,140.1,140.1125,
12101,千葉市中央区,53402089,35.575,35.56667,140.1125,140.125,
12101,千葉市中央区,53402096,35.58333,35.575,140.075,140.0875,
12101,千葉市中央区,53402097,35.58333,35.575,140.0875,140.1,
12101,千葉市中央区,53402098,35.58333,35.575,140.1,140.1125,
12101,千葉市中央区,53402099,35.58333,35.575,140.1125,140.125,
12101,千葉市中央区,53402150,35.55,35.54167,140.125,140.1375,
12101,千葉市中央区,53402151,35.55,35.54167,140.1375,140.15,
12101,千葉市中央区,53402160,35.55833,35.55,140.125,140.1375,
12101,千葉市中央区,53402161,35.55833,35.55,140.1375,140.15,
12101,千葉市中央区,53402162,35.55833,35.55,140.15,140.1625,
12101,千葉市中央区,53402170,35.56667,35.55833,140.125,140.1375,
12101,千葉市中央区,53402171,35.56667,35.55833,140.1375,140.15,
12101,千葉市中央区,53402172,35.56667,35.55833,140.15,140.1625,
12101,千葉市中央区,53402173,35.56667,35.55833,140.1625,140.175,
12101,千葉市中央区,53402180,35.575,35.56667,140.125,140.1375,
12101,千葉市中央区,53402181,35.575,35.56667,140.1375,140.15,
12101,千葉市中央区,53402182,35.575,35.56667,140.15,140.1625,
12101,千葉市中央区,53402183,35.575,35.56667,140.1625,140.175,
12101,千葉市中央区,53402190,35.58333,35.575,140.125,140.1375,
12101,千葉市中央区,53402191,35.58333,35.575,140.1375,140.15,
12101,千葉市中央区,53402192,35.58333,35.575,140.15,140.1625,
12101,千葉市中央区,53402193,35.58333,35.575,140.1625,140.175,
12101,千葉市中央区,53402194,35.58333,35.575,140.175,140.1875,
12101,千葉市中央区,53403006,35.59167,35.58333,140.075,140.0875,
12101,千葉市中央区,53403007,35.59167,35.58333,140.0875,140.1,
12101,千葉市中央区,53403008,35.59167,35.58333,140.1,140.1125,
12101,千葉市中央区,53403009,35.59167,35.58333,140.1125,140.125,
12101,千葉市中央区,53403017,35.6,35.59167,140.0875,140.1,
12101,千葉市中央区,53403018,35.6,35.59167,140.1,140.1125,
12101,千葉市中央区,53403019,35.6,35.59167,140.1125,140.125,
12101,千葉市中央区,53403027,35.60833,35.6,140.0875,140.1,
12101,千葉市中央区,53403028,35.60833,35.6,140.1,140.1125,
12101,千葉市中央区,53403029,35.60833,35.6,140.1125,140.125,
12101,千葉市中央区,53403038,35.61667,35.60833,140.1,140.1125,
12101,千葉市中央区,53403039,35.61667,35.60833,140.1125,140.125,
12101,千葉市中央区,53403047,35.625,35.61667,140.0875,140.1,
12101,千葉市中央区,53403048,35.625,35.61667,140.1,140.1125,
12101,千葉市中央区,53403049,35.625,35.61667,140.1125,140.125,
12101,千葉市中央区,53403059,35.63333,35.625,140.1125,140.125,
12101,千葉市中央区,53403100,35.59167,35.58333,140.125,140.1375,
12101,千葉市中央区,53403101,35.59167,35.58333,140.1375,140.15,
12101,千葉市中央区,53403102,35.59167,35.58333,140.15,140.1625,
12101,千葉市中央区,53403103,35.59167,35.58333,140.1625,140.175,
12101,千葉市中央区,53403110,35.6,35.59167,140.125,140.1375,
