都道府県市区町村コード,市区町村名,基準メッシュコード
12101,千葉市中央区,53402059
12101,千葉市中央区,53402067
12101,千葉市中央区,53402068
12101,千葉市中央区,53402069
12101,千葉市中央区,53402077
12101,千葉市中央区,53402078
12101,千葉市中央区,53402079
12101,千葉市中央区,53402086
12101,千葉市中央区,53402087
12101,千葉市中央区,53402088
12101,千葉市中央区,53402089
12101,千葉市中央区,53402096
12101,千葉市中央区,53402097
12101,千葉市中央区,53402098
12101,千葉市中央区,53402099
12101,千葉市中央区,53402150
12101,千葉市中央区,53402151
12101,千葉市中央区,53402160
12101,千葉市中央区,53402161
12101,千葉市中央区,53402162
12101,千葉市中央区,53402170
12101,千葉市中央区,53402171
12101,千葉市中央区,53402172
12101,千葉市中央区,53402173
12101,千葉市中央区,53402180
12101,千葉市中央区,53402181
12101,千葉市中央区,53402182
12101,千葉市中央区,53402183
12101,千葉市中央区,53402190
12101,千葉市中央区,53402191
12101,千葉市中央区,53402192
12101,千葉市中央区,53402193
12101,千葉市中央区,53402194
12101,千葉市中央区,53403006
12101,千葉市中央区,53403007
12101,千葉市中央区,53403008
12101,千葉市中央区,53403009
12101,千葉市中央区,53403017
12101,千葉市中央区,53403018
12101,千葉市中央区,53403019
12101,千葉市中央区,53403027
12101,千葉市中央区,53403028
12101,千葉市中央区,53403029
12101,千葉市中央区,53403038
12101,千葉市中央区,53403039
12101,千葉市中央区,53403047
12101,千葉市中央区,53403048
12101,千葉市中央区,53403049
12101,千葉市中央区,53403059
12101,千葉市中央区,53403100
12101,千葉市中央区,53403101
12101,千葉市中央区,53403102
12101,千葉市中央区,53403103
12101,千葉市中央区,53403110
12101,千葉市中央区,53403111
12101,千葉市中央区,53403112
12101,千葉市中央区,53403113
12101,千葉市中央区,53403120
12101,千葉市中央区,53403121
12101,千葉市中央区,53403122
12101,千葉市中央区,53403130
12101,千葉市中央区,53403131
12101,千葉市中央区,53403132
12101,千葉市中央区,53403140
12101,千葉市中央区,53403141
12101,千葉市中央区,53403142
12101,千葉市中央区,53403150
12102,千葉市花見川区,53403065
12102,千葉市花見川区,53403074
12102,千葉市花見川区,53403075
12102,千葉市花見川区,53403076
12102,千葉市花見川区,53403077
12102,千葉市花見川区,53403083
12102,千葉市花見川区,53403084
12102,千葉市花見川区,53403085
12102,千葉市花見川区,53403086
12102,千葉市花見川区,53403087
12102,千葉市花見川区,53403093
12102,千葉市花見川区,53403094
12102,千葉市花見川区,53403095
12102,千葉市花見川区,53403096
12102,千葉市花見川区,53403097
12102,千葉市花見川区,53403098
12102,千葉市花見川区,53403099
12102,千葉市花見川区,53404002
12102,千葉市花見川区,53404003
12102,千葉市花見川区,53404004
12102,千葉市花見川区,53404005
12102,千葉市花見川区,53404006
12102,千葉市花見川区,53404007
12102,千葉市花見川区,53404008
12102,千葉市花見川区,53404009
12102,千葉市花見川区,53404013
12102,千葉市花見川区,53404014
12102,千葉市花見川区,53404015
12102,千葉市花見川区,53404016
12102,千葉市花見川区,53404017
12102,千葉市花見川区,53404018
12102,千葉市花見川区,53404019
12102,千葉市花見川区,53404025
12102,千葉市花見川区,53404026
12102,千葉市花見川区,53404027
12102,千葉市花見川区,53404028
12102,千葉市花見川区,53404029
12102,千葉市花見川区,53404036
12102,千葉市花見川区,53404037
12102,千葉市花見川区,53404038
12102,千葉市花見川区,53404039
12102,千葉市花見川区,53404047
12102,千葉市花見川区,53404048
12102,千葉市花見川区,53404049
12102,千葉市花見川区,53404058
12102,千葉市花見川区,53404059
12102,千葉市花見川区,53404100
12102,千葉市花見川区,53404101
12102,千葉市花見川区,53404110
12102,千葉市花見川区,53404111
12102,千葉市花見川区,53404112
12102,千葉市花見川区,53404120
12102,千葉市花見川区,53404121
