municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
14101,横浜市鶴見区,53391535,35.45,35.44167,139.6875,139.7,
14101,横浜市鶴見区,53391544,35.45833,35.45,139.675,139.6875,
14101,横浜市鶴見区,53391545,35.45833,35.45,139.6875,139.7,
14101,横浜市鶴見区,53391546,35.45833,35.45,139.7,139.7125,
14101,横浜市鶴見区,53391553,35.46667,35.45833,139.6625,139.675,
14101,横浜市鶴見区,53391554,35.46667,35.45833,139.675,139.6875,
14101,横浜市鶴見区,53391555,35.46667,35.45833,139.6875,139.7,
14101,横浜市鶴見区,53391556,35.46667,35.45833,139.7,139.7125,
14101,横浜市鶴見区,53391557,35.46667,35.45833,139.7125,139.725,
14101,横浜市鶴見区,53391563,35.475,35.46667,139.6625,139.675,
14101,横浜市鶴見区,53391564,35.475,35.46667,139.675,139.6875,
14101,横浜市鶴見区,53391565,35.475,35.46667,139.6875,139.7,
14101,横浜市鶴見区,53391566,35.475,35.46667,139.7,139.7125,
14101,横浜市鶴見区,53391567,35.475,35.46667,139.7125,139.725,
14101,横浜市鶴見区,53391568,35.475,35.46667,139.725,139.7375,
14101,横浜市鶴見区,53391573,35.48333,35.475,139.6625,139.675,
14101,横浜市鶴見区,53391574,35.48333,35.475,139.675,139.6875,
14101,横浜市鶴見区,53391575,35.48333,35.475,139.6875,139.7,
14101,横浜市鶴見区,53391576,35.48333,35.475,139.7,139.7125,
14101,横浜市鶴見区,53391577,35.48333,35.475,139.7125,139.725,
14101,横浜市鶴見区,53391582,35.49167,35.48333,139.65,139.6625,
14101,横浜市鶴見区,53391583,35.49167,35.48333,139.6625,139.675,
14101,横浜市鶴見区,53391584,35.49167,35.48333,139.675,139.6875,
14101,横浜市鶴見区,53391585,35.49167,35.48333,139.6875,139.7,
14101,横浜市鶴見区,53391586,35.49167,35.48333,139.7,139.7125,
14101,横浜市鶴見区,53391587,35.49167,35.48333,139.7125,139.725,
14101,横浜市鶴見区,53391592,35.5,35.49167,139.65,139.6625,
14101,横浜市鶴見区,53391593,35.5,35.49167,139.6625,139.675,
14101,横浜市鶴見区,53391594,35.5,35.49167,139.675,139.6875,
14101,横浜市鶴見区,53391595,35.5,35.49167,139.6875,139.7,
14101,横浜市鶴見区,53391596,35.5,35.49167,139.7,139.7125,
14101,横浜市鶴見区,53392501,35.50833,35.5,139.6375,139.65,
14101,横浜市鶴見区,53392502,35.50833,35.5,139.65,139.6625,
14101,横浜市鶴見区,53392503,35.50833,35.5,139.6625,139.675,
14101,横浜市鶴見区,53392504,35.50833,35.5,139.675,139.6875,
14101,横浜市鶴見区,53392505,35.50833,35.5,139.6875,139.7,
14101,横浜市鶴見区,53392506,35.50833,35.5,139.7,139.7125,
14101,横浜市鶴見区,53392510,35.51667,35.50833,139.625,139.6375,
14101,横浜市鶴見区,53392511,35.51667,35.50833,139.6375,139.65,
14101,横浜市鶴見区,53392512,35.51667,35.50833,139.65,139.6625,
14101,横浜市鶴見区,53392513,35.51667,35.50833,139.6625,139.675,
14101,横浜市鶴見区,53392514,35.51667,35.50833,139.675,139.6875,
14101,横浜市鶴見区,53392515,35.51667,35.50833,139.6875,139.7,
14101,横浜市鶴見区,53392521,35.525,35.51667,139.6375,139.65,
14101,横浜市鶴見区,53392522,35.525,35.51667,139.65,139.6625,
14101,横浜市鶴見区,53392523,35.525,35.51667,139.6625,139.675,
14101,横浜市鶴見区,53392524,35.525,35.51667,139.675,139.6875,
14101,横浜市鶴見区,53392525,35.525,35.51667,139.6875,139.7,
14101,横浜市鶴見区,53392531,35.53333,35.525,139.6375,139.65,
14101,横浜市鶴見区,53392532,35.53333,35.525,139.65,139.6625,
14101,横浜市鶴見区,53392533,35.53333,35.525,139.6625,139.675,
14101,横浜市鶴見区,53392534,35.53333,35.525,139.675,139.6875,
14101,横浜市鶴見区,53392535,35.53333,35.525,139.6875,139.7,
14101,横浜市鶴見区,53392541,35.54167,35.53333,139.6375,139.65,
14101,横浜市鶴見区,53392542,35.54167,35.53333,139.65,139.6625,
14101,横浜市鶴見区,53392543,35.54167,35.53333,139.6625,139.675,
14101,横浜市鶴見区,53392544,35.54167,35.53333,139.675,139.6875,
14102,横浜市神奈川区,53391466,35.475,35.46667,139.575,139.5875,
14102,横浜市神奈川区,53391467,35.475,35.46667,139.5875,139.6,
14102,横浜市神奈川区,53391468,35.475,35.46667,139.6,139.6125,
14102,横浜市神奈川区,53391469,35.475,35.46667,139.6125,139.625,
14102,横浜市神奈川区,53391476,35.48333,35.475,139.575,139.5875,
14102,横浜市神奈川区,53391477,35.48333,35.475,139.5875,139.6,
14102,横浜市神奈川区,53391478,35.48333,35.475,139.6,139.6125,
14102,横浜市神奈川区,53391479,35.48333,35.475,139.6125,139.625,
14102,横浜市神奈川区,53391485,35.49167,35.48333,139.5625,139.575,
14102,横浜市神奈川区,53391486,35.49167,35.48333,139.575,139.5875,
14102,横浜市神奈川区,53391487,35.49167,35.48333,139.5875,139.6,
14102,横浜市神奈川区,53391488,35.49167,35.48333,139.6,139.6125,
14102,横浜市神奈川区,53391489,35.49167,35.48333,139.6125,139.625,
