都道府県市区町村コード,市区町村名,基準メッシュコード
14101,横浜市鶴見区,53391535
14101,横浜市鶴見区,53391544
14101,横浜市鶴見区,53391545
14101,横浜市鶴見区,53391546
14101,横浜市鶴見区,53391553
14101,横浜市鶴見区,53391554
14101,横浜市鶴見区,53391555
14101,横浜市鶴見区,53391556
14101,横浜市鶴見区,53391557
14101,横浜市鶴見区,53391563
14101,横浜市鶴見区,53391564
14101,横浜市鶴見区,53391565
14101,横浜市鶴見区,53391566
14101,横浜市鶴見区,53391567
14101,横浜市鶴見区,53391568
14101,横浜市鶴見区,53391573
14101,横浜市鶴見区,53391574
14101,横浜市鶴見区,53391575
14101,横浜市鶴見区,53391576
14101,横浜市鶴見区,53391577
14101,横浜市鶴見区,53391582
14101,横浜市鶴見区,53391583
14101,横浜市鶴見区,53391584
14101,横浜市鶴見区,53391585
14101,横浜市鶴見区,53391586
14101,横浜市鶴見区,53391587
14101,横浜市鶴見区,53391592
14101,横浜市鶴見区,53391593
14101,横浜市鶴見区,53391594
14101,横浜市鶴見区,53391595
14101,横浜市鶴見区,53391596
14101,横浜市鶴見区,53392501
14101,横浜市鶴見区,53392502
14101,横浜市鶴見区,53392503
14101,横浜市鶴見区,53392504
14101,横浜市鶴見区,53392505
14101,横浜市鶴見区,53392506
14101,横浜市鶴見区,53392510
14101,横浜市鶴見区,53392511
14101,横浜市鶴見区,53392512
14101,横浜市鶴見区,53392513
14101,横浜市鶴見区,53392514
14101,横浜市鶴見区,53392515
14101,横浜市鶴見区,53392521
14101,横浜市鶴見区,53392522
14101,横浜市鶴見区,53392523
14101,横浜市鶴見区,53392524
14101,横浜市鶴見区,53392525
14101,横浜市鶴見区,53392531
14101,横浜市鶴見区,53392532
14101,横浜市鶴見区,53392533
14101,横浜市鶴見区,53392534
14101,横浜市鶴見区,53392535
14101,横浜市鶴見区,53392541
14101,横浜市鶴見区,53392542
14101,横浜市鶴見区,53392543
14101,横浜市鶴見区,53392544
14102,横浜市神奈川区,53391466
14102,横浜市神奈川区,53391467
14102,横浜市神奈川区,53391468
14102,横浜市神奈川区,53391469
14102,横浜市神奈川区,53391476
14102,横浜市神奈川区,53391477
14102,横浜市神奈川区,53391478
14102,横浜市神奈川区,53391479
14102,横浜市神奈川区,53391485
14102,横浜市神奈川区,53391486
14102,横浜市神奈川区,53391487
14102,横浜市神奈川区,53391488
14102,横浜市神奈川区,53391489
14102,横浜市神奈川区,53391495
14102,横浜市神奈川区,53391496
