municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
16201,富山市,54374043,36.375,36.36667,137.0375,137.05,
16201,富山市,54374044,36.375,36.36667,137.05,137.0625,
16201,富山市,54374045,36.375,36.36667,137.0625,137.075,
16201,富山市,54374053,36.38333,36.375,137.0375,137.05,
16201,富山市,54374054,36.38333,36.375,137.05,137.0625,
16201,富山市,54374055,36.38333,36.375,137.0625,137.075,
16201,富山市,54374056,36.38333,36.375,137.075,137.0875,
16201,富山市,54374057,36.38333,36.375,137.0875,137.1,
16201,富山市,54374064,36.39167,36.38333,137.05,137.0625,
16201,富山市,54374065,36.39167,36.38333,137.0625,137.075,
16201,富山市,54374066,36.39167,36.38333,137.075,137.0875,
16201,富山市,54374067,36.39167,36.38333,137.0875,137.1,
16201,富山市,54374074,36.4,36.39167,137.05,137.0625,
16201,富山市,54374075,36.4,36.39167,137.0625,137.075,
16201,富山市,54374076,36.4,36.39167,137.075,137.0875,
16201,富山市,54374077,36.4,36.39167,137.0875,137.1,
16201,富山市,54374078,36.4,36.39167,137.1,137.1125,
16201,富山市,54374084,36.40833,36.4,137.05,137.0625,
16201,富山市,54374085,36.40833,36.4,137.0625,137.075,
16201,富山市,54374086,36.40833,36.4,137.075,137.0875,
16201,富山市,54374087,36.40833,36.4,137.0875,137.1,
16201,富山市,54374088,36.40833,36.4,137.1,137.1125,
16201,富山市,54374094,36.41667,36.40833,137.05,137.0625,
16201,富山市,54374095,36.41667,36.40833,137.0625,137.075,
16201,富山市,54374096,36.41667,36.40833,137.075,137.0875,
16201,富山市,54374097,36.41667,36.40833,137.0875,137.1,
16201,富山市,54374098,36.41667,36.40833,137.1,137.1125,
16201,富山市,54374099,36.41667,36.40833,137.1125,137.125,
16201,富山市,54374395,36.41667,36.40833,137.4375,137.45,
16201,富山市,54374396,36.41667,36.40833,137.45,137.4625,
16201,富山市,54374397,36.41667,36.40833,137.4625,137.475,
16201,富山市,54374463,36.39167,36.38333,137.5375,137.55,
16201,富山市,54374464,36.39167,36.38333,137.55,137.5625,
16201,富山市,54374465,36.39167,36.38333,137.5625,137.575,
16201,富山市,54374466,36.39167,36.38333,137.575,137.5875,
16201,富山市,54374467,36.39167,36.38333,137.5875,137.6,
16201,富山市,54374472,36.4,36.39167,137.525,137.5375,
16201,富山市,54374473,36.4,36.39167,137.5375,137.55,
16201,富山市,54374474,36.4,36.39167,137.55,137.5625,
16201,富山市,54374475,36.4,36.39167,137.5625,137.575,
16201,富山市,54374476,36.4,36.39167,137.575,137.5875,
16201,富山市,54374477,36.4,36.39167,137.5875,137.6,
16201,富山市,54374478,36.4,36.39167,137.6,137.6125,
16201,富山市,54374481,36.40833,36.4,137.5125,137.525,
16201,富山市,54374482,36.40833,36.4,137.525,137.5375,
16201,富山市,54374483,36.40833,36.4,137.5375,137.55,
16201,富山市,54374484,36.40833,36.4,137.55,137.5625,
16201,富山市,54374485,36.40833,36.4,137.5625,137.575,
16201,富山市,54374486,36.40833,36.4,137.575,137.5875,
16201,富山市,54374487,36.40833,36.4,137.5875,137.6,
16201,富山市,54374488,36.40833,36.4,137.6,137.6125,
16201,富山市,54374491,36.41667,36.40833,137.5125,137.525,
16201,富山市,54374492,36.41667,36.40833,137.525,137.5375,
16201,富山市,54374493,36.41667,36.40833,137.5375,137.55,
16201,富山市,54374494,36.41667,36.40833,137.55,137.5625,
16201,富山市,54374495,36.41667,36.40833,137.5625,137.575,
16201,富山市,54374496,36.41667,36.40833,137.575,137.5875,
16201,富山市,54374497,36.41667,36.40833,137.5875,137.6,
16201,富山市,54374498,36.41667,36.40833,137.6,137.6125,
16201,富山市,54375004,36.425,36.41667,137.05,137.0625,
16201,富山市,54375005,36.425,36.41667,137.0625,137.075,
16201,富山市,54375006,36.425,36.41667,137.075,137.0875,
16201,富山市,54375007,36.425,36.41667,137.0875,137.1,
16201,富山市,54375008,36.425,36.41667,137.1,137.1125,
