都道府県市区町村コード,市区町村名,基準メッシュコード
16201,富山市,54374043
16201,富山市,54374044
16201,富山市,54374045
16201,富山市,54374053
16201,富山市,54374054
16201,富山市,54374055
16201,富山市,54374056
16201,富山市,54374057
16201,富山市,54374064
16201,富山市,54374065
16201,富山市,54374066
16201,富山市,54374067
16201,富山市,54374074
16201,富山市,54374075
16201,富山市,54374076
16201,富山市,54374077
16201,富山市,54374078
16201,富山市,54374084
16201,富山市,54374085
16201,富山市,54374086
16201,富山市,54374087
16201,富山市,54374088
16201,富山市,54374094
16201,富山市,54374095
16201,富山市,54374096
16201,富山市,54374097
16201,富山市,54374098
16201,富山市,54374099
16201,富山市,54374395
16201,富山市,54374396
16201,富山市,54374397
16201,富山市,54374463
16201,富山市,54374464
16201,富山市,54374465
16201,富山市,54374466
16201,富山市,54374467
16201,富山市,54374472
16201,富山市,54374473
16201,富山市,54374474
16201,富山市,54374475
16201,富山市,54374476
16201,富山市,54374477
16201,富山市,54374478
16201,富山市,54374481
16201,富山市,54374482
16201,富山市,54374483
16201,富山市,54374484
16201,富山市,54374485
16201,富山市,54374486
16201,富山市,54374487
16201,富山市,54374488
16201,富山市,54374491
16201,富山市,54374492
16201,富山市,54374493
16201,富山市,54374494
16201,富山市,54374495
16201,富山市,54374496
16201,富山市,54374497
16201,富山市,54374498
16201,富山市,54375004
16201,富山市,54375005
16201,富山市,54375006
16201,富山市,54375007
16201,富山市,54375008
16201,富山市,54375009
16201,富山市,54375014
16201,富山市,54375015
16201,富山市,54375016
16201,富山市,54375017
16201,富山市,54375018
16201,富山市,54375019
16201,富山市,54375024
16201,富山市,54375025
16201,富山市,54375026
16201,富山市,54375027
16201,富山市,54375028
16201,富山市,54375029
16201,富山市,54375034
16201,富山市,54375035
16201,富山市,54375036
16201,富山市,54375037
16201,富山市,54375038
16201,富山市,54375039
16201,富山市,54375044
16201,富山市,54375045
16201,富山市,54375046
16201,富山市,54375047
16201,富山市,54375048
16201,富山市,54375049
16201,富山市,54375054
16201,富山市,54375055
16201,富山市,54375056
16201,富山市,54375057
16201,富山市,54375058
16201,富山市,54375059
16201,富山市,54375064
16201,富山市,54375065
16201,富山市,54375066
16201,富山市,54375067
16201,富山市,54375068
16201,富山市,54375069
16201,富山市,54375074
16201,富山市,54375075
16201,富山市,54375076
16201,富山市,54375077
16201,富山市,54375078
16201,富山市,54375079
16201,富山市,54375084
16201,富山市,54375085
16201,富山市,54375086
16201,富山市,54375087
16201,富山市,54375088
16201,富山市,54375089
16201,富山市,54375092
16201,富山市,54375094
16201,富山市,54375095
16201,富山市,54375096
16201,富山市,54375097
16201,富山市,54375098
16201,富山市,54375099
16201,富山市,54375100
16201,富山市,54375110
16201,富山市,54375116
16201,富山市,54375117
16201,富山市,54375120
16201,富山市,54375121
16201,富山市,54375125
16201,富山市,54375126
16201,富山市,54375127
16201,富山市,54375130
16201,富山市,54375131
16201,富山市,54375132
16201,富山市,54375133
16201,富山市,54375134
16201,富山市,54375135
16201,富山市,54375136
16201,富山市,54375137
16201,富山市,54375138
16201,富山市,54375140
16201,富山市,54375141
16201,富山市,54375142
16201,富山市,54375143
16201,富山市,54375144
16201,富山市,54375145
16201,富山市,54375146
16201,富山市,54375147
16201,富山市,54375148
16201,富山市,54375149
16201,富山市,54375150
16201,富山市,54375151
16201,富山市,54375152
16201,富山市,54375153
16201,富山市,54375154
16201,富山市,54375155
16201,富山市,54375156
16201,富山市,54375157
16201,富山市,54375158
16201,富山市,54375159
16201,富山市,54375160
16201,富山市,54375161
16201,富山市,54375162
16201,富山市,54375163
16201,富山市,54375164
16201,富山市,54375165
16201,富山市,54375166
16201,富山市,54375167
16201,富山市,54375168
16201,富山市,54375169
16201,富山市,54375170
16201,富山市,54375171
16201,富山市,54375172
16201,富山市,54375173
16201,富山市,54375174
16201,富山市,54375175
16201,富山市,54375176
16201,富山市,54375177
16201,富山市,54375178
16201,富山市,54375179
16201,富山市,54375180
16201,富山市,54375181
16201,富山市,54375182
16201,富山市,54375183
16201,富山市,54375184
16201,富山市,54375185
16201,富山市,54375186
16201,富山市,54375187
16201,富山市,54375188
16201,富山市,54375189
16201,富山市,54375190
16201,富山市,54375191
16201,富山市,54375192
16201,富山市,54375193
16201,富山市,54375194
16201,富山市,54375195
16201,富山市,54375196
16201,富山市,54375197
16201,富山市,54375198
16201,富山市,54375199
16201,富山市,54375205
16201,富山市,54375214
16201,富山市,54375215
16201,富山市,54375216
16201,富山市,54375217
16201,富山市,54375218
16201,富山市,54375224
16201,富山市,54375225
16201,富山市,54375226
16201,富山市,54375227
16201,富山市,54375228
16201,富山市,54375234
16201,富山市,54375235
16201,富山市,54375236
16201,富山市,54375237
16201,富山市,54375238
16201,富山市,54375240
16201,富山市,54375241
16201,富山市,54375243
16201,富山市,54375245
16201,富山市,54375246
16201,富山市,54375247
16201,富山市,54375248
16201,富山市,54375249
16201,富山市,54375250
16201,富山市,54375251
16201,富山市,54375252
16201,富山市,54375253
16201,富山市,54375254
16201,富山市,54375255
16201,富山市,54375256
16201,富山市,54375257
16201,富山市,54375258
16201,富山市,54375259
16201,富山市,54375260
16201,富山市,54375261
16201,富山市,54375262
16201,富山市,54375263
16201,富山市,54375264
16201,富山市,54375265
16201,富山市,54375266
16201,富山市,54375267
16201,富山市,54375268
16201,富山市,54375269
16201,富山市,54375270
16201,富山市,54375271
16201,富山市,54375272
16201,富山市,54375273
16201,富山市,54375274
16201,富山市,54375275
16201,富山市,54375276
16201,富山市,54375277
16201,富山市,54375278
16201,富山市,54375279
16201,富山市,54375280
16201,富山市,54375281
16201,富山市,54375282
16201,富山市,54375283
16201,富山市,54375284
16201,富山市,54375285
16201,富山市,54375286
16201,富山市,54375287
16201,富山市,54375288
16201,富山市,54375289
16201,富山市,54375290
16201,富山市,54375291
16201,富山市,54375292
16201,富山市,54375293
16201,富山市,54375294
16201,富山市,54375295
16201,富山市,54375296
16201,富山市,54375297
16201,富山市,54375298
16201,富山市,54375299
16201,富山市,54375302
16201,富山市,54375303
16201,富山市,54375304
16201,富山市,54375305
16201,富山市,54375306
16201,富山市,54375307
16201,富山市,54375308
16201,富山市,54375309
16201,富山市,54375311
16201,富山市,54375312
16201,富山市,54375313
16201,富山市,54375314
16201,富山市,54375315
16201,富山市,54375316
16201,富山市,54375317
16201,富山市,54375318
16201,富山市,54375319
16201,富山市,54375321
16201,富山市,54375322
16201,富山市,54375323
16201,富山市,54375324
16201,富山市,54375325
16201,富山市,54375326
16201,富山市,54375327
16201,富山市,54375328
16201,富山市,54375329
16201,富山市,54375331
16201,富山市,54375332
16201,富山市,54375333
16201,富山市,54375334
16201,富山市,54375335
16201,富山市,54375336
16201,富山市,54375337
16201,富山市,54375338
16201,富山市,54375339
16201,富山市,54375340
16201,富山市,54375341
16201,富山市,54375342
16201,富山市,54375343
16201,富山市,54375344
16201,富山市,54375345
16201,富山市,54375346
16201,富山市,54375347
16201,富山市,54375348
16201,富山市,54375349
16201,富山市,54375350
16201,富山市,54375351
16201,富山市,54375352
16201,富山市,54375353
16201,富山市,54375354
16201,富山市,54375355
16201,富山市,54375356
16201,富山市,54375357
16201,富山市,54375358
16201,富山市,54375359
16201,富山市,54375360
16201,富山市,54375361
16201,富山市,54375362
16201,富山市,54375363
16201,富山市,54375364
16201,富山市,54375365
16201,富山市,54375366
16201,富山市,54375367
16201,富山市,54375368
16201,富山市,54375369
16201,富山市,54375370
16201,富山市,54375371
16201,富山市,54375372
16201,富山市,54375373
16201,富山市,54375374
16201,富山市,54375375
16201,富山市,54375376
16201,富山市,54375377
16201,富山市,54375378
16201,富山市,54375379
16201,富山市,54375380
16201,富山市,54375381
16201,富山市,54375382
16201,富山市,54375383
16201,富山市,54375384
16201,富山市,54375385
16201,富山市,54375386
16201,富山市,54375387
16201,富山市,54375388
16201,富山市,54375389
16201,富山市,54375390
16201,富山市,54375391
16201,富山市,54375392
16201,富山市,54375393
16201,富山市,54375394
16201,富山市,54375395
16201,富山市,54375396
16201,富山市,54375397
16201,富山市,54375398
16201,富山市,54375399
16201,富山市,54375400
16201,富山市,54375401
16201,富山市,54375402
16201,富山市,54375403
16201,富山市,54375404
16201,富山市,54375405
16201,富山市,54375406
16201,富山市,54375407
16201,富山市,54375408
16201,富山市,54375409
16201,富山市,54375410
16201,富山市,54375411
16201,富山市,54375412
16201,富山市,54375413
16201,富山市,54375414
16201,富山市,54375415
16201,富山市,54375416
16201,富山市,54375417
16201,富山市,54375418
16201,富山市,54375419
16201,富山市,54375420
16201,富山市,54375421
16201,富山市,54375422
16201,富山市,54375423
16201,富山市,54375424
16201,富山市,54375425
16201,富山市,54375426
16201,富山市,54375427
16201,富山市,54375428
16201,富山市,54375429
16201,富山市,54375430
16201,富山市,54375431
16201,富山市,54375432
16201,富山市,54375433
16201,富山市,54375434
16201,富山市,54375435
16201,富山市,54375436
16201,富山市,54375437
16201,富山市,54375438
16201,富山市,54375439
16201,富山市,54375440
16201,富山市,54375441
16201,富山市,54375442
16201,富山市,54375443
16201,富山市,54375444
16201,富山市,54375445
16201,富山市,54375446
16201,富山市,54375447
16201,富山市,54375448
16201,富山市,54375449
16201,富山市,54375450
16201,富山市,54375451
16201,富山市,54375452
16201,富山市,54375453
16201,富山市,54375454
16201,富山市,54375455
16201,富山市,54375456
16201,富山市,54375457
16201,富山市,54375458
16201,富山市,54375459
16201,富山市,54375460
16201,富山市,54375461
16201,富山市,54375462
16201,富山市,54375463
16201,富山市,54375464
16201,富山市,54375465
16201,富山市,54375466
16201,富山市,54375467
16201,富山市,54375468
16201,富山市,54375469
16201,富山市,54375470
16201,富山市,54375471
16201,富山市,54375472
16201,富山市,54375473
16201,富山市,54375474
16201,富山市,54375475
16201,富山市,54375476
16201,富山市,54375477
16201,富山市,54375478
16201,富山市,54375479
16201,富山市,54375480
16201,富山市,54375481
16201,富山市,54375482
16201,富山市,54375483
16201,富山市,54375484
16201,富山市,54375485
16201,富山市,54375486
16201,富山市,54375487
16201,富山市,54375488
16201,富山市,54375489
16201,富山市,54375490
16201,富山市,54375491
16201,富山市,54375492
16201,富山市,54375493
16201,富山市,54375494
16201,富山市,54375495
16201,富山市,54375496
16201,富山市,54375497
16201,富山市,54375498
16201,富山市,54375499
16201,富山市,54375500
16201,富山市,54375510
16201,富山市,54375511
16201,富山市,54375520
16201,富山市,54375521
16201,富山市,54375530
16201,富山市,54375531
16201,富山市,54375540
16201,富山市,54375541
16201,富山市,54375542
16201,富山市,54375550
16201,富山市,54375551
16201,富山市,54375552
16201,富山市,54375560
16201,富山市,54375561
16201,富山市,54375562
16201,富山市,54375570
16201,富山市,54375571
16201,富山市,54375572
16201,富山市,54375580
16201,富山市,54375581
16201,富山市,54375582
16201,富山市,54375590
16201,富山市,54375591
16201,富山市,54375592
16201,富山市,54375593
16201,富山市,54376002
16201,富山市,54376003
16201,富山市,54376004
16201,富山市,54376005
16201,富山市,54376006
16201,富山市,54376007
16201,富山市,54376008
16201,富山市,54376009
16201,富山市,54376012
16201,富山市,54376013
16201,富山市,54376014
16201,富山市,54376015
16201,富山市,54376016
16201,富山市,54376017
16201,富山市,54376018
16201,富山市,54376019
16201,富山市,54376022
16201,富山市,54376023
16201,富山市,54376024
16201,富山市,54376025
16201,富山市,54376026
16201,富山市,54376027
16201,富山市,54376028
16201,富山市,54376029
16201,富山市,54376032
16201,富山市,54376033
16201,富山市,54376034
16201,富山市,54376035
16201,富山市,54376036
16201,富山市,54376037
16201,富山市,54376038
16201,富山市,54376039
16201,富山市,54376042
16201,富山市,54376043
16201,富山市,54376044
16201,富山市,54376045
16201,富山市,54376046
16201,富山市,54376047
16201,富山市,54376048
16201,富山市,54376049
16201,富山市,54376052
16201,富山市,54376053
16201,富山市,54376054
16201,富山市,54376055
16201,富山市,54376056
16201,富山市,54376057
16201,富山市,54376058
16201,富山市,54376059
16201,富山市,54376062
16201,富山市,54376063
16201,富山市,54376064
16201,富山市,54376065
16201,富山市,54376066
16201,富山市,54376067
16201,富山市,54376068
16201,富山市,54376069
16201,富山市,54376072
16201,富山市,54376073
16201,富山市,54376074
16201,富山市,54376075
16201,富山市,54376076
16201,富山市,54376077
16201,富山市,54376078
