municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
19201,甲府市,53382408,35.50833,35.5,138.6,138.6125,
19201,甲府市,53382409,35.50833,35.5,138.6125,138.625,
19201,甲府市,53382417,35.51667,35.50833,138.5875,138.6,
19201,甲府市,53382418,35.51667,35.50833,138.6,138.6125,
19201,甲府市,53382419,35.51667,35.50833,138.6125,138.625,
19201,甲府市,53382427,35.525,35.51667,138.5875,138.6,
19201,甲府市,53382428,35.525,35.51667,138.6,138.6125,
19201,甲府市,53382429,35.525,35.51667,138.6125,138.625,
19201,甲府市,53382437,35.53333,35.525,138.5875,138.6,
19201,甲府市,53382438,35.53333,35.525,138.6,138.6125,
19201,甲府市,53382439,35.53333,35.525,138.6125,138.625,
19201,甲府市,53382447,35.54167,35.53333,138.5875,138.6,
19201,甲府市,53382448,35.54167,35.53333,138.6,138.6125,
19201,甲府市,53382449,35.54167,35.53333,138.6125,138.625,
19201,甲府市,53382457,35.55,35.54167,138.5875,138.6,
19201,甲府市,53382458,35.55,35.54167,138.6,138.6125,
19201,甲府市,53382459,35.55,35.54167,138.6125,138.625,
19201,甲府市,53382466,35.55833,35.55,138.575,138.5875,
19201,甲府市,53382467,35.55833,35.55,138.5875,138.6,
19201,甲府市,53382468,35.55833,35.55,138.6,138.6125,
19201,甲府市,53382469,35.55833,35.55,138.6125,138.625,
19201,甲府市,53382476,35.56667,35.55833,138.575,138.5875,
19201,甲府市,53382477,35.56667,35.55833,138.5875,138.6,
19201,甲府市,53382478,35.56667,35.55833,138.6,138.6125,
19201,甲府市,53382479,35.56667,35.55833,138.6125,138.625,
19201,甲府市,53382485,35.575,35.56667,138.5625,138.575,
19201,甲府市,53382486,35.575,35.56667,138.575,138.5875,
19201,甲府市,53382487,35.575,35.56667,138.5875,138.6,
19201,甲府市,53382488,35.575,35.56667,138.6,138.6125,
19201,甲府市,53382489,35.575,35.56667,138.6125,138.625,
19201,甲府市,53382494,35.58333,35.575,138.55,138.5625,
19201,甲府市,53382495,35.58333,35.575,138.5625,138.575,
19201,甲府市,53382496,35.58333,35.575,138.575,138.5875,
19201,甲府市,53382497,35.58333,35.575,138.5875,138.6,
19201,甲府市,53382498,35.58333,35.575,138.6,138.6125,
19201,甲府市,53382499,35.58333,35.575,138.6125,138.625,
19201,甲府市,53382500,35.50833,35.5,138.625,138.6375,
19201,甲府市,53382510,35.51667,35.50833,138.625,138.6375,
19201,甲府市,53382511,35.51667,35.50833,138.6375,138.65,
19201,甲府市,53382512,35.51667,35.50833,138.65,138.6625,
19201,甲府市,53382520,35.525,35.51667,138.625,138.6375,
19201,甲府市,53382521,35.525,35.51667,138.6375,138.65,
19201,甲府市,53382522,35.525,35.51667,138.65,138.6625,
19201,甲府市,53382530,35.53333,35.525,138.625,138.6375,
19201,甲府市,53382531,35.53333,35.525,138.6375,138.65,
19201,甲府市,53382540,35.54167,35.53333,138.625,138.6375,
19201,甲府市,53382541,35.54167,35.53333,138.6375,138.65,
19201,甲府市,53382550,35.55,35.54167,138.625,138.6375,
19201,甲府市,53383404,35.59167,35.58333,138.55,138.5625,
19201,甲府市,53383405,35.59167,35.58333,138.5625,138.575,
19201,甲府市,53383406,35.59167,35.58333,138.575,138.5875,
19201,甲府市,53383407,35.59167,35.58333,138.5875,138.6,
19201,甲府市,53383414,35.6,35.59167,138.55,138.5625,
19201,甲府市,53383415,35.6,35.59167,138.5625,138.575,
19201,甲府市,53383416,35.6,35.59167,138.575,138.5875,
19201,甲府市,53383417,35.6,35.59167,138.5875,138.6,
19201,甲府市,53383418,35.6,35.59167,138.6,138.6125,
19201,甲府市,53383424,35.60833,35.6,138.55,138.5625,
19201,甲府市,53383425,35.60833,35.6,138.5625,138.575,
19201,甲府市,53383426,35.60833,35.6,138.575,138.5875,
19201,甲府市,53383427,35.60833,35.6,138.5875,138.6,
19201,甲府市,53383428,35.60833,35.6,138.6,138.6125,
19201,甲府市,53383434,35.61667,35.60833,138.55,138.5625,
19201,甲府市,53383435,35.61667,35.60833,138.5625,138.575,
19201,甲府市,53383436,35.61667,35.60833,138.575,138.5875,
19201,甲府市,53383437,35.61667,35.60833,138.5875,138.6,
19201,甲府市,53383438,35.61667,35.60833,138.6,138.6125,
19201,甲府市,53383443,35.625,35.61667,138.5375,138.55,
19201,甲府市,53383444,35.625,35.61667,138.55,138.5625,
19201,甲府市,53383445,35.625,35.61667,138.5625,138.575,
19201,甲府市,53383446,35.625,35.61667,138.575,138.5875,
19201,甲府市,53383447,35.625,35.61667,138.5875,138.6,
19201,甲府市,53383448,35.625,35.61667,138.6,138.6125,
19201,甲府市,53383453,35.63333,35.625,138.5375,138.55,
19201,甲府市,53383454,35.63333,35.625,138.55,138.5625,
19201,甲府市,53383455,35.63333,35.625,138.5625,138.575,
19201,甲府市,53383456,35.63333,35.625,138.575,138.5875,
19201,甲府市,53383457,35.63333,35.625,138.5875,138.6,
19201,甲府市,53383463,35.64167,35.63333,138.5375,138.55,
19201,甲府市,53383464,35.64167,35.63333,138.55,138.5625,
19201,甲府市,53383465,35.64167,35.63333,138.5625,138.575,
19201,甲府市,53383466,35.64167,35.63333,138.575,138.5875,
19201,甲府市,53383467,35.64167,35.63333,138.5875,138.6,
19201,甲府市,53383468,35.64167,35.63333,138.6,138.6125,
19201,甲府市,53383472,35.65,35.64167,138.525,138.5375,
19201,甲府市,53383473,35.65,35.64167,138.5375,138.55,
19201,甲府市,53383474,35.65,35.64167,138.55,138.5625,
19201,甲府市,53383475,35.65,35.64167,138.5625,138.575,
19201,甲府市,53383476,35.65,35.64167,138.575,138.5875,
19201,甲府市,53383477,35.65,35.64167,138.5875,138.6,
19201,甲府市,53383478,35.65,35.64167,138.6,138.6125,
19201,甲府市,53383479,35.65,35.64167,138.6125,138.625,
19201,甲府市,53383482,35.65833,35.65,138.525,138.5375,
19201,甲府市,53383483,35.65833,35.65,138.5375,138.55,
19201,甲府市,53383484,35.65833,35.65,138.55,138.5625,
19201,甲府市,53383485,35.65833,35.65,138.5625,138.575,
19201,甲府市,53383486,35.65833,35.65,138.575,138.5875,
19201,甲府市,53383487,35.65833,35.65,138.5875,138.6,
19201,甲府市,53383488,35.65833,35.65,138.6,138.6125,
19201,甲府市,53383489,35.65833,35.65,138.6125,138.625,
19201,甲府市,53383492,35.66667,35.65833,138.525,138.5375,
19201,甲府市,53383493,35.66667,35.65833,138.5375,138.55,
19201,甲府市,53383494,35.66667,35.65833,138.55,138.5625,
19201,甲府市,53383495,35.66667,35.65833,138.5625,138.575,
19201,甲府市,53383496,35.66667,35.65833,138.575,138.5875,
19201,甲府市,53383497,35.66667,35.65833,138.5875,138.6,
19201,甲府市,53383498,35.66667,35.65833,138.6,138.6125,
19201,甲府市,53383499,35.66667,35.65833,138.6125,138.625,
19201,甲府市,53383570,35.65,35.64167,138.625,138.6375,
19201,甲府市,53383580,35.65833,35.65,138.625,138.6375,
19201,甲府市,53383590,35.66667,35.65833,138.625,138.6375,
19201,甲府市,53384402,35.675,35.66667,138.525,138.5375,
19201,甲府市,53384403,35.675,35.66667,138.5375,138.55,
19201,甲府市,53384404,35.675,35.66667,138.55,138.5625,
19201,甲府市,53384405,35.675,35.66667,138.5625,138.575,
19201,甲府市,53384406,35.675,35.66667,138.575,138.5875,
19201,甲府市,53384407,35.675,35.66667,138.5875,138.6,
19201,甲府市,53384408,35.675,35.66667,138.6,138.6125,
19201,甲府市,53384409,35.675,35.66667,138.6125,138.625,
19201,甲府市,53384412,35.68333,35.675,138.525,138.5375,
19201,甲府市,53384413,35.68333,35.675,138.5375,138.55,
19201,甲府市,53384414,35.68333,35.675,138.55,138.5625,
19201,甲府市,53384415,35.68333,35.675,138.5625,138.575,
19201,甲府市,53384416,35.68333,35.675,138.575,138.5875,
19201,甲府市,53384417,35.68333,35.675,138.5875,138.6,
19201,甲府市,53384418,35.68333,35.675,138.6,138.6125,
19201,甲府市,53384419,35.68333,35.675,138.6125,138.625,
19201,甲府市,53384422,35.69167,35.68333,138.525,138.5375,
19201,甲府市,53384423,35.69167,35.68333,138.5375,138.55,
19201,甲府市,53384424,35.69167,35.68333,138.55,138.5625,
19201,甲府市,53384425,35.69167,35.68333,138.5625,138.575,
19201,甲府市,53384426,35.69167,35.68333,138.575,138.5875,
19201,甲府市,53384427,35.69167,35.68333,138.5875,138.6,
19201,甲府市,53384428,35.69167,35.68333,138.6,138.6125,
19201,甲府市,53384429,35.69167,35.68333,138.6125,138.625,
19201,甲府市,53384431,35.7,35.69167,138.5125,138.525,
19201,甲府市,53384432,35.7,35.69167,138.525,138.5375,
19201,甲府市,53384433,35.7,35.69167,138.5375,138.55,
19201,甲府市,53384434,35.7,35.69167,138.55,138.5625,
19201,甲府市,53384435,35.7,35.69167,138.5625,138.575,
19201,甲府市,53384436,35.7,35.69167,138.575,138.5875,
19201,甲府市,53384437,35.7,35.69167,138.5875,138.6,
19201,甲府市,53384438,35.7,35.69167,138.6,138.6125,
19201,甲府市,53384439,35.7,35.69167,138.6125,138.625,
19201,甲府市,53384441,35.70833,35.7,138.5125,138.525,
19201,甲府市,53384442,35.70833,35.7,138.525,138.5375,
19201,甲府市,53384443,35.70833,35.7,138.5375,138.55,
19201,甲府市,53384444,35.70833,35.7,138.55,138.5625,
19201,甲府市,53384445,35.70833,35.7,138.5625,138.575,
19201,甲府市,53384446,35.70833,35.7,138.575,138.5875,
19201,甲府市,53384447,35.70833,35.7,138.5875,138.6,
19201,甲府市,53384448,35.70833,35.7,138.6,138.6125,
19201,甲府市,53384449,35.70833,35.7,138.6125,138.625,
19201,甲府市,53384452,35.71667,35.70833,138.525,138.5375,
19201,甲府市,53384453,35.71667,35.70833,138.5375,138.55,
19201,甲府市,53384454,35.71667,35.70833,138.55,138.5625,
19201,甲府市,53384455,35.71667,35.70833,138.5625,138.575,
19201,甲府市,53384456,35.71667,35.70833,138.575,138.5875,
19201,甲府市,53384457,35.71667,35.70833,138.5875,138.6,
19201,甲府市,53384458,35.71667,35.70833,138.6,138.6125,
19201,甲府市,53384459,35.71667,35.70833,138.6125,138.625,
19201,甲府市,53384463,35.725,35.71667,138.5375,138.55,
19201,甲府市,53384464,35.725,35.71667,138.55,138.5625,
19201,甲府市,53384465,35.725,35.71667,138.5625,138.575,
19201,甲府市,53384466,35.725,35.71667,138.575,138.5875,
19201,甲府市,53384467,35.725,35.71667,138.5875,138.6,
19201,甲府市,53384468,35.725,35.71667,138.6,138.6125,
19201,甲府市,53384469,35.725,35.71667,138.6125,138.625,
19201,甲府市,53384473,35.73333,35.725,138.5375,138.55,
19201,甲府市,53384474,35.73333,35.725,138.55,138.5625,
19201,甲府市,53384475,35.73333,35.725,138.5625,138.575,
19201,甲府市,53384476,35.73333,35.725,138.575,138.5875,
19201,甲府市,53384477,35.73333,35.725,138.5875,138.6,
19201,甲府市,53384484,35.74167,35.73333,138.55,138.5625,
19201,甲府市,53384485,35.74167,35.73333,138.5625,138.575,
19201,甲府市,53384486,35.74167,35.73333,138.575,138.5875,
19201,甲府市,53384487,35.74167,35.73333,138.5875,138.6,
19201,甲府市,53384494,35.75,35.74167,138.55,138.5625,
19201,甲府市,53384495,35.75,35.74167,138.5625,138.575,
19201,甲府市,53384496,35.75,35.74167,138.575,138.5875,
19201,甲府市,53384497,35.75,35.74167,138.5875,138.6,
19201,甲府市,53384500,35.675,35.66667,138.625,138.6375,
19201,甲府市,53385404,35.75833,35.75,138.55,138.5625,
19201,甲府市,53385405,35.75833,35.75,138.5625,138.575,
19201,甲府市,53385406,35.75833,35.75,138.575,138.5875,
19201,甲府市,53385407,35.75833,35.75,138.5875,138.6,
19201,甲府市,53385408,35.75833,35.75,138.6,138.6125,
19201,甲府市,53385413,35.76667,35.75833,138.5375,138.55,
19201,甲府市,53385414,35.76667,35.75833,138.55,138.5625,
19201,甲府市,53385415,35.76667,35.75833,138.5625,138.575,
19201,甲府市,53385416,35.76667,35.75833,138.575,138.5875,
19201,甲府市,53385417,35.76667,35.75833,138.5875,138.6,
19201,甲府市,53385418,35.76667,35.75833,138.6,138.6125,
19201,甲府市,53385423,35.775,35.76667,138.5375,138.55,
19201,甲府市,53385424,35.775,35.76667,138.55,138.5625,
19201,甲府市,53385425,35.775,35.76667,138.5625,138.575,
19201,甲府市,53385426,35.775,35.76667,138.575,138.5875,
19201,甲府市,53385427,35.775,35.76667,138.5875,138.6,
19201,甲府市,53385428,35.775,35.76667,138.6,138.6125,
19201,甲府市,53385433,35.78333,35.775,138.5375,138.55,
19201,甲府市,53385434,35.78333,35.775,138.55,138.5625,
19201,甲府市,53385435,35.78333,35.775,138.5625,138.575,
19201,甲府市,53385436,35.78333,35.775,138.575,138.5875,
19201,甲府市,53385437,35.78333,35.775,138.5875,138.6,
19201,甲府市,53385438,35.78333,35.775,138.6,138.6125,
19201,甲府市,53385439,35.78333,35.775,138.6125,138.625,
19201,甲府市,53385443,35.79167,35.78333,138.5375,138.55,
19201,甲府市,53385444,35.79167,35.78333,138.55,138.5625,
19201,甲府市,53385445,35.79167,35.78333,138.5625,138.575,
19201,甲府市,53385446,35.79167,35.78333,138.575,138.5875,
19201,甲府市,53385447,35.79167,35.78333,138.5875,138.6,
19201,甲府市,53385448,35.79167,35.78333,138.6,138.6125,
19201,甲府市,53385449,35.79167,35.78333,138.6125,138.625,
19201,甲府市,53385453,35.8,35.79167,138.5375,138.55,
19201,甲府市,53385454,35.8,35.79167,138.55,138.5625,
19201,甲府市,53385455,35.8,35.79167,138.5625,138.575,
19201,甲府市,53385456,35.8,35.79167,138.575,138.5875,
19201,甲府市,53385457,35.8,35.79167,138.5875,138.6,
19201,甲府市,53385458,35.8,35.79167,138.6,138.6125,
19201,甲府市,53385459,35.8,35.79167,138.6125,138.625,
19201,甲府市,53385463,35.80833,35.8,138.5375,138.55,
19201,甲府市,53385464,35.80833,35.8,138.55,138.5625,
19201,甲府市,53385465,35.80833,35.8,138.5625,138.575,
19201,甲府市,53385466,35.80833,35.8,138.575,138.5875,
19201,甲府市,53385467,35.80833,35.8,138.5875,138.6,
19201,甲府市,53385468,35.80833,35.8,138.6,138.6125,
19201,甲府市,53385469,35.80833,35.8,138.6125,138.625,
19201,甲府市,53385474,35.81667,35.80833,138.55,138.5625,
19201,甲府市,53385475,35.81667,35.80833,138.5625,138.575,
