都道府県市区町村コード,市区町村名,基準メッシュコード
19201,甲府市,53382408
19201,甲府市,53382409
19201,甲府市,53382417
19201,甲府市,53382418
19201,甲府市,53382419
19201,甲府市,53382427
19201,甲府市,53382428
19201,甲府市,53382429
19201,甲府市,53382437
19201,甲府市,53382438
19201,甲府市,53382439
19201,甲府市,53382447
19201,甲府市,53382448
19201,甲府市,53382449
19201,甲府市,53382457
19201,甲府市,53382458
19201,甲府市,53382459
19201,甲府市,53382466
19201,甲府市,53382467
19201,甲府市,53382468
19201,甲府市,53382469
19201,甲府市,53382476
19201,甲府市,53382477
19201,甲府市,53382478
19201,甲府市,53382479
19201,甲府市,53382485
19201,甲府市,53382486
19201,甲府市,53382487
19201,甲府市,53382488
19201,甲府市,53382489
19201,甲府市,53382494
19201,甲府市,53382495
19201,甲府市,53382496
19201,甲府市,53382497
19201,甲府市,53382498
19201,甲府市,53382499
19201,甲府市,53382500
19201,甲府市,53382510
19201,甲府市,53382511
19201,甲府市,53382512
19201,甲府市,53382520
19201,甲府市,53382521
19201,甲府市,53382522
19201,甲府市,53382530
19201,甲府市,53382531
19201,甲府市,53382540
19201,甲府市,53382541
19201,甲府市,53382550
19201,甲府市,53383404
19201,甲府市,53383405
19201,甲府市,53383406
19201,甲府市,53383407
19201,甲府市,53383414
19201,甲府市,53383415
19201,甲府市,53383416
19201,甲府市,53383417
19201,甲府市,53383418
19201,甲府市,53383424
19201,甲府市,53383425
19201,甲府市,53383426
19201,甲府市,53383427
19201,甲府市,53383428
19201,甲府市,53383434
19201,甲府市,53383435
19201,甲府市,53383436
19201,甲府市,53383437
19201,甲府市,53383438
19201,甲府市,53383443
19201,甲府市,53383444
19201,甲府市,53383445
19201,甲府市,53383446
19201,甲府市,53383447
19201,甲府市,53383448
19201,甲府市,53383453
19201,甲府市,53383454
19201,甲府市,53383455
19201,甲府市,53383456
19201,甲府市,53383457
19201,甲府市,53383463
19201,甲府市,53383464
19201,甲府市,53383465
19201,甲府市,53383466
19201,甲府市,53383467
19201,甲府市,53383468
19201,甲府市,53383472
19201,甲府市,53383473
19201,甲府市,53383474
19201,甲府市,53383475
19201,甲府市,53383476
19201,甲府市,53383477
19201,甲府市,53383478
19201,甲府市,53383479
19201,甲府市,53383482
19201,甲府市,53383483
19201,甲府市,53383484
19201,甲府市,53383485
19201,甲府市,53383486
19201,甲府市,53383487
19201,甲府市,53383488
19201,甲府市,53383489
19201,甲府市,53383492
19201,甲府市,53383493
19201,甲府市,53383494
19201,甲府市,53383495
19201,甲府市,53383496
19201,甲府市,53383497
19201,甲府市,53383498
19201,甲府市,53383499
19201,甲府市,53383570
19201,甲府市,53383580
19201,甲府市,53383590
19201,甲府市,53384402
19201,甲府市,53384403
19201,甲府市,53384404
19201,甲府市,53384405
19201,甲府市,53384406
19201,甲府市,53384407
19201,甲府市,53384408
19201,甲府市,53384409
19201,甲府市,53384412
19201,甲府市,53384413
19201,甲府市,53384414
19201,甲府市,53384415
19201,甲府市,53384416
19201,甲府市,53384417
19201,甲府市,53384418
19201,甲府市,53384419
19201,甲府市,53384422
19201,甲府市,53384423
19201,甲府市,53384424
19201,甲府市,53384425
19201,甲府市,53384426
19201,甲府市,53384427
19201,甲府市,53384428
19201,甲府市,53384429
19201,甲府市,53384431
19201,甲府市,53384432
19201,甲府市,53384433
19201,甲府市,53384434
19201,甲府市,53384435
19201,甲府市,53384436
19201,甲府市,53384437
19201,甲府市,53384438
19201,甲府市,53384439
19201,甲府市,53384441
19201,甲府市,53384442
19201,甲府市,53384443
19201,甲府市,53384444
19201,甲府市,53384445
19201,甲府市,53384446
19201,甲府市,53384447
19201,甲府市,53384448
19201,甲府市,53384449
19201,甲府市,53384452
19201,甲府市,53384453
19201,甲府市,53384454
19201,甲府市,53384455
19201,甲府市,53384456
19201,甲府市,53384457
19201,甲府市,53384458
19201,甲府市,53384459
19201,甲府市,53384463
19201,甲府市,53384464
19201,甲府市,53384465
19201,甲府市,53384466
19201,甲府市,53384467
19201,甲府市,53384468
19201,甲府市,53384469
19201,甲府市,53384473
19201,甲府市,53384474
19201,甲府市,53384475
19201,甲府市,53384476
19201,甲府市,53384477
19201,甲府市,53384484
19201,甲府市,53384485
19201,甲府市,53384486
19201,甲府市,53384487
19201,甲府市,53384494
19201,甲府市,53384495
19201,甲府市,53384496
19201,甲府市,53384497
19201,甲府市,53384500
19201,甲府市,53385404
19201,甲府市,53385405
19201,甲府市,53385406
19201,甲府市,53385407
19201,甲府市,53385408
19201,甲府市,53385413
19201,甲府市,53385414
19201,甲府市,53385415
19201,甲府市,53385416
19201,甲府市,53385417
19201,甲府市,53385418
19201,甲府市,53385423
19201,甲府市,53385424
19201,甲府市,53385425
19201,甲府市,53385426
19201,甲府市,53385427
19201,甲府市,53385428
19201,甲府市,53385433
19201,甲府市,53385434
19201,甲府市,53385435
19201,甲府市,53385436
19201,甲府市,53385437
19201,甲府市,53385438
19201,甲府市,53385439
19201,甲府市,53385443
19201,甲府市,53385444
19201,甲府市,53385445
19201,甲府市,53385446
19201,甲府市,53385447
19201,甲府市,53385448
19201,甲府市,53385449
19201,甲府市,53385453
19201,甲府市,53385454
19201,甲府市,53385455
19201,甲府市,53385456
19201,甲府市,53385457
19201,甲府市,53385458
19201,甲府市,53385459
19201,甲府市,53385463
19201,甲府市,53385464
19201,甲府市,53385465
19201,甲府市,53385466
19201,甲府市,53385467
19201,甲府市,53385468
19201,甲府市,53385469
19201,甲府市,53385474
19201,甲府市,53385475
19201,甲府市,53385476
19201,甲府市,53385477
19201,甲府市,53385478
19201,甲府市,53385479
19201,甲府市,53385484
19201,甲府市,53385485
19201,甲府市,53385486
19201,甲府市,53385487
19201,甲府市,53385488
19201,甲府市,53385489
19201,甲府市,53385494
19201,甲府市,53385495
19201,甲府市,53385496
19201,甲府市,53385497
19201,甲府市,53385498
19201,甲府市,53385499
19201,甲府市,53385550
19201,甲府市,53385560
19201,甲府市,53385570
19201,甲府市,53385580
19201,甲府市,53385590
19201,甲府市,53386406
19201,甲府市,53386407
19201,甲府市,53386408
19201,甲府市,53386409
19201,甲府市,53386417
19201,甲府市,53386418
19201,甲府市,53386419
19201,甲府市,53386428
19201,甲府市,53386429
19201,甲府市,53386438
19201,甲府市,53386439
19201,甲府市,53386449
19201,甲府市,53386500
19201,甲府市,53386501
19201,甲府市,53386510
19201,甲府市,53386511
19201,甲府市,53386520
19201,甲府市,53386521
19201,甲府市,53386530
19201,甲府市,53386531
19201,甲府市,53386532
19201,甲府市,53386540
19201,甲府市,53386541
19201,甲府市,53386542
19201,甲府市,53386552
19202,富士吉田市,53380538
19202,富士吉田市,53380548
19202,富士吉田市,53380549
19202,富士吉田市,53380558
19202,富士吉田市,53380559
19202,富士吉田市,53380568
19202,富士吉田市,53380569
19202,富士吉田市,53380578
19202,富士吉田市,53380579
19202,富士吉田市,53380588
19202,富士吉田市,53380589
19202,富士吉田市,53380598
19202,富士吉田市,53380599
19202,富士吉田市,53380640
19202,富士吉田市,53380641
19202,富士吉田市,53380642
19202,富士吉田市,53380643
19202,富士吉田市,53380645
19202,富士吉田市,53380650
19202,富士吉田市,53380651
19202,富士吉田市,53380652
19202,富士吉田市,53380653
19202,富士吉田市,53380654
19202,富士吉田市,53380655
19202,富士吉田市,53380656
19202,富士吉田市,53380660
19202,富士吉田市,53380661
19202,富士吉田市,53380662
19202,富士吉田市,53380663
19202,富士吉田市,53380664
