都道府県市区町村コード,市区町村名,基準メッシュコード
20201,長野市,54375756
20201,長野市,54375757
20201,長野市,54375758
20201,長野市,54375766
20201,長野市,54375767
20201,長野市,54375768
20201,長野市,54375769
20201,長野市,54375775
20201,長野市,54375776
20201,長野市,54375777
20201,長野市,54375778
20201,長野市,54375779
20201,長野市,54375785
20201,長野市,54375786
20201,長野市,54375787
20201,長野市,54375788
20201,長野市,54375789
20201,長野市,54375796
20201,長野市,54375797
20201,長野市,54375798
20201,長野市,54375799
20201,長野市,54376705
20201,長野市,54376706
20201,長野市,54376707
20201,長野市,54376708
20201,長野市,54376709
20201,長野市,54376715
20201,長野市,54376716
20201,長野市,54376717
20201,長野市,54376718
20201,長野市,54376719
20201,長野市,54376724
20201,長野市,54376725
20201,長野市,54376726
20201,長野市,54376727
20201,長野市,54376728
20201,長野市,54376729
20201,長野市,54376733
20201,長野市,54376734
20201,長野市,54376735
20201,長野市,54376736
20201,長野市,54376737
20201,長野市,54376738
20201,長野市,54376739
20201,長野市,54376743
20201,長野市,54376744
20201,長野市,54376745
20201,長野市,54376746
20201,長野市,54376747
20201,長野市,54376748
20201,長野市,54376749
20201,長野市,54376753
20201,長野市,54376754
20201,長野市,54376755
20201,長野市,54376756
20201,長野市,54376757
20201,長野市,54376758
20201,長野市,54376759
20201,長野市,54376763
20201,長野市,54376764
20201,長野市,54376765
20201,長野市,54376766
20201,長野市,54376767
20201,長野市,54376768
20201,長野市,54376769
20201,長野市,54376774
20201,長野市,54376775
20201,長野市,54376776
20201,長野市,54376777
20201,長野市,54376778
20201,長野市,54376779
20201,長野市,54376784
20201,長野市,54376785
20201,長野市,54376786
20201,長野市,54376787
20201,長野市,54376788
20201,長野市,54376789
20201,長野市,54376794
20201,長野市,54376795
20201,長野市,54376796
20201,長野市,54376797
20201,長野市,54376798
20201,長野市,54376799
20201,長野市,54377704
20201,長野市,54377705
20201,長野市,54377706
20201,長野市,54377707
20201,長野市,54377708
20201,長野市,54377709
20201,長野市,54377715
20201,長野市,54377716
20201,長野市,54377717
