municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
22101,静岡市葵区,52383199,35.0,34.99167,138.2375,138.25,
22101,静岡市葵区,52383233,34.95,34.94167,138.2875,138.3,
22101,静岡市葵区,52383242,34.95833,34.95,138.275,138.2875,
22101,静岡市葵区,52383243,34.95833,34.95,138.2875,138.3,
22101,静岡市葵区,52383244,34.95833,34.95,138.3,138.3125,
22101,静岡市葵区,52383249,34.95833,34.95,138.3625,138.375,
22101,静岡市葵区,52383252,34.96667,34.95833,138.275,138.2875,
22101,静岡市葵区,52383253,34.96667,34.95833,138.2875,138.3,
22101,静岡市葵区,52383254,34.96667,34.95833,138.3,138.3125,
22101,静岡市葵区,52383255,34.96667,34.95833,138.3125,138.325,
22101,静岡市葵区,52383256,34.96667,34.95833,138.325,138.3375,
22101,静岡市葵区,52383257,34.96667,34.95833,138.3375,138.35,
22101,静岡市葵区,52383258,34.96667,34.95833,138.35,138.3625,
22101,静岡市葵区,52383259,34.96667,34.95833,138.3625,138.375,
22101,静岡市葵区,52383261,34.975,34.96667,138.2625,138.275,
22101,静岡市葵区,52383262,34.975,34.96667,138.275,138.2875,
22101,静岡市葵区,52383263,34.975,34.96667,138.2875,138.3,
22101,静岡市葵区,52383264,34.975,34.96667,138.3,138.3125,
22101,静岡市葵区,52383265,34.975,34.96667,138.3125,138.325,
22101,静岡市葵区,52383266,34.975,34.96667,138.325,138.3375,
22101,静岡市葵区,52383267,34.975,34.96667,138.3375,138.35,
22101,静岡市葵区,52383268,34.975,34.96667,138.35,138.3625,
22101,静岡市葵区,52383269,34.975,34.96667,138.3625,138.375,
22101,静岡市葵区,52383271,34.98333,34.975,138.2625,138.275,
22101,静岡市葵区,52383272,34.98333,34.975,138.275,138.2875,
22101,静岡市葵区,52383273,34.98333,34.975,138.2875,138.3,
22101,静岡市葵区,52383274,34.98333,34.975,138.3,138.3125,
22101,静岡市葵区,52383275,34.98333,34.975,138.3125,138.325,
22101,静岡市葵区,52383276,34.98333,34.975,138.325,138.3375,
22101,静岡市葵区,52383277,34.98333,34.975,138.3375,138.35,
22101,静岡市葵区,52383278,34.98333,34.975,138.35,138.3625,
22101,静岡市葵区,52383279,34.98333,34.975,138.3625,138.375,
22101,静岡市葵区,52383280,34.99167,34.98333,138.25,138.2625,
22101,静岡市葵区,52383281,34.99167,34.98333,138.2625,138.275,
22101,静岡市葵区,52383282,34.99167,34.98333,138.275,138.2875,
22101,静岡市葵区,52383283,34.99167,34.98333,138.2875,138.3,
22101,静岡市葵区,52383284,34.99167,34.98333,138.3,138.3125,
22101,静岡市葵区,52383285,34.99167,34.98333,138.3125,138.325,
22101,静岡市葵区,52383286,34.99167,34.98333,138.325,138.3375,
22101,静岡市葵区,52383287,34.99167,34.98333,138.3375,138.35,
22101,静岡市葵区,52383288,34.99167,34.98333,138.35,138.3625,
22101,静岡市葵区,52383289,34.99167,34.98333,138.3625,138.375,
22101,静岡市葵区,52383290,35.0,34.99167,138.25,138.2625,
22101,静岡市葵区,52383291,35.0,34.99167,138.2625,138.275,
22101,静岡市葵区,52383292,35.0,34.99167,138.275,138.2875,
22101,静岡市葵区,52383293,35.0,34.99167,138.2875,138.3,
22101,静岡市葵区,52383294,35.0,34.99167,138.3,138.3125,
22101,静岡市葵区,52383295,35.0,34.99167,138.3125,138.325,
22101,静岡市葵区,52383296,35.0,34.99167,138.325,138.3375,
22101,静岡市葵区,52383297,35.0,34.99167,138.3375,138.35,
22101,静岡市葵区,52383298,35.0,34.99167,138.35,138.3625,
22101,静岡市葵区,52383299,35.0,34.99167,138.3625,138.375,
22101,静岡市葵区,52383350,34.96667,34.95833,138.375,138.3875,
22101,静岡市葵区,52383360,34.975,34.96667,138.375,138.3875,
22101,静岡市葵区,52383361,34.975,34.96667,138.3875,138.4,
22101,静岡市葵区,52383370,34.98333,34.975,138.375,138.3875,
22101,静岡市葵区,52383371,34.98333,34.975,138.3875,138.4,
22101,静岡市葵区,52383372,34.98333,34.975,138.4,138.4125,
22101,静岡市葵区,52383380,34.99167,34.98333,138.375,138.3875,
22101,静岡市葵区,52383381,34.99167,34.98333,138.3875,138.4,
22101,静岡市葵区,52383382,34.99167,34.98333,138.4,138.4125,
22101,静岡市葵区,52383383,34.99167,34.98333,138.4125,138.425,
22101,静岡市葵区,52383390,35.0,34.99167,138.375,138.3875,
22101,静岡市葵区,52383391,35.0,34.99167,138.3875,138.4,
22101,静岡市葵区,52383392,35.0,34.99167,138.4,138.4125,
22101,静岡市葵区,52383393,35.0,34.99167,138.4125,138.425,
22101,静岡市葵区,52383394,35.0,34.99167,138.425,138.4375,
22101,静岡市葵区,52384107,35.00833,35.0,138.2125,138.225,
22101,静岡市葵区,52384108,35.00833,35.0,138.225,138.2375,
22101,静岡市葵区,52384109,35.00833,35.0,138.2375,138.25,
22101,静岡市葵区,52384115,35.01667,35.00833,138.1875,138.2,
22101,静岡市葵区,52384116,35.01667,35.00833,138.2,138.2125,
22101,静岡市葵区,52384117,35.01667,35.00833,138.2125,138.225,
22101,静岡市葵区,52384118,35.01667,35.00833,138.225,138.2375,
22101,静岡市葵区,52384119,35.01667,35.00833,138.2375,138.25,
22101,静岡市葵区,52384125,35.025,35.01667,138.1875,138.2,
22101,静岡市葵区,52384126,35.025,35.01667,138.2,138.2125,
22101,静岡市葵区,52384127,35.025,35.01667,138.2125,138.225,
22101,静岡市葵区,52384128,35.025,35.01667,138.225,138.2375,
22101,静岡市葵区,52384129,35.025,35.01667,138.2375,138.25,
22101,静岡市葵区,52384135,35.03333,35.025,138.1875,138.2,
22101,静岡市葵区,52384136,35.03333,35.025,138.2,138.2125,
22101,静岡市葵区,52384137,35.03333,35.025,138.2125,138.225,
22101,静岡市葵区,52384138,35.03333,35.025,138.225,138.2375,
22101,静岡市葵区,52384139,35.03333,35.025,138.2375,138.25,
22101,静岡市葵区,52384145,35.04167,35.03333,138.1875,138.2,
22101,静岡市葵区,52384146,35.04167,35.03333,138.2,138.2125,
22101,静岡市葵区,52384147,35.04167,35.03333,138.2125,138.225,
22101,静岡市葵区,52384148,35.04167,35.03333,138.225,138.2375,
22101,静岡市葵区,52384149,35.04167,35.03333,138.2375,138.25,
22101,静岡市葵区,52384155,35.05,35.04167,138.1875,138.2,
22101,静岡市葵区,52384156,35.05,35.04167,138.2,138.2125,
22101,静岡市葵区,52384157,35.05,35.04167,138.2125,138.225,
22101,静岡市葵区,52384158,35.05,35.04167,138.225,138.2375,
22101,静岡市葵区,52384159,35.05,35.04167,138.2375,138.25,
22101,静岡市葵区,52384165,35.05833,35.05,138.1875,138.2,
22101,静岡市葵区,52384166,35.05833,35.05,138.2,138.2125,
22101,静岡市葵区,52384167,35.05833,35.05,138.2125,138.225,
22101,静岡市葵区,52384168,35.05833,35.05,138.225,138.2375,
22101,静岡市葵区,52384169,35.05833,35.05,138.2375,138.25,
22101,静岡市葵区,52384176,35.06667,35.05833,138.2,138.2125,
22101,静岡市葵区,52384177,35.06667,35.05833,138.2125,138.225,
22101,静岡市葵区,52384178,35.06667,35.05833,138.225,138.2375,
22101,静岡市葵区,52384179,35.06667,35.05833,138.2375,138.25,
22101,静岡市葵区,52384186,35.075,35.06667,138.2,138.2125,
22101,静岡市葵区,52384187,35.075,35.06667,138.2125,138.225,
22101,静岡市葵区,52384188,35.075,35.06667,138.225,138.2375,
22101,静岡市葵区,52384189,35.075,35.06667,138.2375,138.25,
22101,静岡市葵区,52384195,35.08333,35.075,138.1875,138.2,
22101,静岡市葵区,52384196,35.08333,35.075,138.2,138.2125,
22101,静岡市葵区,52384197,35.08333,35.075,138.2125,138.225,
22101,静岡市葵区,52384198,35.08333,35.075,138.225,138.2375,
22101,静岡市葵区,52384199,35.08333,35.075,138.2375,138.25,
22101,静岡市葵区,52384200,35.00833,35.0,138.25,138.2625,
22101,静岡市葵区,52384201,35.00833,35.0,138.2625,138.275,
22101,静岡市葵区,52384202,35.00833,35.0,138.275,138.2875,
22101,静岡市葵区,52384203,35.00833,35.0,138.2875,138.3,
22101,静岡市葵区,52384204,35.00833,35.0,138.3,138.3125,
22101,静岡市葵区,52384205,35.00833,35.0,138.3125,138.325,
22101,静岡市葵区,52384206,35.00833,35.0,138.325,138.3375,
22101,静岡市葵区,52384207,35.00833,35.0,138.3375,138.35,
22101,静岡市葵区,52384208,35.00833,35.0,138.35,138.3625,
22101,静岡市葵区,52384209,35.00833,35.0,138.3625,138.375,
22101,静岡市葵区,52384210,35.01667,35.00833,138.25,138.2625,
22101,静岡市葵区,52384211,35.01667,35.00833,138.2625,138.275,
22101,静岡市葵区,52384212,35.01667,35.00833,138.275,138.2875,
22101,静岡市葵区,52384213,35.01667,35.00833,138.2875,138.3,
22101,静岡市葵区,52384214,35.01667,35.00833,138.3,138.3125,
22101,静岡市葵区,52384215,35.01667,35.00833,138.3125,138.325,
22101,静岡市葵区,52384216,35.01667,35.00833,138.325,138.3375,
22101,静岡市葵区,52384217,35.01667,35.00833,138.3375,138.35,
22101,静岡市葵区,52384218,35.01667,35.00833,138.35,138.3625,
22101,静岡市葵区,52384219,35.01667,35.00833,138.3625,138.375,
22101,静岡市葵区,52384220,35.025,35.01667,138.25,138.2625,
22101,静岡市葵区,52384221,35.025,35.01667,138.2625,138.275,
