municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
24201,津市,51365136,34.45,34.44167,136.2,136.2125,
24201,津市,51365137,34.45,34.44167,136.2125,136.225,
24201,津市,51365138,34.45,34.44167,136.225,136.2375,
24201,津市,51365139,34.45,34.44167,136.2375,136.25,
24201,津市,51365146,34.45833,34.45,136.2,136.2125,
24201,津市,51365147,34.45833,34.45,136.2125,136.225,
24201,津市,51365148,34.45833,34.45,136.225,136.2375,
24201,津市,51365149,34.45833,34.45,136.2375,136.25,
24201,津市,51365156,34.46667,34.45833,136.2,136.2125,
24201,津市,51365157,34.46667,34.45833,136.2125,136.225,
24201,津市,51365158,34.46667,34.45833,136.225,136.2375,
24201,津市,51365159,34.46667,34.45833,136.2375,136.25,
24201,津市,51365166,34.475,34.46667,136.2,136.2125,
24201,津市,51365167,34.475,34.46667,136.2125,136.225,
24201,津市,51365168,34.475,34.46667,136.225,136.2375,
24201,津市,51365169,34.475,34.46667,136.2375,136.25,
24201,津市,51365177,34.48333,34.475,136.2125,136.225,
24201,津市,51365178,34.48333,34.475,136.225,136.2375,
24201,津市,51365179,34.48333,34.475,136.2375,136.25,
24201,津市,51365187,34.49167,34.48333,136.2125,136.225,
24201,津市,51365188,34.49167,34.48333,136.225,136.2375,
24201,津市,51365189,34.49167,34.48333,136.2375,136.25,
24201,津市,51365197,34.5,34.49167,136.2125,136.225,
24201,津市,51365198,34.5,34.49167,136.225,136.2375,
24201,津市,51365199,34.5,34.49167,136.2375,136.25,
24201,津市,51365230,34.45,34.44167,136.25,136.2625,
24201,津市,51365240,34.45833,34.45,136.25,136.2625,
24201,津市,51365241,34.45833,34.45,136.2625,136.275,
24201,津市,51365242,34.45833,34.45,136.275,136.2875,
24201,津市,51365250,34.46667,34.45833,136.25,136.2625,
24201,津市,51365251,34.46667,34.45833,136.2625,136.275,
24201,津市,51365252,34.46667,34.45833,136.275,136.2875,
24201,津市,51365253,34.46667,34.45833,136.2875,136.3,
24201,津市,51365254,34.46667,34.45833,136.3,136.3125,
24201,津市,51365260,34.475,34.46667,136.25,136.2625,
24201,津市,51365261,34.475,34.46667,136.2625,136.275,
24201,津市,51365262,34.475,34.46667,136.275,136.2875,
24201,津市,51365263,34.475,34.46667,136.2875,136.3,
24201,津市,51365264,34.475,34.46667,136.3,136.3125,
24201,津市,51365265,34.475,34.46667,136.3125,136.325,
24201,津市,51365270,34.48333,34.475,136.25,136.2625,
24201,津市,51365271,34.48333,34.475,136.2625,136.275,
