都道府県市区町村コード,市区町村名,基準メッシュコード
24201,津市,51365136
24201,津市,51365137
24201,津市,51365138
24201,津市,51365139
24201,津市,51365146
24201,津市,51365147
24201,津市,51365148
24201,津市,51365149
24201,津市,51365156
24201,津市,51365157
24201,津市,51365158
24201,津市,51365159
24201,津市,51365166
24201,津市,51365167
24201,津市,51365168
24201,津市,51365169
24201,津市,51365177
24201,津市,51365178
24201,津市,51365179
24201,津市,51365187
24201,津市,51365188
24201,津市,51365189
24201,津市,51365197
24201,津市,51365198
24201,津市,51365199
24201,津市,51365230
24201,津市,51365240
24201,津市,51365241
24201,津市,51365242
24201,津市,51365250
24201,津市,51365251
24201,津市,51365252
24201,津市,51365253
24201,津市,51365254
24201,津市,51365260
24201,津市,51365261
24201,津市,51365262
24201,津市,51365263
24201,津市,51365264
24201,津市,51365265
24201,津市,51365270
24201,津市,51365271
24201,津市,51365272
24201,津市,51365273
24201,津市,51365274
24201,津市,51365275
24201,津市,51365280
24201,津市,51365281
24201,津市,51365282
24201,津市,51365283
24201,津市,51365284
24201,津市,51365285
24201,津市,51365286
24201,津市,51365290
24201,津市,51365291
24201,津市,51365292
24201,津市,51365293
24201,津市,51365294
24201,津市,51365295
24201,津市,51365296
24201,津市,51365297
24201,津市,51366107
24201,津市,51366108
24201,津市,51366109
24201,津市,51366114
24201,津市,51366117
24201,津市,51366118
24201,津市,51366119
24201,津市,51366123
24201,津市,51366124
24201,津市,51366125
24201,津市,51366127
24201,津市,51366128
24201,津市,51366129
24201,津市,51366133
24201,津市,51366134
24201,津市,51366135
24201,津市,51366136
24201,津市,51366137
24201,津市,51366138
24201,津市,51366139
24201,津市,51366143
24201,津市,51366144
24201,津市,51366145
24201,津市,51366146
24201,津市,51366147
24201,津市,51366148
24201,津市,51366149
24201,津市,51366152
24201,津市,51366153
24201,津市,51366154
24201,津市,51366155
24201,津市,51366156
24201,津市,51366157
24201,津市,51366158
24201,津市,51366159
24201,津市,51366163
24201,津市,51366164
24201,津市,51366165
24201,津市,51366166
24201,津市,51366167
24201,津市,51366168
24201,津市,51366169
24201,津市,51366173
24201,津市,51366174
24201,津市,51366175
24201,津市,51366176
24201,津市,51366177
24201,津市,51366178
24201,津市,51366179
24201,津市,51366184
24201,津市,51366185
24201,津市,51366186
24201,津市,51366187
24201,津市,51366188
24201,津市,51366189
24201,津市,51366197
24201,津市,51366198
24201,津市,51366199
24201,津市,51366200
24201,津市,51366201
24201,津市,51366202
24201,津市,51366203
24201,津市,51366204
24201,津市,51366205
24201,津市,51366206
24201,津市,51366207
24201,津市,51366210
24201,津市,51366211
24201,津市,51366212
24201,津市,51366213
24201,津市,51366214
24201,津市,51366215
24201,津市,51366216
24201,津市,51366217
24201,津市,51366220
24201,津市,51366221
24201,津市,51366222
24201,津市,51366223
24201,津市,51366224
24201,津市,51366225
24201,津市,51366226
24201,津市,51366227
24201,津市,51366230
24201,津市,51366231
24201,津市,51366232
24201,津市,51366233
24201,津市,51366234
24201,津市,51366235
24201,津市,51366236
24201,津市,51366237
24201,津市,51366240
24201,津市,51366241
24201,津市,51366242
24201,津市,51366243
24201,津市,51366244
24201,津市,51366245
24201,津市,51366246
24201,津市,51366247
24201,津市,51366248
24201,津市,51366250
24201,津市,51366251
24201,津市,51366252
24201,津市,51366253
24201,津市,51366254
24201,津市,51366255
24201,津市,51366256
24201,津市,51366257
24201,津市,51366258
24201,津市,51366260
