municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
25201,大津市,52352669,34.89167,34.88333,135.8625,135.875,
25201,大津市,52352679,34.9,34.89167,135.8625,135.875,
25201,大津市,52352689,34.90833,34.9,135.8625,135.875,
25201,大津市,52352699,34.91667,34.90833,135.8625,135.875,
25201,大津市,52352741,34.875,34.86667,135.8875,135.9,
25201,大津市,52352742,34.875,34.86667,135.9,135.9125,
25201,大津市,52352750,34.88333,34.875,135.875,135.8875,
25201,大津市,52352751,34.88333,34.875,135.8875,135.9,
25201,大津市,52352752,34.88333,34.875,135.9,135.9125,
25201,大津市,52352755,34.88333,34.875,135.9375,135.95,
25201,大津市,52352756,34.88333,34.875,135.95,135.9625,
25201,大津市,52352757,34.88333,34.875,135.9625,135.975,
25201,大津市,52352760,34.89167,34.88333,135.875,135.8875,
25201,大津市,52352761,34.89167,34.88333,135.8875,135.9,
25201,大津市,52352762,34.89167,34.88333,135.9,135.9125,
25201,大津市,52352763,34.89167,34.88333,135.9125,135.925,
25201,大津市,52352764,34.89167,34.88333,135.925,135.9375,
25201,大津市,52352765,34.89167,34.88333,135.9375,135.95,
25201,大津市,52352766,34.89167,34.88333,135.95,135.9625,
25201,大津市,52352767,34.89167,34.88333,135.9625,135.975,
25201,大津市,52352768,34.89167,34.88333,135.975,135.9875,
25201,大津市,52352769,34.89167,34.88333,135.9875,136.0,
25201,大津市,52352770,34.9,34.89167,135.875,135.8875,
25201,大津市,52352771,34.9,34.89167,135.8875,135.9,
25201,大津市,52352772,34.9,34.89167,135.9,135.9125,
25201,大津市,52352773,34.9,34.89167,135.9125,135.925,
25201,大津市,52352774,34.9,34.89167,135.925,135.9375,
25201,大津市,52352775,34.9,34.89167,135.9375,135.95,
25201,大津市,52352776,34.9,34.89167,135.95,135.9625,
25201,大津市,52352777,34.9,34.89167,135.9625,135.975,
25201,大津市,52352778,34.9,34.89167,135.975,135.9875,
