都道府県市区町村コード,市区町村名,基準メッシュコード
25201,大津市,52352669
25201,大津市,52352679
25201,大津市,52352689
25201,大津市,52352699
25201,大津市,52352741
25201,大津市,52352742
25201,大津市,52352750
25201,大津市,52352751
25201,大津市,52352752
25201,大津市,52352755
25201,大津市,52352756
25201,大津市,52352757
25201,大津市,52352760
25201,大津市,52352761
25201,大津市,52352762
25201,大津市,52352763
25201,大津市,52352764
25201,大津市,52352765
25201,大津市,52352766
25201,大津市,52352767
25201,大津市,52352768
25201,大津市,52352769
25201,大津市,52352770
25201,大津市,52352771
25201,大津市,52352772
25201,大津市,52352773
25201,大津市,52352774
25201,大津市,52352775
25201,大津市,52352776
25201,大津市,52352777
25201,大津市,52352778
25201,大津市,52352779
25201,大津市,52352780
25201,大津市,52352781
25201,大津市,52352782
25201,大津市,52352783
25201,大津市,52352784
25201,大津市,52352785
25201,大津市,52352786
25201,大津市,52352787
25201,大津市,52352788
25201,大津市,52352789
25201,大津市,52352790
25201,大津市,52352791
25201,大津市,52352792
25201,大津市,52352793
25201,大津市,52352794
25201,大津市,52352795
25201,大津市,52352796
25201,大津市,52352797
25201,大津市,52352798
25201,大津市,52352799
25201,大津市,52353609
25201,大津市,52353619
25201,大津市,52353649
25201,大津市,52353658
25201,大津市,52353659
25201,大津市,52353668
25201,大津市,52353669
25201,大津市,52353678
25201,大津市,52353679
25201,大津市,52353686
25201,大津市,52353687
25201,大津市,52353688
25201,大津市,52353689
25201,大津市,52353696
25201,大津市,52353697
25201,大津市,52353698
25201,大津市,52353699
25201,大津市,52353700
25201,大津市,52353701
25201,大津市,52353702
25201,大津市,52353703
25201,大津市,52353704
25201,大津市,52353705
25201,大津市,52353706
25201,大津市,52353707
25201,大津市,52353708
25201,大津市,52353709
25201,大津市,52353710
25201,大津市,52353711
25201,大津市,52353712
25201,大津市,52353713
25201,大津市,52353714
25201,大津市,52353715
25201,大津市,52353716
25201,大津市,52353717
25201,大津市,52353718
25201,大津市,52353719
25201,大津市,52353720
25201,大津市,52353721
25201,大津市,52353722
25201,大津市,52353723
25201,大津市,52353724
25201,大津市,52353725
25201,大津市,52353726
25201,大津市,52353727
25201,大津市,52353728
25201,大津市,52353729
25201,大津市,52353730
25201,大津市,52353731
25201,大津市,52353732
25201,大津市,52353733
25201,大津市,52353734
25201,大津市,52353735
25201,大津市,52353736
25201,大津市,52353737
25201,大津市,52353738
25201,大津市,52353739
25201,大津市,52353740
25201,大津市,52353741
25201,大津市,52353742
25201,大津市,52353743
25201,大津市,52353744
25201,大津市,52353745
25201,大津市,52353746
25201,大津市,52353747
25201,大津市,52353748
25201,大津市,52353749
25201,大津市,52353750
25201,大津市,52353751
25201,大津市,52353752
25201,大津市,52353753
25201,大津市,52353754
25201,大津市,52353755
25201,大津市,52353756
25201,大津市,52353757
25201,大津市,52353758
25201,大津市,52353759
25201,大津市,52353760
25201,大津市,52353761
25201,大津市,52353762
25201,大津市,52353763
25201,大津市,52353764
25201,大津市,52353765
25201,大津市,52353766
25201,大津市,52353767
25201,大津市,52353768
25201,大津市,52353769
25201,大津市,52353770
25201,大津市,52353771
25201,大津市,52353772
25201,大津市,52353773
25201,大津市,52353774
25201,大津市,52353775
25201,大津市,52353776
25201,大津市,52353777
25201,大津市,52353778
25201,大津市,52353779
25201,大津市,52353780
25201,大津市,52353781
25201,大津市,52353782
25201,大津市,52353783
25201,大津市,52353784
25201,大津市,52353785
25201,大津市,52353787
25201,大津市,52353788
25201,大津市,52353790
25201,大津市,52353791
25201,大津市,52353792
25201,大津市,52353793
25201,大津市,52353794
25201,大津市,52353795
25201,大津市,52354606
25201,大津市,52354607
25201,大津市,52354608
25201,大津市,52354609
25201,大津市,52354615
25201,大津市,52354616
25201,大津市,52354617
25201,大津市,52354618
25201,大津市,52354619
25201,大津市,52354626
25201,大津市,52354627
25201,大津市,52354628
25201,大津市,52354629
25201,大津市,52354636
25201,大津市,52354637
25201,大津市,52354638
25201,大津市,52354639
25201,大津市,52354645
25201,大津市,52354646
25201,大津市,52354647
25201,大津市,52354648
25201,大津市,52354649
25201,大津市,52354655
25201,大津市,52354656
25201,大津市,52354657
25201,大津市,52354658
25201,大津市,52354659
25201,大津市,52354665
25201,大津市,52354666
25201,大津市,52354667
25201,大津市,52354668
25201,大津市,52354669
25201,大津市,52354676
25201,大津市,52354677
25201,大津市,52354678
25201,大津市,52354679
25201,大津市,52354686
25201,大津市,52354687
25201,大津市,52354688
25201,大津市,52354689
25201,大津市,52354696
25201,大津市,52354697
25201,大津市,52354698
25201,大津市,52354699
25201,大津市,52354700
25201,大津市,52354701
25201,大津市,52354702
25201,大津市,52354710
25201,大津市,52354711
