municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
29201,奈良市,51356766,34.55833,34.55,135.95,135.9625,
29201,奈良市,51356775,34.56667,34.55833,135.9375,135.95,
29201,奈良市,51356776,34.56667,34.55833,135.95,135.9625,
29201,奈良市,51356777,34.56667,34.55833,135.9625,135.975,
29201,奈良市,51356778,34.56667,34.55833,135.975,135.9875,
29201,奈良市,51356784,34.575,34.56667,135.925,135.9375,
29201,奈良市,51356785,34.575,34.56667,135.9375,135.95,
29201,奈良市,51356786,34.575,34.56667,135.95,135.9625,
29201,奈良市,51356787,34.575,34.56667,135.9625,135.975,
29201,奈良市,51356788,34.575,34.56667,135.975,135.9875,
29201,奈良市,51356794,34.58333,34.575,135.925,135.9375,
29201,奈良市,51356795,34.58333,34.575,135.9375,135.95,
29201,奈良市,51356796,34.58333,34.575,135.95,135.9625,
29201,奈良市,51356797,34.58333,34.575,135.9625,135.975,
29201,奈良市,51356798,34.58333,34.575,135.975,135.9875,
29201,奈良市,51357589,34.65833,34.65,135.7375,135.75,
29201,奈良市,51357598,34.66667,34.65833,135.725,135.7375,
29201,奈良市,51357599,34.66667,34.65833,135.7375,135.75,
29201,奈良市,51357629,34.60833,34.6,135.8625,135.875,
29201,奈良市,51357639,34.61667,34.60833,135.8625,135.875,
29201,奈良市,51357648,34.625,34.61667,135.85,135.8625,
29201,奈良市,51357649,34.625,34.61667,135.8625,135.875,
29201,奈良市,51357657,34.63333,34.625,135.8375,135.85,
29201,奈良市,51357658,34.63333,34.625,135.85,135.8625,
29201,奈良市,51357659,34.63333,34.625,135.8625,135.875,
29201,奈良市,51357665,34.64167,34.63333,135.8125,135.825,
29201,奈良市,51357666,34.64167,34.63333,135.825,135.8375,
29201,奈良市,51357667,34.64167,34.63333,135.8375,135.85,
29201,奈良市,51357668,34.64167,34.63333,135.85,135.8625,
29201,奈良市,51357669,34.64167,34.63333,135.8625,135.875,
29201,奈良市,51357674,34.65,34.64167,135.8,135.8125,
29201,奈良市,51357675,34.65,34.64167,135.8125,135.825,
29201,奈良市,51357676,34.65,34.64167,135.825,135.8375,
29201,奈良市,51357677,34.65,34.64167,135.8375,135.85,
29201,奈良市,51357678,34.65,34.64167,135.85,135.8625,
29201,奈良市,51357679,34.65,34.64167,135.8625,135.875,
29201,奈良市,51357680,34.65833,34.65,135.75,135.7625,
29201,奈良市,51357681,34.65833,34.65,135.7625,135.775,
29201,奈良市,51357683,34.65833,34.65,135.7875,135.8,
29201,奈良市,51357684,34.65833,34.65,135.8,135.8125,
29201,奈良市,51357685,34.65833,34.65,135.8125,135.825,
29201,奈良市,51357686,34.65833,34.65,135.825,135.8375,
29201,奈良市,51357687,34.65833,34.65,135.8375,135.85,
29201,奈良市,51357688,34.65833,34.65,135.85,135.8625,
29201,奈良市,51357689,34.65833,34.65,135.8625,135.875,
29201,奈良市,51357690,34.66667,34.65833,135.75,135.7625,
29201,奈良市,51357691,34.66667,34.65833,135.7625,135.775,
29201,奈良市,51357692,34.66667,34.65833,135.775,135.7875,
29201,奈良市,51357693,34.66667,34.65833,135.7875,135.8,
29201,奈良市,51357694,34.66667,34.65833,135.8,135.8125,
29201,奈良市,51357695,34.66667,34.65833,135.8125,135.825,
29201,奈良市,51357696,34.66667,34.65833,135.825,135.8375,
29201,奈良市,51357697,34.66667,34.65833,135.8375,135.85,
29201,奈良市,51357698,34.66667,34.65833,135.85,135.8625,
29201,奈良市,51357699,34.66667,34.65833,135.8625,135.875,
29201,奈良市,51357704,34.59167,34.58333,135.925,135.9375,
29201,奈良市,51357705,34.59167,34.58333,135.9375,135.95,
29201,奈良市,51357706,34.59167,34.58333,135.95,135.9625,
29201,奈良市,51357707,34.59167,34.58333,135.9625,135.975,
29201,奈良市,51357708,34.59167,34.58333,135.975,135.9875,
29201,奈良市,51357714,34.6,34.59167,135.925,135.9375,
