都道府県市区町村コード,市区町村名,基準メッシュコード
29201,奈良市,51356766
29201,奈良市,51356775
29201,奈良市,51356776
29201,奈良市,51356777
29201,奈良市,51356778
29201,奈良市,51356784
29201,奈良市,51356785
29201,奈良市,51356786
29201,奈良市,51356787
29201,奈良市,51356788
29201,奈良市,51356794
29201,奈良市,51356795
29201,奈良市,51356796
29201,奈良市,51356797
29201,奈良市,51356798
29201,奈良市,51357589
29201,奈良市,51357598
29201,奈良市,51357599
29201,奈良市,51357629
29201,奈良市,51357639
29201,奈良市,51357648
29201,奈良市,51357649
29201,奈良市,51357657
29201,奈良市,51357658
29201,奈良市,51357659
29201,奈良市,51357665
29201,奈良市,51357666
29201,奈良市,51357667
29201,奈良市,51357668
29201,奈良市,51357669
29201,奈良市,51357674
29201,奈良市,51357675
29201,奈良市,51357676
29201,奈良市,51357677
29201,奈良市,51357678
29201,奈良市,51357679
29201,奈良市,51357680
29201,奈良市,51357681
29201,奈良市,51357683
29201,奈良市,51357684
29201,奈良市,51357685
29201,奈良市,51357686
29201,奈良市,51357687
29201,奈良市,51357688
29201,奈良市,51357689
29201,奈良市,51357690
29201,奈良市,51357691
29201,奈良市,51357692
29201,奈良市,51357693
29201,奈良市,51357694
29201,奈良市,51357695
29201,奈良市,51357696
29201,奈良市,51357697
29201,奈良市,51357698
29201,奈良市,51357699
29201,奈良市,51357704
29201,奈良市,51357705
29201,奈良市,51357706
29201,奈良市,51357707
29201,奈良市,51357708
29201,奈良市,51357714
29201,奈良市,51357715
29201,奈良市,51357716
29201,奈良市,51357717
29201,奈良市,51357718
29201,奈良市,51357724
29201,奈良市,51357725
29201,奈良市,51357726
29201,奈良市,51357727
29201,奈良市,51357728
29201,奈良市,51357730
29201,奈良市,51357731
29201,奈良市,51357734
29201,奈良市,51357735
29201,奈良市,51357736
29201,奈良市,51357737
29201,奈良市,51357738
29201,奈良市,51357739
29201,奈良市,51357740
29201,奈良市,51357741
29201,奈良市,51357745
29201,奈良市,51357746
29201,奈良市,51357747
29201,奈良市,51357748
29201,奈良市,51357749
29201,奈良市,51357750
29201,奈良市,51357751
29201,奈良市,51357752
29201,奈良市,51357753
29201,奈良市,51357754
29201,奈良市,51357755
29201,奈良市,51357756
29201,奈良市,51357757
29201,奈良市,51357758
29201,奈良市,51357759
29201,奈良市,51357760
29201,奈良市,51357761
29201,奈良市,51357762
29201,奈良市,51357763
29201,奈良市,51357764
29201,奈良市,51357765
29201,奈良市,51357766
29201,奈良市,51357767
29201,奈良市,51357768
29201,奈良市,51357769
29201,奈良市,51357770
29201,奈良市,51357771
29201,奈良市,51357772
29201,奈良市,51357773
29201,奈良市,51357774
29201,奈良市,51357775
29201,奈良市,51357776
29201,奈良市,51357777
29201,奈良市,51357778
29201,奈良市,51357779
29201,奈良市,51357780
29201,奈良市,51357781
29201,奈良市,51357782
29201,奈良市,51357783
29201,奈良市,51357784
29201,奈良市,51357785
29201,奈良市,51357786
29201,奈良市,51357787
29201,奈良市,51357788
29201,奈良市,51357789
29201,奈良市,51357790
29201,奈良市,51357791
29201,奈良市,51357792
29201,奈良市,51357793
29201,奈良市,51357794
29201,奈良市,51357795
29201,奈良市,51357796
29201,奈良市,51357798
29201,奈良市,51357799
29201,奈良市,51367040
29201,奈良市,52350507
29201,奈良市,52350508
29201,奈良市,52350509
29201,奈良市,52350517
29201,奈良市,52350518
29201,奈良市,52350519
29201,奈良市,52350527
29201,奈良市,52350528
29201,奈良市,52350529
29201,奈良市,52350537
29201,奈良市,52350538
29201,奈良市,52350539
29201,奈良市,52350547
29201,奈良市,52350548
29201,奈良市,52350549
29201,奈良市,52350557
29201,奈良市,52350558
29201,奈良市,52350559
29201,奈良市,52350568
29201,奈良市,52350569
29201,奈良市,52350579
29201,奈良市,52350600
29201,奈良市,52350601
29201,奈良市,52350602
29201,奈良市,52350603
29201,奈良市,52350604
29201,奈良市,52350605
29201,奈良市,52350606
29201,奈良市,52350607
29201,奈良市,52350608
29201,奈良市,52350609
29201,奈良市,52350610
29201,奈良市,52350611
29201,奈良市,52350612
29201,奈良市,52350613
29201,奈良市,52350614
29201,奈良市,52350615
29201,奈良市,52350616
29201,奈良市,52350617
29201,奈良市,52350618
29201,奈良市,52350619
29201,奈良市,52350620
29201,奈良市,52350621
29201,奈良市,52350622
29201,奈良市,52350623
29201,奈良市,52350624
29201,奈良市,52350625
29201,奈良市,52350626
29201,奈良市,52350627
29201,奈良市,52350628
29201,奈良市,52350629
29201,奈良市,52350630
29201,奈良市,52350631
29201,奈良市,52350632
29201,奈良市,52350633
29201,奈良市,52350634
29201,奈良市,52350635
29201,奈良市,52350636
29201,奈良市,52350637
29201,奈良市,52350638
29201,奈良市,52350639
29201,奈良市,52350640
29201,奈良市,52350641
29201,奈良市,52350642
29201,奈良市,52350643
29201,奈良市,52350644
29201,奈良市,52350645
29201,奈良市,52350646
29201,奈良市,52350647
29201,奈良市,52350648
29201,奈良市,52350649
29201,奈良市,52350650
29201,奈良市,52350651
29201,奈良市,52350652
29201,奈良市,52350653
29201,奈良市,52350654
29201,奈良市,52350655
29201,奈良市,52350656
29201,奈良市,52350657
29201,奈良市,52350659
29201,奈良市,52350660
29201,奈良市,52350661
29201,奈良市,52350662
29201,奈良市,52350663
29201,奈良市,52350664
29201,奈良市,52350670
29201,奈良市,52350671
29201,奈良市,52350673
29201,奈良市,52350700
29201,奈良市,52350701
29201,奈良市,52350702
29201,奈良市,52350703
29201,奈良市,52350704
29201,奈良市,52350705
29201,奈良市,52350706
29201,奈良市,52350708
29201,奈良市,52350709
29201,奈良市,52350710
29201,奈良市,52350711
29201,奈良市,52350712
29201,奈良市,52350713
29201,奈良市,52350714
29201,奈良市,52350715
29201,奈良市,52350716
29201,奈良市,52350720
29201,奈良市,52350721
29201,奈良市,52350722
29201,奈良市,52350723
29201,奈良市,52350724
29201,奈良市,52350725
29201,奈良市,52350726
29201,奈良市,52350727
29201,奈良市,52350728
29201,奈良市,52350729
29201,奈良市,52350730
29201,奈良市,52350731
29201,奈良市,52350732
29201,奈良市,52350733
29201,奈良市,52350734
29201,奈良市,52350735
29201,奈良市,52350736
29201,奈良市,52350737
29201,奈良市,52350738
29201,奈良市,52350739
29201,奈良市,52350740
29201,奈良市,52350741
29201,奈良市,52350742
29201,奈良市,52350743
29201,奈良市,52350744
29201,奈良市,52350745
29201,奈良市,52350746
29201,奈良市,52350747
29201,奈良市,52350748
29201,奈良市,52350749
29201,奈良市,52350750
29201,奈良市,52350751
29201,奈良市,52350752
29201,奈良市,52350753
29201,奈良市,52350754
29201,奈良市,52350755
29201,奈良市,52350756
29201,奈良市,52350757
29201,奈良市,52350758
29201,奈良市,52350759
29201,奈良市,52350761
29201,奈良市,52350762
29201,奈良市,52350763
29201,奈良市,52350764
29201,奈良市,52350765
29201,奈良市,52350766
29201,奈良市,52350767
29201,奈良市,52350768
29201,奈良市,52350771
29201,奈良市,52350772
29201,奈良市,52350773
29201,奈良市,52350774
29201,奈良市,52350775
29201,奈良市,52350776
29201,奈良市,52350777
29201,奈良市,52350778
29201,奈良市,52350782
29201,奈良市,52350783
29201,奈良市,52350784
29201,奈良市,52350785
29201,奈良市,52350786
29201,奈良市,52350787
29201,奈良市,52350788
29201,奈良市,52350792
29201,奈良市,52350793
29201,奈良市,52350794
29201,奈良市,52350795
29201,奈良市,52350796
29201,奈良市,52350797
29201,奈良市,52351703
29201,奈良市,52351704
29201,奈良市,52360010
29201,奈良市,52360011
29201,奈良市,52360020
29201,奈良市,52360021
29201,奈良市,52360030
29201,奈良市,52360031
29201,奈良市,52360032
29201,奈良市,52360033
29201,奈良市,52360034
29201,奈良市,52360040
29201,奈良市,52360041
29201,奈良市,52360042
29201,奈良市,52360043
29201,奈良市,52360044
29201,奈良市,52360045
29201,奈良市,52360050
29201,奈良市,52360051
29201,奈良市,52360052
29201,奈良市,52360053
29201,奈良市,52360054
29201,奈良市,52360055
29201,奈良市,52360060
29201,奈良市,52360062
