municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
36201,徳島市,50347368,33.975,33.96667,134.475,134.4875,
36201,徳島市,50347369,33.975,33.96667,134.4875,134.5,
36201,徳島市,50347378,33.98333,33.975,134.475,134.4875,
36201,徳島市,50347379,33.98333,33.975,134.4875,134.5,
36201,徳島市,50347388,33.99167,33.98333,134.475,134.4875,
36201,徳島市,50347389,33.99167,33.98333,134.4875,134.5,
36201,徳島市,50347399,34.0,33.99167,134.4875,134.5,
36201,徳島市,50347442,33.95833,33.95,134.525,134.5375,
36201,徳島市,50347443,33.95833,33.95,134.5375,134.55,
36201,徳島市,50347450,33.96667,33.95833,134.5,134.5125,
36201,徳島市,50347451,33.96667,33.95833,134.5125,134.525,
36201,徳島市,50347452,33.96667,33.95833,134.525,134.5375,
36201,徳島市,50347453,33.96667,33.95833,134.5375,134.55,
36201,徳島市,50347454,33.96667,33.95833,134.55,134.5625,
36201,徳島市,50347455,33.96667,33.95833,134.5625,134.575,
36201,徳島市,50347460,33.975,33.96667,134.5,134.5125,
36201,徳島市,50347461,33.975,33.96667,134.5125,134.525,
36201,徳島市,50347462,33.975,33.96667,134.525,134.5375,
36201,徳島市,50347463,33.975,33.96667,134.5375,134.55,
36201,徳島市,50347464,33.975,33.96667,134.55,134.5625,
36201,徳島市,50347465,33.975,33.96667,134.5625,134.575,
36201,徳島市,50347470,33.98333,33.975,134.5,134.5125,
36201,徳島市,50347471,33.98333,33.975,134.5125,134.525,
36201,徳島市,50347472,33.98333,33.975,134.525,134.5375,
36201,徳島市,50347473,33.98333,33.975,134.5375,134.55,
36201,徳島市,50347474,33.98333,33.975,134.55,134.5625,
36201,徳島市,50347475,33.98333,33.975,134.5625,134.575,
36201,徳島市,50347480,33.99167,33.98333,134.5,134.5125,
36201,徳島市,50347481,33.99167,33.98333,134.5125,134.525,
36201,徳島市,50347482,33.99167,33.98333,134.525,134.5375,
36201,徳島市,50347483,33.99167,33.98333,134.5375,134.55,
36201,徳島市,50347484,33.99167,33.98333,134.55,134.5625,
36201,徳島市,50347485,33.99167,33.98333,134.5625,134.575,
36201,徳島市,50347490,34.0,33.99167,134.5,134.5125,
36201,徳島市,50347491,34.0,33.99167,134.5125,134.525,
36201,徳島市,50347492,34.0,33.99167,134.525,134.5375,
36201,徳島市,50347493,34.0,33.99167,134.5375,134.55,
36201,徳島市,50347495,34.0,33.99167,134.5625,134.575,
36201,徳島市,51340306,34.00833,34.0,134.45,134.4625,
36201,徳島市,51340307,34.00833,34.0,134.4625,134.475,
36201,徳島市,51340309,34.00833,34.0,134.4875,134.5,
36201,徳島市,51340315,34.01667,34.00833,134.4375,134.45,
36201,徳島市,51340316,34.01667,34.00833,134.45,134.4625,
36201,徳島市,51340317,34.01667,34.00833,134.4625,134.475,
36201,徳島市,51340319,34.01667,34.00833,134.4875,134.5,
36201,徳島市,51340324,34.025,34.01667,134.425,134.4375,
36201,徳島市,51340325,34.025,34.01667,134.4375,134.45,
36201,徳島市,51340326,34.025,34.01667,134.45,134.4625,
36201,徳島市,51340327,34.025,34.01667,134.4625,134.475,
36201,徳島市,51340328,34.025,34.01667,134.475,134.4875,
36201,徳島市,51340329,34.025,34.01667,134.4875,134.5,
36201,徳島市,51340334,34.03333,34.025,134.425,134.4375,
36201,徳島市,51340335,34.03333,34.025,134.4375,134.45,
36201,徳島市,51340336,34.03333,34.025,134.45,134.4625,
36201,徳島市,51340337,34.03333,34.025,134.4625,134.475,
36201,徳島市,51340338,34.03333,34.025,134.475,134.4875,
36201,徳島市,51340339,34.03333,34.025,134.4875,134.5,
36201,徳島市,51340344,34.04167,34.03333,134.425,134.4375,
36201,徳島市,51340345,34.04167,34.03333,134.4375,134.45,
36201,徳島市,51340346,34.04167,34.03333,134.45,134.4625,
36201,徳島市,51340347,34.04167,34.03333,134.4625,134.475,
36201,徳島市,51340348,34.04167,34.03333,134.475,134.4875,
36201,徳島市,51340349,34.04167,34.03333,134.4875,134.5,
36201,徳島市,51340353,34.05,34.04167,134.4125,134.425,
36201,徳島市,51340354,34.05,34.04167,134.425,134.4375,
36201,徳島市,51340355,34.05,34.04167,134.4375,134.45,
36201,徳島市,51340356,34.05,34.04167,134.45,134.4625,
36201,徳島市,51340357,34.05,34.04167,134.4625,134.475,
36201,徳島市,51340358,34.05,34.04167,134.475,134.4875,
36201,徳島市,51340359,34.05,34.04167,134.4875,134.5,
36201,徳島市,51340363,34.05833,34.05,134.4125,134.425,
36201,徳島市,51340364,34.05833,34.05,134.425,134.4375,
36201,徳島市,51340365,34.05833,34.05,134.4375,134.45,
36201,徳島市,51340366,34.05833,34.05,134.45,134.4625,
36201,徳島市,51340367,34.05833,34.05,134.4625,134.475,
36201,徳島市,51340368,34.05833,34.05,134.475,134.4875,
36201,徳島市,51340369,34.05833,34.05,134.4875,134.5,
36201,徳島市,51340376,34.06667,34.05833,134.45,134.4625,
36201,徳島市,51340377,34.06667,34.05833,134.4625,134.475,
36201,徳島市,51340378,34.06667,34.05833,134.475,134.4875,
36201,徳島市,51340379,34.06667,34.05833,134.4875,134.5,
36201,徳島市,51340387,34.075,34.06667,134.4625,134.475,
36201,徳島市,51340388,34.075,34.06667,134.475,134.4875,
36201,徳島市,51340389,34.075,34.06667,134.4875,134.5,
36201,徳島市,51340397,34.08333,34.075,134.4625,134.475,
36201,徳島市,51340398,34.08333,34.075,134.475,134.4875,
36201,徳島市,51340399,34.08333,34.075,134.4875,134.5,
36201,徳島市,51340400,34.00833,34.0,134.5,134.5125,
36201,徳島市,51340401,34.00833,34.0,134.5125,134.525,
36201,徳島市,51340402,34.00833,34.0,134.525,134.5375,
36201,徳島市,51340403,34.00833,34.0,134.5375,134.55,
36201,徳島市,51340404,34.00833,34.0,134.55,134.5625,
36201,徳島市,51340410,34.01667,34.00833,134.5,134.5125,
36201,徳島市,51340411,34.01667,34.00833,134.5125,134.525,
36201,徳島市,51340412,34.01667,34.00833,134.525,134.5375,
36201,徳島市,51340413,34.01667,34.00833,134.5375,134.55,
36201,徳島市,51340414,34.01667,34.00833,134.55,134.5625,
36201,徳島市,51340420,34.025,34.01667,134.5,134.5125,
36201,徳島市,51340421,34.025,34.01667,134.5125,134.525,
36201,徳島市,51340422,34.025,34.01667,134.525,134.5375,
36201,徳島市,51340423,34.025,34.01667,134.5375,134.55,
36201,徳島市,51340424,34.025,34.01667,134.55,134.5625,
36201,徳島市,51340425,34.025,34.01667,134.5625,134.575,
36201,徳島市,51340426,34.025,34.01667,134.575,134.5875,
36201,徳島市,51340427,34.025,34.01667,134.5875,134.6,
36201,徳島市,51340428,34.025,34.01667,134.6,134.6125,
36201,徳島市,51340430,34.03333,34.025,134.5,134.5125,
36201,徳島市,51340431,34.03333,34.025,134.5125,134.525,
36201,徳島市,51340432,34.03333,34.025,134.525,134.5375,
36201,徳島市,51340433,34.03333,34.025,134.5375,134.55,
36201,徳島市,51340434,34.03333,34.025,134.55,134.5625,
36201,徳島市,51340435,34.03333,34.025,134.5625,134.575,
36201,徳島市,51340436,34.03333,34.025,134.575,134.5875,
36201,徳島市,51340437,34.03333,34.025,134.5875,134.6,
36201,徳島市,51340440,34.04167,34.03333,134.5,134.5125,
36201,徳島市,51340441,34.04167,34.03333,134.5125,134.525,
36201,徳島市,51340442,34.04167,34.03333,134.525,134.5375,
36201,徳島市,51340443,34.04167,34.03333,134.5375,134.55,
36201,徳島市,51340444,34.04167,34.03333,134.55,134.5625,
36201,徳島市,51340445,34.04167,34.03333,134.5625,134.575,
36201,徳島市,51340446,34.04167,34.03333,134.575,134.5875,
36201,徳島市,51340447,34.04167,34.03333,134.5875,134.6,
36201,徳島市,51340450,34.05,34.04167,134.5,134.5125,
36201,徳島市,51340451,34.05,34.04167,134.5125,134.525,
36201,徳島市,51340452,34.05,34.04167,134.525,134.5375,
36201,徳島市,51340453,34.05,34.04167,134.5375,134.55,
36201,徳島市,51340454,34.05,34.04167,134.55,134.5625,
36201,徳島市,51340455,34.05,34.04167,134.5625,134.575,
36201,徳島市,51340456,34.05,34.04167,134.575,134.5875,
36201,徳島市,51340457,34.05,34.04167,134.5875,134.6,
36201,徳島市,51340460,34.05833,34.05,134.5,134.5125,
36201,徳島市,51340461,34.05833,34.05,134.5125,134.525,
36201,徳島市,51340462,34.05833,34.05,134.525,134.5375,
36201,徳島市,51340463,34.05833,34.05,134.5375,134.55,
36201,徳島市,51340464,34.05833,34.05,134.55,134.5625,
36201,徳島市,51340465,34.05833,34.05,134.5625,134.575,
36201,徳島市,51340466,34.05833,34.05,134.575,134.5875,
36201,徳島市,51340467,34.05833,34.05,134.5875,134.6,
36201,徳島市,51340468,34.05833,34.05,134.6,134.6125,
36201,徳島市,51340470,34.06667,34.05833,134.5,134.5125,
36201,徳島市,51340471,34.06667,34.05833,134.5125,134.525,
36201,徳島市,51340472,34.06667,34.05833,134.525,134.5375,
36201,徳島市,51340473,34.06667,34.05833,134.5375,134.55,
36201,徳島市,51340474,34.06667,34.05833,134.55,134.5625,
36201,徳島市,51340475,34.06667,34.05833,134.5625,134.575,
36201,徳島市,51340476,34.06667,34.05833,134.575,134.5875,
36201,徳島市,51340477,34.06667,34.05833,134.5875,134.6,
36201,徳島市,51340478,34.06667,34.05833,134.6,134.6125,
36201,徳島市,51340480,34.075,34.06667,134.5,134.5125,
36201,徳島市,51340481,34.075,34.06667,134.5125,134.525,
36201,徳島市,51340482,34.075,34.06667,134.525,134.5375,
36201,徳島市,51340483,34.075,34.06667,134.5375,134.55,
36201,徳島市,51340484,34.075,34.06667,134.55,134.5625,
36201,徳島市,51340485,34.075,34.06667,134.5625,134.575,
36201,徳島市,51340486,34.075,34.06667,134.575,134.5875,
36201,徳島市,51340487,34.075,34.06667,134.5875,134.6,
36201,徳島市,51340488,34.075,34.06667,134.6,134.6125,
36201,徳島市,51340490,34.08333,34.075,134.5,134.5125,
36201,徳島市,51340491,34.08333,34.075,134.5125,134.525,
36201,徳島市,51340492,34.08333,34.075,134.525,134.5375,
36201,徳島市,51340493,34.08333,34.075,134.5375,134.55,
36201,徳島市,51340494,34.08333,34.075,134.55,134.5625,
36201,徳島市,51340495,34.08333,34.075,134.5625,134.575,
36201,徳島市,51340496,34.08333,34.075,134.575,134.5875,
36201,徳島市,51340497,34.08333,34.075,134.5875,134.6,
36201,徳島市,51341306,34.09167,34.08333,134.45,134.4625,
36201,徳島市,51341307,34.09167,34.08333,134.4625,134.475,
36201,徳島市,51341308,34.09167,34.08333,134.475,134.4875,
36201,徳島市,51341309,34.09167,34.08333,134.4875,134.5,
36201,徳島市,51341316,34.1,34.09167,134.45,134.4625,
36201,徳島市,51341317,34.1,34.09167,134.4625,134.475,
36201,徳島市,51341318,34.1,34.09167,134.475,134.4875,
36201,徳島市,51341319,34.1,34.09167,134.4875,134.5,
36201,徳島市,51341326,34.10833,34.1,134.45,134.4625,
36201,徳島市,51341327,34.10833,34.1,134.4625,134.475,
36201,徳島市,51341328,34.10833,34.1,134.475,134.4875,
36201,徳島市,51341329,34.10833,34.1,134.4875,134.5,
36201,徳島市,51341336,34.11667,34.10833,134.45,134.4625,
36201,徳島市,51341337,34.11667,34.10833,134.4625,134.475,
36201,徳島市,51341338,34.11667,34.10833,134.475,134.4875,
