都道府県市区町村コード,市区町村名,基準メッシュコード
36201,徳島市,50347368
36201,徳島市,50347369
36201,徳島市,50347378
36201,徳島市,50347379
36201,徳島市,50347388
36201,徳島市,50347389
36201,徳島市,50347399
36201,徳島市,50347442
36201,徳島市,50347443
36201,徳島市,50347450
36201,徳島市,50347451
36201,徳島市,50347452
36201,徳島市,50347453
36201,徳島市,50347454
36201,徳島市,50347455
36201,徳島市,50347460
36201,徳島市,50347461
36201,徳島市,50347462
36201,徳島市,50347463
36201,徳島市,50347464
36201,徳島市,50347465
36201,徳島市,50347470
36201,徳島市,50347471
36201,徳島市,50347472
36201,徳島市,50347473
36201,徳島市,50347474
36201,徳島市,50347475
36201,徳島市,50347480
36201,徳島市,50347481
36201,徳島市,50347482
36201,徳島市,50347483
36201,徳島市,50347484
36201,徳島市,50347485
36201,徳島市,50347490
36201,徳島市,50347491
36201,徳島市,50347492
36201,徳島市,50347493
36201,徳島市,50347495
36201,徳島市,51340306
36201,徳島市,51340307
36201,徳島市,51340309
36201,徳島市,51340315
36201,徳島市,51340316
36201,徳島市,51340317
36201,徳島市,51340319
36201,徳島市,51340324
36201,徳島市,51340325
36201,徳島市,51340326
36201,徳島市,51340327
36201,徳島市,51340328
36201,徳島市,51340329
36201,徳島市,51340334
36201,徳島市,51340335
36201,徳島市,51340336
36201,徳島市,51340337
36201,徳島市,51340338
36201,徳島市,51340339
36201,徳島市,51340344
36201,徳島市,51340345
36201,徳島市,51340346
36201,徳島市,51340347
36201,徳島市,51340348
36201,徳島市,51340349
36201,徳島市,51340353
36201,徳島市,51340354
36201,徳島市,51340355
36201,徳島市,51340356
36201,徳島市,51340357
36201,徳島市,51340358
36201,徳島市,51340359
36201,徳島市,51340363
36201,徳島市,51340364
36201,徳島市,51340365
36201,徳島市,51340366
36201,徳島市,51340367
36201,徳島市,51340368
36201,徳島市,51340369
36201,徳島市,51340376
36201,徳島市,51340377
36201,徳島市,51340378
36201,徳島市,51340379
36201,徳島市,51340387
36201,徳島市,51340388
36201,徳島市,51340389
36201,徳島市,51340397
36201,徳島市,51340398
36201,徳島市,51340399
