municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
40101,北九州市門司区,50306708,33.84167,33.83333,130.975,130.9875,
40101,北九州市門司区,50306717,33.85,33.84167,130.9625,130.975,
40101,北九州市門司区,50306718,33.85,33.84167,130.975,130.9875,
40101,北九州市門司区,50306726,33.85833,33.85,130.95,130.9625,
40101,北九州市門司区,50306727,33.85833,33.85,130.9625,130.975,
40101,北九州市門司区,50306728,33.85833,33.85,130.975,130.9875,
40101,北九州市門司区,50306729,33.85833,33.85,130.9875,131.0,
40101,北九州市門司区,50306735,33.86667,33.85833,130.9375,130.95,
40101,北九州市門司区,50306736,33.86667,33.85833,130.95,130.9625,
40101,北九州市門司区,50306737,33.86667,33.85833,130.9625,130.975,
40101,北九州市門司区,50306738,33.86667,33.85833,130.975,130.9875,
40101,北九州市門司区,50306739,33.86667,33.85833,130.9875,131.0,
40101,北九州市門司区,50306743,33.875,33.86667,130.9125,130.925,
40101,北九州市門司区,50306744,33.875,33.86667,130.925,130.9375,
40101,北九州市門司区,50306745,33.875,33.86667,130.9375,130.95,
40101,北九州市門司区,50306746,33.875,33.86667,130.95,130.9625,
40101,北九州市門司区,50306747,33.875,33.86667,130.9625,130.975,
40101,北九州市門司区,50306748,33.875,33.86667,130.975,130.9875,
40101,北九州市門司区,50306749,33.875,33.86667,130.9875,131.0,
40101,北九州市門司区,50306753,33.88333,33.875,130.9125,130.925,
40101,北九州市門司区,50306754,33.88333,33.875,130.925,130.9375,
40101,北九州市門司区,50306755,33.88333,33.875,130.9375,130.95,
40101,北九州市門司区,50306756,33.88333,33.875,130.95,130.9625,
40101,北九州市門司区,50306757,33.88333,33.875,130.9625,130.975,
40101,北九州市門司区,50306758,33.88333,33.875,130.975,130.9875,
40101,北九州市門司区,50306759,33.88333,33.875,130.9875,131.0,
40101,北九州市門司区,50306763,33.89167,33.88333,130.9125,130.925,
40101,北九州市門司区,50306764,33.89167,33.88333,130.925,130.9375,
40101,北九州市門司区,50306765,33.89167,33.88333,130.9375,130.95,
40101,北九州市門司区,50306766,33.89167,33.88333,130.95,130.9625,
40101,北九州市門司区,50306767,33.89167,33.88333,130.9625,130.975,
40101,北九州市門司区,50306768,33.89167,33.88333,130.975,130.9875,
40101,北九州市門司区,50306769,33.89167,33.88333,130.9875,131.0,
40101,北九州市門司区,50306773,33.9,33.89167,130.9125,130.925,
40101,北九州市門司区,50306774,33.9,33.89167,130.925,130.9375,
40101,北九州市門司区,50306775,33.9,33.89167,130.9375,130.95,
40101,北九州市門司区,50306776,33.9,33.89167,130.95,130.9625,
40101,北九州市門司区,50306777,33.9,33.89167,130.9625,130.975,
40101,北九州市門司区,50306778,33.9,33.89167,130.975,130.9875,
40101,北九州市門司区,50306779,33.9,33.89167,130.9875,131.0,
