都道府県市区町村コード,市区町村名,基準メッシュコード
40101,北九州市門司区,50306708
40101,北九州市門司区,50306717
40101,北九州市門司区,50306718
40101,北九州市門司区,50306726
40101,北九州市門司区,50306727
40101,北九州市門司区,50306728
40101,北九州市門司区,50306729
40101,北九州市門司区,50306735
40101,北九州市門司区,50306736
40101,北九州市門司区,50306737
40101,北九州市門司区,50306738
40101,北九州市門司区,50306739
40101,北九州市門司区,50306743
40101,北九州市門司区,50306744
40101,北九州市門司区,50306745
40101,北九州市門司区,50306746
40101,北九州市門司区,50306747
40101,北九州市門司区,50306748
40101,北九州市門司区,50306749
40101,北九州市門司区,50306753
40101,北九州市門司区,50306754
40101,北九州市門司区,50306755
40101,北九州市門司区,50306756
40101,北九州市門司区,50306757
40101,北九州市門司区,50306758
40101,北九州市門司区,50306759
40101,北九州市門司区,50306763
40101,北九州市門司区,50306764
40101,北九州市門司区,50306765
40101,北九州市門司区,50306766
40101,北九州市門司区,50306767
40101,北九州市門司区,50306768
40101,北九州市門司区,50306769
40101,北九州市門司区,50306773
40101,北九州市門司区,50306774
40101,北九州市門司区,50306775
40101,北九州市門司区,50306776
40101,北九州市門司区,50306777
40101,北九州市門司区,50306778
40101,北九州市門司区,50306779
40101,北九州市門司区,50306783
40101,北九州市門司区,50306784
40101,北九州市門司区,50306785
40101,北九州市門司区,50306786
40101,北九州市門司区,50306787
40101,北九州市門司区,50306788
40101,北九州市門司区,50306789
40101,北九州市門司区,50306794
40101,北九州市門司区,50306795
40101,北九州市門司区,50306796
40101,北九州市門司区,50306797
40101,北九州市門司区,50306798
40101,北九州市門司区,50306799
40101,北九州市門司区,50307704
40101,北九州市門司区,50307705
40101,北九州市門司区,50307706
40101,北九州市門司区,50307707
40101,北九州市門司区,50307708
40101,北九州市門司区,50307709
40101,北九州市門司区,50307715
40101,北九州市門司区,50307716
40101,北九州市門司区,50307717
40101,北九州市門司区,50307718
40101,北九州市門司区,50307719
40101,北九州市門司区,50307725
