municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
44201,大分市,49314386,33.075,33.06667,131.45,131.4625,
44201,大分市,49314387,33.075,33.06667,131.4625,131.475,
44201,大分市,49314388,33.075,33.06667,131.475,131.4875,
44201,大分市,49314389,33.075,33.06667,131.4875,131.5,
44201,大分市,49314393,33.08333,33.075,131.4125,131.425,
44201,大分市,49314394,33.08333,33.075,131.425,131.4375,
44201,大分市,49314396,33.08333,33.075,131.45,131.4625,
44201,大分市,49314397,33.08333,33.075,131.4625,131.475,
44201,大分市,49314398,33.08333,33.075,131.475,131.4875,
44201,大分市,49314399,33.08333,33.075,131.4875,131.5,
44201,大分市,49314591,33.08333,33.075,131.6375,131.65,
44201,大分市,49314594,33.08333,33.075,131.675,131.6875,
44201,大分市,49314595,33.08333,33.075,131.6875,131.7,
44201,大分市,49314596,33.08333,33.075,131.7,131.7125,
44201,大分市,49315303,33.09167,33.08333,131.4125,131.425,
44201,大分市,49315304,33.09167,33.08333,131.425,131.4375,
44201,大分市,49315305,33.09167,33.08333,131.4375,131.45,
44201,大分市,49315306,33.09167,33.08333,131.45,131.4625,
44201,大分市,49315307,33.09167,33.08333,131.4625,131.475,
44201,大分市,49315308,33.09167,33.08333,131.475,131.4875,
44201,大分市,49315309,33.09167,33.08333,131.4875,131.5,
44201,大分市,49315313,33.1,33.09167,131.4125,131.425,
44201,大分市,49315314,33.1,33.09167,131.425,131.4375,
44201,大分市,49315315,33.1,33.09167,131.4375,131.45,
44201,大分市,49315316,33.1,33.09167,131.45,131.4625,
44201,大分市,49315317,33.1,33.09167,131.4625,131.475,
44201,大分市,49315318,33.1,33.09167,131.475,131.4875,
44201,大分市,49315319,33.1,33.09167,131.4875,131.5,
44201,大分市,49315324,33.10833,33.1,131.425,131.4375,
44201,大分市,49315325,33.10833,33.1,131.4375,131.45,
44201,大分市,49315326,33.10833,33.1,131.45,131.4625,
44201,大分市,49315327,33.10833,33.1,131.4625,131.475,
44201,大分市,49315328,33.10833,33.1,131.475,131.4875,
44201,大分市,49315329,33.10833,33.1,131.4875,131.5,
44201,大分市,49315334,33.11667,33.10833,131.425,131.4375,
44201,大分市,49315335,33.11667,33.10833,131.4375,131.45,
44201,大分市,49315336,33.11667,33.10833,131.45,131.4625,
44201,大分市,49315337,33.11667,33.10833,131.4625,131.475,
44201,大分市,49315338,33.11667,33.10833,131.475,131.4875,
44201,大分市,49315339,33.11667,33.10833,131.4875,131.5,
44201,大分市,49315344,33.125,33.11667,131.425,131.4375,
44201,大分市,49315345,33.125,33.11667,131.4375,131.45,
44201,大分市,49315346,33.125,33.11667,131.45,131.4625,
44201,大分市,49315347,33.125,33.11667,131.4625,131.475,
44201,大分市,49315348,33.125,33.11667,131.475,131.4875,
44201,大分市,49315349,33.125,33.11667,131.4875,131.5,
44201,大分市,49315354,33.13333,33.125,131.425,131.4375,
44201,大分市,49315355,33.13333,33.125,131.4375,131.45,
44201,大分市,49315356,33.13333,33.125,131.45,131.4625,
44201,大分市,49315357,33.13333,33.125,131.4625,131.475,
44201,大分市,49315358,33.13333,33.125,131.475,131.4875,
44201,大分市,49315359,33.13333,33.125,131.4875,131.5,
44201,大分市,49315364,33.14167,33.13333,131.425,131.4375,
44201,大分市,49315365,33.14167,33.13333,131.4375,131.45,
44201,大分市,49315366,33.14167,33.13333,131.45,131.4625,
44201,大分市,49315367,33.14167,33.13333,131.4625,131.475,
44201,大分市,49315368,33.14167,33.13333,131.475,131.4875,
44201,大分市,49315369,33.14167,33.13333,131.4875,131.5,
44201,大分市,49315375,33.15,33.14167,131.4375,131.45,
44201,大分市,49315376,33.15,33.14167,131.45,131.4625,
44201,大分市,49315377,33.15,33.14167,131.4625,131.475,
44201,大分市,49315378,33.15,33.14167,131.475,131.4875,
44201,大分市,49315379,33.15,33.14167,131.4875,131.5,
44201,大分市,49315387,33.15833,33.15,131.4625,131.475,
44201,大分市,49315388,33.15833,33.15,131.475,131.4875,
44201,大分市,49315389,33.15833,33.15,131.4875,131.5,
44201,大分市,49315398,33.16667,33.15833,131.475,131.4875,
44201,大分市,49315399,33.16667,33.15833,131.4875,131.5,
44201,大分市,49315400,33.09167,33.08333,131.5,131.5125,
44201,大分市,49315410,33.1,33.09167,131.5,131.5125,
44201,大分市,49315416,33.1,33.09167,131.575,131.5875,
44201,大分市,49315417,33.1,33.09167,131.5875,131.6,
44201,大分市,49315418,33.1,33.09167,131.6,131.6125,
44201,大分市,49315419,33.1,33.09167,131.6125,131.625,
44201,大分市,49315420,33.10833,33.1,131.5,131.5125,
44201,大分市,49315421,33.10833,33.1,131.5125,131.525,
44201,大分市,49315422,33.10833,33.1,131.525,131.5375,
44201,大分市,49315425,33.10833,33.1,131.5625,131.575,
44201,大分市,49315426,33.10833,33.1,131.575,131.5875,
44201,大分市,49315427,33.10833,33.1,131.5875,131.6,
44201,大分市,49315428,33.10833,33.1,131.6,131.6125,
44201,大分市,49315429,33.10833,33.1,131.6125,131.625,
44201,大分市,49315430,33.11667,33.10833,131.5,131.5125,
44201,大分市,49315431,33.11667,33.10833,131.5125,131.525,
44201,大分市,49315432,33.11667,33.10833,131.525,131.5375,
44201,大分市,49315433,33.11667,33.10833,131.5375,131.55,
44201,大分市,49315434,33.11667,33.10833,131.55,131.5625,
44201,大分市,49315435,33.11667,33.10833,131.5625,131.575,
44201,大分市,49315436,33.11667,33.10833,131.575,131.5875,
44201,大分市,49315437,33.11667,33.10833,131.5875,131.6,
44201,大分市,49315438,33.11667,33.10833,131.6,131.6125,
44201,大分市,49315439,33.11667,33.10833,131.6125,131.625,
44201,大分市,49315440,33.125,33.11667,131.5,131.5125,
44201,大分市,49315441,33.125,33.11667,131.5125,131.525,
44201,大分市,49315442,33.125,33.11667,131.525,131.5375,
44201,大分市,49315443,33.125,33.11667,131.5375,131.55,
44201,大分市,49315444,33.125,33.11667,131.55,131.5625,
44201,大分市,49315445,33.125,33.11667,131.5625,131.575,
44201,大分市,49315446,33.125,33.11667,131.575,131.5875,
44201,大分市,49315447,33.125,33.11667,131.5875,131.6,
44201,大分市,49315448,33.125,33.11667,131.6,131.6125,
44201,大分市,49315449,33.125,33.11667,131.6125,131.625,
44201,大分市,49315450,33.13333,33.125,131.5,131.5125,
44201,大分市,49315451,33.13333,33.125,131.5125,131.525,
44201,大分市,49315452,33.13333,33.125,131.525,131.5375,
44201,大分市,49315453,33.13333,33.125,131.5375,131.55,
44201,大分市,49315454,33.13333,33.125,131.55,131.5625,
44201,大分市,49315455,33.13333,33.125,131.5625,131.575,
44201,大分市,49315456,33.13333,33.125,131.575,131.5875,
44201,大分市,49315457,33.13333,33.125,131.5875,131.6,
44201,大分市,49315458,33.13333,33.125,131.6,131.6125,
44201,大分市,49315459,33.13333,33.125,131.6125,131.625,
44201,大分市,49315460,33.14167,33.13333,131.5,131.5125,
44201,大分市,49315461,33.14167,33.13333,131.5125,131.525,
44201,大分市,49315462,33.14167,33.13333,131.525,131.5375,
44201,大分市,49315463,33.14167,33.13333,131.5375,131.55,
44201,大分市,49315464,33.14167,33.13333,131.55,131.5625,
44201,大分市,49315465,33.14167,33.13333,131.5625,131.575,
44201,大分市,49315466,33.14167,33.13333,131.575,131.5875,
44201,大分市,49315467,33.14167,33.13333,131.5875,131.6,
44201,大分市,49315468,33.14167,33.13333,131.6,131.6125,
44201,大分市,49315469,33.14167,33.13333,131.6125,131.625,
44201,大分市,49315470,33.15,33.14167,131.5,131.5125,
44201,大分市,49315471,33.15,33.14167,131.5125,131.525,
44201,大分市,49315472,33.15,33.14167,131.525,131.5375,
44201,大分市,49315473,33.15,33.14167,131.5375,131.55,
44201,大分市,49315474,33.15,33.14167,131.55,131.5625,
44201,大分市,49315475,33.15,33.14167,131.5625,131.575,
44201,大分市,49315476,33.15,33.14167,131.575,131.5875,
44201,大分市,49315477,33.15,33.14167,131.5875,131.6,
44201,大分市,49315478,33.15,33.14167,131.6,131.6125,
44201,大分市,49315479,33.15,33.14167,131.6125,131.625,
44201,大分市,49315480,33.15833,33.15,131.5,131.5125,
44201,大分市,49315481,33.15833,33.15,131.5125,131.525,
44201,大分市,49315482,33.15833,33.15,131.525,131.5375,
44201,大分市,49315483,33.15833,33.15,131.5375,131.55,
44201,大分市,49315484,33.15833,33.15,131.55,131.5625,
44201,大分市,49315485,33.15833,33.15,131.5625,131.575,
44201,大分市,49315486,33.15833,33.15,131.575,131.5875,
44201,大分市,49315487,33.15833,33.15,131.5875,131.6,
44201,大分市,49315488,33.15833,33.15,131.6,131.6125,
44201,大分市,49315489,33.15833,33.15,131.6125,131.625,
44201,大分市,49315490,33.16667,33.15833,131.5,131.5125,
44201,大分市,49315491,33.16667,33.15833,131.5125,131.525,
44201,大分市,49315492,33.16667,33.15833,131.525,131.5375,
44201,大分市,49315493,33.16667,33.15833,131.5375,131.55,
44201,大分市,49315494,33.16667,33.15833,131.55,131.5625,
44201,大分市,49315495,33.16667,33.15833,131.5625,131.575,
44201,大分市,49315496,33.16667,33.15833,131.575,131.5875,
44201,大分市,49315497,33.16667,33.15833,131.5875,131.6,
44201,大分市,49315498,33.16667,33.15833,131.6,131.6125,
44201,大分市,49315499,33.16667,33.15833,131.6125,131.625,
44201,大分市,49315500,33.09167,33.08333,131.625,131.6375,
44201,大分市,49315501,33.09167,33.08333,131.6375,131.65,
44201,大分市,49315502,33.09167,33.08333,131.65,131.6625,
44201,大分市,49315503,33.09167,33.08333,131.6625,131.675,
44201,大分市,49315504,33.09167,33.08333,131.675,131.6875,
44201,大分市,49315505,33.09167,33.08333,131.6875,131.7,
44201,大分市,49315506,33.09167,33.08333,131.7,131.7125,
44201,大分市,49315510,33.1,33.09167,131.625,131.6375,
44201,大分市,49315511,33.1,33.09167,131.6375,131.65,
44201,大分市,49315512,33.1,33.09167,131.65,131.6625,
44201,大分市,49315513,33.1,33.09167,131.6625,131.675,
44201,大分市,49315514,33.1,33.09167,131.675,131.6875,
44201,大分市,49315515,33.1,33.09167,131.6875,131.7,
44201,大分市,49315516,33.1,33.09167,131.7,131.7125,
44201,大分市,49315520,33.10833,33.1,131.625,131.6375,
44201,大分市,49315521,33.10833,33.1,131.6375,131.65,
44201,大分市,49315522,33.10833,33.1,131.65,131.6625,
44201,大分市,49315523,33.10833,33.1,131.6625,131.675,
44201,大分市,49315524,33.10833,33.1,131.675,131.6875,
44201,大分市,49315525,33.10833,33.1,131.6875,131.7,
44201,大分市,49315526,33.10833,33.1,131.7,131.7125,
44201,大分市,49315527,33.10833,33.1,131.7125,131.725,
44201,大分市,49315530,33.11667,33.10833,131.625,131.6375,
44201,大分市,49315531,33.11667,33.10833,131.6375,131.65,
44201,大分市,49315532,33.11667,33.10833,131.65,131.6625,
44201,大分市,49315533,33.11667,33.10833,131.6625,131.675,
44201,大分市,49315534,33.11667,33.10833,131.675,131.6875,
44201,大分市,49315535,33.11667,33.10833,131.6875,131.7,
44201,大分市,49315536,33.11667,33.10833,131.7,131.7125,
44201,大分市,49315537,33.11667,33.10833,131.7125,131.725,
44201,大分市,49315540,33.125,33.11667,131.625,131.6375,
44201,大分市,49315541,33.125,33.11667,131.6375,131.65,
44201,大分市,49315542,33.125,33.11667,131.65,131.6625,
44201,大分市,49315543,33.125,33.11667,131.6625,131.675,
44201,大分市,49315544,33.125,33.11667,131.675,131.6875,
44201,大分市,49315545,33.125,33.11667,131.6875,131.7,
44201,大分市,49315546,33.125,33.11667,131.7,131.7125,
44201,大分市,49315547,33.125,33.11667,131.7125,131.725,
44201,大分市,49315550,33.13333,33.125,131.625,131.6375,
44201,大分市,49315551,33.13333,33.125,131.6375,131.65,
44201,大分市,49315552,33.13333,33.125,131.65,131.6625,
44201,大分市,49315553,33.13333,33.125,131.6625,131.675,
44201,大分市,49315554,33.13333,33.125,131.675,131.6875,
44201,大分市,49315555,33.13333,33.125,131.6875,131.7,
44201,大分市,49315556,33.13333,33.125,131.7,131.7125,
44201,大分市,49315557,33.13333,33.125,131.7125,131.725,
44201,大分市,49315560,33.14167,33.13333,131.625,131.6375,
44201,大分市,49315561,33.14167,33.13333,131.6375,131.65,
44201,大分市,49315562,33.14167,33.13333,131.65,131.6625,
44201,大分市,49315563,33.14167,33.13333,131.6625,131.675,
44201,大分市,49315564,33.14167,33.13333,131.675,131.6875,
44201,大分市,49315565,33.14167,33.13333,131.6875,131.7,
44201,大分市,49315566,33.14167,33.13333,131.7,131.7125,
44201,大分市,49315567,33.14167,33.13333,131.7125,131.725,
44201,大分市,49315570,33.15,33.14167,131.625,131.6375,
44201,大分市,49315571,33.15,33.14167,131.6375,131.65,
44201,大分市,49315572,33.15,33.14167,131.65,131.6625,
44201,大分市,49315573,33.15,33.14167,131.6625,131.675,
44201,大分市,49315574,33.15,33.14167,131.675,131.6875,
44201,大分市,49315575,33.15,33.14167,131.6875,131.7,
44201,大分市,49315576,33.15,33.14167,131.7,131.7125,
44201,大分市,49315577,33.15,33.14167,131.7125,131.725,
44201,大分市,49315580,33.15833,33.15,131.625,131.6375,
44201,大分市,49315581,33.15833,33.15,131.6375,131.65,
44201,大分市,49315582,33.15833,33.15,131.65,131.6625,
44201,大分市,49315583,33.15833,33.15,131.6625,131.675,
44201,大分市,49315584,33.15833,33.15,131.675,131.6875,
44201,大分市,49315585,33.15833,33.15,131.6875,131.7,
44201,大分市,49315586,33.15833,33.15,131.7,131.7125,
44201,大分市,49315587,33.15833,33.15,131.7125,131.725,
44201,大分市,49315590,33.16667,33.15833,131.625,131.6375,
44201,大分市,49315591,33.16667,33.15833,131.6375,131.65,
44201,大分市,49315592,33.16667,33.15833,131.65,131.6625,
44201,大分市,49315593,33.16667,33.15833,131.6625,131.675,
44201,大分市,49315594,33.16667,33.15833,131.675,131.6875,
44201,大分市,49315595,33.16667,33.15833,131.6875,131.7,
44201,大分市,49315596,33.16667,33.15833,131.7,131.7125,
44201,大分市,49315597,33.16667,33.15833,131.7125,131.725,
44201,大分市,49315598,33.16667,33.15833,131.725,131.7375,
44201,大分市,49316309,33.175,33.16667,131.4875,131.5,
44201,大分市,49316400,33.175,33.16667,131.5,131.5125,
44201,大分市,49316401,33.175,33.16667,131.5125,131.525,
44201,大分市,49316402,33.175,33.16667,131.525,131.5375,
44201,大分市,49316403,33.175,33.16667,131.5375,131.55,
44201,大分市,49316404,33.175,33.16667,131.55,131.5625,
44201,大分市,49316405,33.175,33.16667,131.5625,131.575,
44201,大分市,49316406,33.175,33.16667,131.575,131.5875,
44201,大分市,49316407,33.175,33.16667,131.5875,131.6,
44201,大分市,49316408,33.175,33.16667,131.6,131.6125,
44201,大分市,49316409,33.175,33.16667,131.6125,131.625,
44201,大分市,49316410,33.18333,33.175,131.5,131.5125,
44201,大分市,49316411,33.18333,33.175,131.5125,131.525,
44201,大分市,49316412,33.18333,33.175,131.525,131.5375,
44201,大分市,49316413,33.18333,33.175,131.5375,131.55,
44201,大分市,49316414,33.18333,33.175,131.55,131.5625,
44201,大分市,49316415,33.18333,33.175,131.5625,131.575,
44201,大分市,49316416,33.18333,33.175,131.575,131.5875,
44201,大分市,49316417,33.18333,33.175,131.5875,131.6,
44201,大分市,49316418,33.18333,33.175,131.6,131.6125,
44201,大分市,49316419,33.18333,33.175,131.6125,131.625,
44201,大分市,49316421,33.19167,33.18333,131.5125,131.525,
44201,大分市,49316422,33.19167,33.18333,131.525,131.5375,
44201,大分市,49316423,33.19167,33.18333,131.5375,131.55,
44201,大分市,49316424,33.19167,33.18333,131.55,131.5625,
44201,大分市,49316425,33.19167,33.18333,131.5625,131.575,
44201,大分市,49316426,33.19167,33.18333,131.575,131.5875,
