都道府県市区町村コード,市区町村名,基準メッシュコード
44201,大分市,49314386
44201,大分市,49314387
44201,大分市,49314388
44201,大分市,49314389
44201,大分市,49314393
44201,大分市,49314394
44201,大分市,49314396
44201,大分市,49314397
44201,大分市,49314398
44201,大分市,49314399
44201,大分市,49314591
44201,大分市,49314594
44201,大分市,49314595
44201,大分市,49314596
44201,大分市,49315303
44201,大分市,49315304
44201,大分市,49315305
44201,大分市,49315306
44201,大分市,49315307
44201,大分市,49315308
44201,大分市,49315309
44201,大分市,49315313
44201,大分市,49315314
44201,大分市,49315315
44201,大分市,49315316
44201,大分市,49315317
44201,大分市,49315318
44201,大分市,49315319
44201,大分市,49315324
44201,大分市,49315325
44201,大分市,49315326
44201,大分市,49315327
44201,大分市,49315328
44201,大分市,49315329
44201,大分市,49315334
44201,大分市,49315335
44201,大分市,49315336
44201,大分市,49315337
44201,大分市,49315338
44201,大分市,49315339
44201,大分市,49315344
44201,大分市,49315345
44201,大分市,49315346
44201,大分市,49315347
44201,大分市,49315348
44201,大分市,49315349
44201,大分市,49315354
44201,大分市,49315355
44201,大分市,49315356
44201,大分市,49315357
44201,大分市,49315358
44201,大分市,49315359
44201,大分市,49315364
44201,大分市,49315365
44201,大分市,49315366
44201,大分市,49315367
44201,大分市,49315368
44201,大分市,49315369
44201,大分市,49315375
44201,大分市,49315376
44201,大分市,49315377
44201,大分市,49315378
44201,大分市,49315379
44201,大分市,49315387
44201,大分市,49315388
44201,大分市,49315389
44201,大分市,49315398
44201,大分市,49315399
44201,大分市,49315400
44201,大分市,49315410
44201,大分市,49315416
44201,大分市,49315417
44201,大分市,49315418
44201,大分市,49315419
44201,大分市,49315420
44201,大分市,49315421
44201,大分市,49315422
44201,大分市,49315425
44201,大分市,49315426
44201,大分市,49315427
44201,大分市,49315428
44201,大分市,49315429
44201,大分市,49315430
44201,大分市,49315431
44201,大分市,49315432
44201,大分市,49315433
44201,大分市,49315434
44201,大分市,49315435
44201,大分市,49315436
44201,大分市,49315437
44201,大分市,49315438
44201,大分市,49315439
44201,大分市,49315440
44201,大分市,49315441
44201,大分市,49315442
44201,大分市,49315443
44201,大分市,49315444
44201,大分市,49315445
44201,大分市,49315446
44201,大分市,49315447
44201,大分市,49315448
44201,大分市,49315449
44201,大分市,49315450
44201,大分市,49315451
44201,大分市,49315452
44201,大分市,49315453
44201,大分市,49315454
44201,大分市,49315455
44201,大分市,49315456
44201,大分市,49315457
44201,大分市,49315458
44201,大分市,49315459
44201,大分市,49315460
44201,大分市,49315461
44201,大分市,49315462
44201,大分市,49315463
44201,大分市,49315464
44201,大分市,49315465
44201,大分市,49315466
44201,大分市,49315467
44201,大分市,49315468
44201,大分市,49315469
44201,大分市,49315470
44201,大分市,49315471
44201,大分市,49315472
44201,大分市,49315473
44201,大分市,49315474
44201,大分市,49315475
44201,大分市,49315476
44201,大分市,49315477
44201,大分市,49315478
44201,大分市,49315479
44201,大分市,49315480
44201,大分市,49315481
44201,大分市,49315482
44201,大分市,49315483
44201,大分市,49315484
44201,大分市,49315485
44201,大分市,49315486
44201,大分市,49315487
44201,大分市,49315488
44201,大分市,49315489
44201,大分市,49315490
44201,大分市,49315491
44201,大分市,49315492
44201,大分市,49315493
44201,大分市,49315494
44201,大分市,49315495
44201,大分市,49315496
44201,大分市,49315497
44201,大分市,49315498
44201,大分市,49315499
44201,大分市,49315500
44201,大分市,49315501
44201,大分市,49315502
44201,大分市,49315503
44201,大分市,49315504
44201,大分市,49315505
44201,大分市,49315506
44201,大分市,49315510
44201,大分市,49315511
44201,大分市,49315512
44201,大分市,49315513
44201,大分市,49315514
44201,大分市,49315515
44201,大分市,49315516
44201,大分市,49315520
44201,大分市,49315521
44201,大分市,49315522
44201,大分市,49315523
44201,大分市,49315524
44201,大分市,49315525
44201,大分市,49315526
44201,大分市,49315527
44201,大分市,49315530
44201,大分市,49315531
44201,大分市,49315532
44201,大分市,49315533
44201,大分市,49315534
44201,大分市,49315535
44201,大分市,49315536
44201,大分市,49315537
44201,大分市,49315540
44201,大分市,49315541
44201,大分市,49315542
44201,大分市,49315543
44201,大分市,49315544
44201,大分市,49315545
44201,大分市,49315546
44201,大分市,49315547
44201,大分市,49315550
44201,大分市,49315551
44201,大分市,49315552
44201,大分市,49315553
44201,大分市,49315554
44201,大分市,49315555
44201,大分市,49315556
44201,大分市,49315557
44201,大分市,49315560
44201,大分市,49315561
44201,大分市,49315562
44201,大分市,49315563
44201,大分市,49315564
44201,大分市,49315565
44201,大分市,49315566
44201,大分市,49315567
44201,大分市,49315570
44201,大分市,49315571
44201,大分市,49315572
44201,大分市,49315573
44201,大分市,49315574
44201,大分市,49315575
44201,大分市,49315576
44201,大分市,49315577
44201,大分市,49315580
44201,大分市,49315581
44201,大分市,49315582
44201,大分市,49315583
44201,大分市,49315584
44201,大分市,49315585
44201,大分市,49315586
44201,大分市,49315587
44201,大分市,49315590
44201,大分市,49315591
44201,大分市,49315592
44201,大分市,49315593
44201,大分市,49315594
44201,大分市,49315595
44201,大分市,49315596
44201,大分市,49315597
44201,大分市,49315598
44201,大分市,49316309
44201,大分市,49316400
44201,大分市,49316401
44201,大分市,49316402
44201,大分市,49316403
44201,大分市,49316404
44201,大分市,49316405
44201,大分市,49316406
44201,大分市,49316407
44201,大分市,49316408
44201,大分市,49316409
44201,大分市,49316410
44201,大分市,49316411
44201,大分市,49316412
44201,大分市,49316413
44201,大分市,49316414
44201,大分市,49316415
44201,大分市,49316416
44201,大分市,49316417
44201,大分市,49316418
44201,大分市,49316419
44201,大分市,49316421
44201,大分市,49316422
44201,大分市,49316423
44201,大分市,49316424
44201,大分市,49316425
44201,大分市,49316426
44201,大分市,49316427
44201,大分市,49316428
44201,大分市,49316429
44201,大分市,49316431
44201,大分市,49316432
44201,大分市,49316433
44201,大分市,49316434
44201,大分市,49316435
44201,大分市,49316436
44201,大分市,49316437
44201,大分市,49316438
44201,大分市,49316439
44201,大分市,49316442
44201,大分市,49316443
44201,大分市,49316444
44201,大分市,49316445
44201,大分市,49316446
44201,大分市,49316447
44201,大分市,49316448
44201,大分市,49316449
44201,大分市,49316452
44201,大分市,49316453
44201,大分市,49316454
44201,大分市,49316455
44201,大分市,49316456
44201,大分市,49316457
44201,大分市,49316458
44201,大分市,49316459
44201,大分市,49316462
44201,大分市,49316463
44201,大分市,49316464
44201,大分市,49316465
44201,大分市,49316466
44201,大分市,49316467
44201,大分市,49316468
44201,大分市,49316469
44201,大分市,49316472
44201,大分市,49316473
44201,大分市,49316474
44201,大分市,49316475
44201,大分市,49316476
44201,大分市,49316477
44201,大分市,49316478
44201,大分市,49316479
44201,大分市,49316483
44201,大分市,49316484
44201,大分市,49316485
44201,大分市,49316486
44201,大分市,49316487
44201,大分市,49316488
44201,大分市,49316489
44201,大分市,49316491
44201,大分市,49316492
44201,大分市,49316493
44201,大分市,49316494
44201,大分市,49316495
44201,大分市,49316496
44201,大分市,49316497
44201,大分市,49316498
44201,大分市,49316499
44201,大分市,49316500
44201,大分市,49316501
44201,大分市,49316502
44201,大分市,49316503
44201,大分市,49316504
44201,大分市,49316505
44201,大分市,49316506
44201,大分市,49316507
44201,大分市,49316508
44201,大分市,49316509
44201,大分市,49316510
