都道府県市区町村コード,市区町村名,基準メッシュコード
45201,宮崎市,47314367
45201,宮崎市,47314374
45201,宮崎市,47314375
45201,宮崎市,47314376
45201,宮崎市,47314377
45201,宮崎市,47314383
45201,宮崎市,47314384
45201,宮崎市,47314385
45201,宮崎市,47314386
45201,宮崎市,47314387
45201,宮崎市,47314388
45201,宮崎市,47314392
45201,宮崎市,47314393
45201,宮崎市,47314394
45201,宮崎市,47314395
45201,宮崎市,47314396
45201,宮崎市,47314397
45201,宮崎市,47314398
45201,宮崎市,47315139
45201,宮崎市,47315148
45201,宮崎市,47315149
45201,宮崎市,47315159
45201,宮崎市,47315169
45201,宮崎市,47315178
45201,宮崎市,47315179
45201,宮崎市,47315188
45201,宮崎市,47315189
45201,宮崎市,47315197
45201,宮崎市,47315198
45201,宮崎市,47315199
45201,宮崎市,47315212
45201,宮崎市,47315213
45201,宮崎市,47315214
45201,宮崎市,47315221
45201,宮崎市,47315222
45201,宮崎市,47315223
45201,宮崎市,47315224
45201,宮崎市,47315227
45201,宮崎市,47315228
45201,宮崎市,47315229
45201,宮崎市,47315230
45201,宮崎市,47315231
45201,宮崎市,47315232
45201,宮崎市,47315233
45201,宮崎市,47315234
45201,宮崎市,47315235
45201,宮崎市,47315236
45201,宮崎市,47315237
45201,宮崎市,47315238
45201,宮崎市,47315239
45201,宮崎市,47315240
45201,宮崎市,47315241
45201,宮崎市,47315242
45201,宮崎市,47315243
45201,宮崎市,47315244
45201,宮崎市,47315245
45201,宮崎市,47315246
45201,宮崎市,47315247
45201,宮崎市,47315248
45201,宮崎市,47315249
45201,宮崎市,47315250
45201,宮崎市,47315251
45201,宮崎市,47315252
45201,宮崎市,47315253
45201,宮崎市,47315254
45201,宮崎市,47315255
45201,宮崎市,47315256
45201,宮崎市,47315257
45201,宮崎市,47315258
45201,宮崎市,47315259
45201,宮崎市,47315260
45201,宮崎市,47315261
45201,宮崎市,47315262
45201,宮崎市,47315263
45201,宮崎市,47315264
45201,宮崎市,47315265
45201,宮崎市,47315266
45201,宮崎市,47315267
45201,宮崎市,47315268
45201,宮崎市,47315269
45201,宮崎市,47315270
