municipal_code,city_name,mesh_code,north_latitude,south_latitude,west_longitude,east_longitude,remarks
46201,鹿児島市,46307453,31.3,31.29167,130.5375,130.55,
46201,鹿児島市,46307454,31.3,31.29167,130.55,130.5625,
46201,鹿児島市,46307455,31.3,31.29167,130.5625,130.575,
46201,鹿児島市,46307456,31.3,31.29167,130.575,130.5875,
46201,鹿児島市,46307462,31.30833,31.3,130.525,130.5375,
46201,鹿児島市,46307463,31.30833,31.3,130.5375,130.55,
46201,鹿児島市,46307464,31.30833,31.3,130.55,130.5625,
46201,鹿児島市,46307465,31.30833,31.3,130.5625,130.575,
46201,鹿児島市,46307466,31.30833,31.3,130.575,130.5875,
46201,鹿児島市,46307472,31.31667,31.30833,130.525,130.5375,
46201,鹿児島市,46307473,31.31667,31.30833,130.5375,130.55,
46201,鹿児島市,46307474,31.31667,31.30833,130.55,130.5625,
46201,鹿児島市,46307475,31.31667,31.30833,130.5625,130.575,
46201,鹿児島市,46307476,31.31667,31.30833,130.575,130.5875,
46201,鹿児島市,46307481,31.325,31.31667,130.5125,130.525,
46201,鹿児島市,46307482,31.325,31.31667,130.525,130.5375,
46201,鹿児島市,46307483,31.325,31.31667,130.5375,130.55,
46201,鹿児島市,46307484,31.325,31.31667,130.55,130.5625,
46201,鹿児島市,46307485,31.325,31.31667,130.5625,130.575,
46201,鹿児島市,46307490,31.33333,31.325,130.5,130.5125,
46201,鹿児島市,46307491,31.33333,31.325,130.5125,130.525,
46201,鹿児島市,46307492,31.33333,31.325,130.525,130.5375,
46201,鹿児島市,46307493,31.33333,31.325,130.5375,130.55,
46201,鹿児島市,46307494,31.33333,31.325,130.55,130.5625,
46201,鹿児島市,46307495,31.33333,31.325,130.5625,130.575,
46201,鹿児島市,47300309,31.34167,31.33333,130.4875,130.5,
46201,鹿児島市,47300319,31.35,31.34167,130.4875,130.5,
46201,鹿児島市,47300329,31.35833,31.35,130.4875,130.5,
46201,鹿児島市,47300339,31.36667,31.35833,130.4875,130.5,
46201,鹿児島市,47300389,31.40833,31.4,130.4875,130.5,
46201,鹿児島市,47300399,31.41667,31.40833,130.4875,130.5,
46201,鹿児島市,47300400,31.34167,31.33333,130.5,130.5125,
46201,鹿児島市,47300401,31.34167,31.33333,130.5125,130.525,
46201,鹿児島市,47300402,31.34167,31.33333,130.525,130.5375,
46201,鹿児島市,47300403,31.34167,31.33333,130.5375,130.55,
