都道府県市区町村コード,市区町村名,基準メッシュコード
46201,鹿児島市,46307453
46201,鹿児島市,46307454
46201,鹿児島市,46307455
46201,鹿児島市,46307456
46201,鹿児島市,46307462
46201,鹿児島市,46307463
46201,鹿児島市,46307464
46201,鹿児島市,46307465
46201,鹿児島市,46307466
46201,鹿児島市,46307472
46201,鹿児島市,46307473
46201,鹿児島市,46307474
46201,鹿児島市,46307475
46201,鹿児島市,46307476
46201,鹿児島市,46307481
46201,鹿児島市,46307482
46201,鹿児島市,46307483
46201,鹿児島市,46307484
46201,鹿児島市,46307485
46201,鹿児島市,46307490
46201,鹿児島市,46307491
46201,鹿児島市,46307492
46201,鹿児島市,46307493
46201,鹿児島市,46307494
46201,鹿児島市,46307495
46201,鹿児島市,47300309
46201,鹿児島市,47300319
46201,鹿児島市,47300329
46201,鹿児島市,47300339
46201,鹿児島市,47300389
46201,鹿児島市,47300399
46201,鹿児島市,47300400
46201,鹿児島市,47300401
46201,鹿児島市,47300402
46201,鹿児島市,47300403
46201,鹿児島市,47300404
46201,鹿児島市,47300410
46201,鹿児島市,47300411
46201,鹿児島市,47300412
46201,鹿児島市,47300413
46201,鹿児島市,47300414
46201,鹿児島市,47300420
46201,鹿児島市,47300421
46201,鹿児島市,47300422
46201,鹿児島市,47300423
46201,鹿児島市,47300424
46201,鹿児島市,47300430
46201,鹿児島市,47300431
46201,鹿児島市,47300432
46201,鹿児島市,47300433
46201,鹿児島市,47300434
46201,鹿児島市,47300440
46201,鹿児島市,47300441
46201,鹿児島市,47300442
46201,鹿児島市,47300443
46201,鹿児島市,47300450
46201,鹿児島市,47300451
46201,鹿児島市,47300452
46201,鹿児島市,47300453
46201,鹿児島市,47300454
46201,鹿児島市,47300460
46201,鹿児島市,47300461
46201,鹿児島市,47300462
46201,鹿児島市,47300463
46201,鹿児島市,47300464
46201,鹿児島市,47300470
46201,鹿児島市,47300471
46201,鹿児島市,47300472
46201,鹿児島市,47300473
46201,鹿児島市,47300474
46201,鹿児島市,47300480
46201,鹿児島市,47300481
46201,鹿児島市,47300482
46201,鹿児島市,47300490
46201,鹿児島市,47300491
46201,鹿児島市,47300492
46201,鹿児島市,47301308
46201,鹿児島市,47301309
46201,鹿児島市,47301318
46201,鹿児島市,47301319
46201,鹿児島市,47301328
46201,鹿児島市,47301329
46201,鹿児島市,47301338
46201,鹿児島市,47301339
46201,鹿児島市,47301347
46201,鹿児島市,47301348
46201,鹿児島市,47301349
46201,鹿児島市,47301356
46201,鹿児島市,47301357
46201,鹿児島市,47301358
46201,鹿児島市,47301359
46201,鹿児島市,47301365
46201,鹿児島市,47301366
46201,鹿児島市,47301367
46201,鹿児島市,47301368
46201,鹿児島市,47301369
46201,鹿児島市,47301375
46201,鹿児島市,47301376
46201,鹿児島市,47301377
46201,鹿児島市,47301378
46201,鹿児島市,47301379
46201,鹿児島市,47301384
46201,鹿児島市,47301385
46201,鹿児島市,47301386
46201,鹿児島市,47301387
46201,鹿児島市,47301388
46201,鹿児島市,47301389
46201,鹿児島市,47301394
46201,鹿児島市,47301395
46201,鹿児島市,47301396
46201,鹿児島市,47301397
46201,鹿児島市,47301398
46201,鹿児島市,47301399
46201,鹿児島市,47301400
46201,鹿児島市,47301401
46201,鹿児島市,47301410
46201,鹿児島市,47301411
46201,鹿児島市,47301420
46201,鹿児島市,47301421
46201,鹿児島市,47301430
46201,鹿児島市,47301431
46201,鹿児島市,47301440
46201,鹿児島市,47301441
46201,鹿児島市,47301450
46201,鹿児島市,47301451
46201,鹿児島市,47301452
46201,鹿児島市,47301460
46201,鹿児島市,47301461
46201,鹿児島市,47301462
46201,鹿児島市,47301463
46201,鹿児島市,47301470
46201,鹿児島市,47301471
46201,鹿児島市,47301473
46201,鹿児島市,47301480
46201,鹿児島市,47301481
46201,鹿児島市,47301482
46201,鹿児島市,47301490
46201,鹿児島市,47301491
46201,鹿児島市,47301492
46201,鹿児島市,47302304
46201,鹿児島市,47302305
46201,鹿児島市,47302306
46201,鹿児島市,47302307
46201,鹿児島市,47302308
46201,鹿児島市,47302309
46201,鹿児島市,47302315
46201,鹿児島市,47302316
46201,鹿児島市,47302317
46201,鹿児島市,47302318
46201,鹿児島市,47302319
46201,鹿児島市,47302325
46201,鹿児島市,47302326
46201,鹿児島市,47302327
46201,鹿児島市,47302328
46201,鹿児島市,47302329
46201,鹿児島市,47302335
46201,鹿児島市,47302336
46201,鹿児島市,47302337
46201,鹿児島市,47302338
46201,鹿児島市,47302339
46201,鹿児島市,47302344
46201,鹿児島市,47302345
46201,鹿児島市,47302346
46201,鹿児島市,47302347
46201,鹿児島市,47302348
46201,鹿児島市,47302349
46201,鹿児島市,47302353
46201,鹿児島市,47302354
46201,鹿児島市,47302355
46201,鹿児島市,47302356
46201,鹿児島市,47302357
46201,鹿児島市,47302358
46201,鹿児島市,47302359
46201,鹿児島市,47302363
46201,鹿児島市,47302364
46201,鹿児島市,47302365
46201,鹿児島市,47302366
46201,鹿児島市,47302367
46201,鹿児島市,47302368
46201,鹿児島市,47302369
46201,鹿児島市,47302372
46201,鹿児島市,47302373
46201,鹿児島市,47302374
46201,鹿児島市,47302375
46201,鹿児島市,47302376
46201,鹿児島市,47302377
46201,鹿児島市,47302378
46201,鹿児島市,47302379
46201,鹿児島市,47302381
46201,鹿児島市,47302382
46201,鹿児島市,47302383
46201,鹿児島市,47302384
46201,鹿児島市,47302385
46201,鹿児島市,47302386
46201,鹿児島市,47302387
46201,鹿児島市,47302388
46201,鹿児島市,47302389
46201,鹿児島市,47302390
46201,鹿児島市,47302391
46201,鹿児島市,47302392
46201,鹿児島市,47302393
46201,鹿児島市,47302394
46201,鹿児島市,47302395
46201,鹿児島市,47302396
46201,鹿児島市,47302397
46201,鹿児島市,47302398
46201,鹿児島市,47302399
46201,鹿児島市,47302400
46201,鹿児島市,47302401
46201,鹿児島市,47302402
46201,鹿児島市,47302403
46201,鹿児島市,47302410
46201,鹿児島市,47302411
46201,鹿児島市,47302412
46201,鹿児島市,47302413
46201,鹿児島市,47302420
46201,鹿児島市,47302421
