都道府県市区町村コード,市区町村名,基準メッシュコード
47201,那覇市,39272511
47201,那覇市,39272512
47201,那覇市,39272513
47201,那覇市,39272521
47201,那覇市,39272522
47201,那覇市,39272523
47201,那覇市,39272524
47201,那覇市,39272526
47201,那覇市,39272530
47201,那覇市,39272531
47201,那覇市,39272532
47201,那覇市,39272533
47201,那覇市,39272534
47201,那覇市,39272535
47201,那覇市,39272536
47201,那覇市,39272537
47201,那覇市,39272541
47201,那覇市,39272542
47201,那覇市,39272543
47201,那覇市,39272544
47201,那覇市,39272545
47201,那覇市,39272546
47201,那覇市,39272547
47201,那覇市,39272551
47201,那覇市,39272552
47201,那覇市,39272553
47201,那覇市,39272554
47201,那覇市,39272555
47201,那覇市,39272556
47201,那覇市,39272557
47201,那覇市,39272558
47201,那覇市,39272561
47201,那覇市,39272562
47201,那覇市,39272563
47201,那覇市,39272564
47201,那覇市,39272565
47201,那覇市,39272566
47201,那覇市,39272567
47201,那覇市,39272568
47201,那覇市,39272573
47201,那覇市,39272574
47201,那覇市,39272575
47201,那覇市,39272576
47201,那覇市,39272577
47201,那覇市,39272578
47201,那覇市,39272579
47201,那覇市,39272583
47201,那覇市,39272584
47201,那覇市,39272585
47201,那覇市,39272586
47201,那覇市,39272587
47201,那覇市,39272588
47201,那覇市,39272589
47201,那覇市,39272593
47201,那覇市,39272594
47201,那覇市,39272595
47205,宜野湾市,39272690
47205,宜野湾市,39273508
47205,宜野湾市,39273509
47205,宜野湾市,39273518
47205,宜野湾市,39273519
47205,宜野湾市,39273528
47205,宜野湾市,39273529
47205,宜野湾市,39273537
47205,宜野湾市,39273538
47205,宜野湾市,39273539
47205,宜野湾市,39273549
47205,宜野湾市,39273600
47205,宜野湾市,39273601
47205,宜野湾市,39273610
47205,宜野湾市,39273611
47205,宜野湾市,39273620
47205,宜野湾市,39273621
47205,宜野湾市,39273622
47205,宜野湾市,39273630
47205,宜野湾市,39273631
47205,宜野湾市,39273632
47205,宜野湾市,39273640
47205,宜野湾市,39273641
47205,宜野湾市,39273642
47205,宜野湾市,39273650
47205,宜野湾市,39273651
47205,宜野湾市,39273652
47207,石垣市,36243191
47207,石垣市,36243192
47207,石垣市,36243193
47207,石垣市,36243194
47207,石垣市,36243195
47207,石垣市,36244029
47207,石垣市,36244038
47207,石垣市,36244039
47207,石垣市,36244048
47207,石垣市,36244049
47207,石垣市,36244059
47207,石垣市,36244096
47207,石垣市,36244101
47207,石垣市,36244102
47207,石垣市,36244103
47207,石垣市,36244104
47207,石垣市,36244105
47207,石垣市,36244111
47207,石垣市,36244112
47207,石垣市,36244113
47207,石垣市,36244114
47207,石垣市,36244115
47207,石垣市,36244116
47207,石垣市,36244117
47207,石垣市,36244118
47207,石垣市,36244119
47207,石垣市,36244120
47207,石垣市,36244121
47207,石垣市,36244122
47207,石垣市,36244123
47207,石垣市,36244124
47207,石垣市,36244125
47207,石垣市,36244126
47207,石垣市,36244127
47207,石垣市,36244128
47207,石垣市,36244129
47207,石垣市,36244130
47207,石垣市,36244131
47207,石垣市,36244132
47207,石垣市,36244133
47207,石垣市,36244134
47207,石垣市,36244135
47207,石垣市,36244136
47207,石垣市,36244137
47207,石垣市,36244138
47207,石垣市,36244139
47207,石垣市,36244140
47207,石垣市,36244141
47207,石垣市,36244142
47207,石垣市,36244143
47207,石垣市,36244144
47207,石垣市,36244145
47207,石垣市,36244146
47207,石垣市,36244147
47207,石垣市,36244148
47207,石垣市,36244149
47207,石垣市,36244150
47207,石垣市,36244151
47207,石垣市,36244152
47207,石垣市,36244153
47207,石垣市,36244154
47207,石垣市,36244155
47207,石垣市,36244156
47207,石垣市,36244157
47207,石垣市,36244158
47207,石垣市,36244159
47207,石垣市,36244160
47207,石垣市,36244161
47207,石垣市,36244162
47207,石垣市,36244163
47207,石垣市,36244164
47207,石垣市,36244165
47207,石垣市,36244166
47207,石垣市,36244167
47207,石垣市,36244168
47207,石垣市,36244169
47207,石垣市,36244171
47207,石垣市,36244172
47207,石垣市,36244173
47207,石垣市,36244174
47207,石垣市,36244175
47207,石垣市,36244176
47207,石垣市,36244177
47207,石垣市,36244178
47207,石垣市,36244179
47207,石垣市,36244181
47207,石垣市,36244182
47207,石垣市,36244183
47207,石垣市,36244184
47207,石垣市,36244185
47207,石垣市,36244186
47207,石垣市,36244187
47207,石垣市,36244188
47207,石垣市,36244189
47207,石垣市,36244190
47207,石垣市,36244191
47207,石垣市,36244192
47207,石垣市,36244193
47207,石垣市,36244194
47207,石垣市,36244195
47207,石垣市,36244196
47207,石垣市,36244197
47207,石垣市,36244198
47207,石垣市,36244199
47207,石垣市,36244230
47207,石垣市,36244240
47207,石垣市,36244250
47207,石垣市,36244260
47207,石垣市,36244270
47207,石垣市,36244280
47207,石垣市,36244290
47207,石垣市,36245006
47207,石垣市,36245007
47207,石垣市,36245015
47207,石垣市,36245016
47207,石垣市,36245017
47207,石垣市,36245018
47207,石垣市,36245019
47207,石垣市,36245025
47207,石垣市,36245026
47207,石垣市,36245027
47207,石垣市,36245028
47207,石垣市,36245029
47207,石垣市,36245036
47207,石垣市,36245037
47207,石垣市,36245038
47207,石垣市,36245039
